Strategic,Monitor,On,Thursday,26-April-2018,filename:CCITY_20180426

Thursday,26-April-2018,00:00,SS,85M+,PL,8.3,PV,7.4,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,197,L,72,ABF,51,15,2,2,7,2,1,-,-,-,-,-,-,240
A=<10,B=20,C=#25,D=27,E=18
Thursday,26-April-2018,00:05,SS,6M+,PL,6.3,PV,5.3,CL,116,+0,RL,99,SA,15,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,86,16,4,4,17,6,5,13,6,4,4,2,1,26
,183,S,21,B,26,18,3,2,20,3,2,8,2,1,-,-,-,32
,184,S,161,A,108,8,4,3,18,8,7,14,7,6,0,0,0,21
,184,S,162,B,22,9,2,1,0,0,0,-,-,-,-,-,-,4
,183,S,183,B,26,18,3,2,20,3,2,-,-,-,-,-,-,32
,183,L,7,AC,86,16,4,4,-,-,-,-,-,-,-,-,-,180
A=<35,B=48,C=#20
Thursday,26-April-2018,00:05,SS,10M+,PL,4.2,PV,4.2,CL,116,+0,RL,99,SA,15,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,111,18,10,6,10,6,4,10,6,3,-,-,-,16
,354,S,31,B,15,11,2,1,0,0,0,10,2,1,-,-,-,11
,182,S,34,A,112,7,2,2,20,7,8,-,-,-,-,-,-,16
,2,L,14,AD,68,23,7,5,20,8,6,-,-,-,-,-,-,860
,2,L,15,AD,68,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,26-April-2018,00:05,SS,58M-,PL,2.3,PV,1.3,CL,116,+0,RL,107,SA,200,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,121,16,8,7,0,0,0,0,0,0,0,0,0,48
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<81,B=#22
Thursday,26-April-2018,00:06,SS,85M+,PL,3.4,PV,3.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,61,-,-,-,38,7,7,16,3,3,-,-,-,25
,196,S,310,A,45,56,7,7,56,6,7,48,4,6,-,-,-,55
,196,S,311,ABE,45,0,0,0,28,4,4,10,2,2,0,0,0,31
,196,S,312,D,23,19,2,1,16,2,1,61,3,5,25,2,2,46
,197,L,71,ABF,56,18,6,4,19,6,5,-,-,-,-,-,-,380
,197,L,72,ABF,56,23,2,4,0,0,0,-,-,-,-,-,-,180
A=<11,B=20,C=#25,D=26,E=18
Thursday,26-April-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,118,+0,RL,99,SA,15,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,91,17,5,5,25,9,7,20,8,7,0,0,0,23
,183,S,21,B,39,13,3,2,49,5,7,21,3,3,-,-,-,37
,184,S,161,A,107,17,7,6,29,11,11,22,10,9,6,2,2,24
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,3
,183,S,183,B,39,13,3,2,49,5,7,-,-,-,-,-,-,37
,183,L,7,AC,91,17,5,5,-,-,-,-,-,-,-,-,-,140
A=<35,B=48,C=#20
Thursday,26-April-2018,00:07,SS,10M+,PL,4.2,PV,4.2,CL,118,+0,RL,99,SA,15,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,108,15,6,5,11,5,4,9,4,3,-,-,-,17
,354,S,31,B,24,31,5,3,8,2,1,0,0,0,-,-,-,20
,182,S,34,A,106,0,0,0,6,2,2,-,-,-,-,-,-,12
,2,L,14,AD,77,0,0,0,10,3,3,-,-,-,-,-,-,600
,2,L,15,AD,77,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,26-April-2018,00:07,SS,58M-,PL,1.3,PV,1.3,CL,118,+0,RL,99,SA,201,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,116,29,15,13,9,4,3,0,0,0,0,0,0,23
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<82,B=#21
Thursday,26-April-2018,00:08,SS,85M+,PL,3.4,PV,2.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,24,-,-,-,24,3,2,0,0,0,-,-,-,27
,196,S,310,A,77,35,8,7,26,5,6,29,6,6,-,-,-,44
,196,S,311,ABE,77,0,0,0,17,5,4,8,3,2,0,0,0,22
,196,S,312,D,28,33,2,3,0,0,0,71,6,8,20,2,2,62
,197,L,71,ABF,61,18,5,4,19,6,5,-,-,-,-,-,-,320
,197,L,72,ABF,61,22,6,4,6,2,1,-,-,-,-,-,-,140
A=<11,B=20,C=#25,D=26,E=18
Thursday,26-April-2018,00:09,SS,6M+,PL,6.3,PV,6.3,CL,120,+0,RL,99,SA,15,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,75,35,8,8,23,6,5,28,9,8,4,2,1,28
,183,S,21,B,34,34,6,4,39,5,5,13,2,1,-,-,-,38
,184,S,161,A,113,20,9,8,39,17,16,22,11,10,0,0,0,31
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,2
,183,S,183,B,34,34,6,4,39,5,5,-,-,-,-,-,-,38
,183,L,7,AC,75,35,8,8,-,-,-,-,-,-,-,-,-,180
A=<35,B=48,C=#20
Thursday,26-April-2018,00:09,SS,10M+,PL,4.2,PV,4.2,CL,120,+2,RL,98,SA,15,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,100,13,5,4,11,5,4,9,4,3,-,-,-,15
,354,S,31,B,18,18,3,1,0,0,0,0,0,0,-,-,-,21
,182,S,34,A,101,0,0,0,6,2,2,-,-,-,-,-,-,9
,2,L,14,AD,88,8,3,2,23,10,9,-,-,-,-,-,-,600
,2,L,15,AD,88,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,26-April-2018,00:09,SS,58,-,PL,1.3,PV,1.3,CL,99,+0,RL,98,SA,201,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,113,19,9,8,10,4,3,0,0,0,0,0,0,22
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<81,B=#19
Thursday,26-April-2018,00:10,SS,85M+,PL,2.4,PV,2.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,96,-,-,-,37,12,10,6,2,2,-,-,-,33
,196,S,310,A,48,37,5,5,33,3,5,0,0,0,-,-,-,41
,196,S,311,ABE,48,9,2,2,29,4,4,21,4,4,8,2,2,25
,196,S,312,D,38,37,4,4,41,5,5,69,12,10,23,3,2,68
,197,L,71,ABF,42,30,4,5,22,4,4,-,-,-,-,-,-,320
,197,L,72,ABF,42,23,3,3,30,5,5,-,-,-,-,-,-,220
A=<10,B=20,C=#25,D=27,E=18
Thursday,26-April-2018,00:11,SS,58,-,PL,1.3,PV,1.3,CL,91,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,113,19,9,8,10,4,3,0,0,0,0,0,0,21
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<79,B=#19
Thursday,26-April-2018,00:11,SS,6M+,PL,5.3,PV,5.3,CL,120,+0,RL,100,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,86,10,4,3,34,9,9,21,7,7,4,2,1,32
,183,S,21,B,31,30,5,3,21,3,2,0,0,0,-,-,-,37
,184,S,161,A,119,7,3,3,24,11,10,18,10,8,6,3,2,30
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,30,5,3,21,3,2,-,-,-,-,-,-,37
,183,L,7,AC,86,10,4,3,-,-,-,-,-,-,-,-,-,140
A=<37,B=46,C=#20
Thursday,26-April-2018,00:11,SS,10M+,PL,4.2,PV,4.2,CL,120,+0,RL,99,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,100,13,5,4,11,5,4,9,4,3,-,-,-,13
,354,S,31,B,14,0,0,0,8,2,0,0,0,0,-,-,-,16
,182,S,34,A,107,0,0,0,11,4,4,-,-,-,-,-,-,8
,2,L,14,AD,36,72,8,8,79,10,13,-,-,-,-,-,-,1000
,2,L,15,AD,36,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,26-April-2018,00:11,SS,85M+,PL,2.3,PV,8.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,85,-,-,-,19,7,5,5,2,1,-,-,-,26
,196,S,310,A,37,36,4,4,47,3,5,92,7,10,-,-,-,61
,196,S,311,ABE,37,0,0,0,50,5,6,28,3,4,14,2,2,36
,196,S,312,D,35,26,4,3,24,4,3,14,3,2,0,0,0,50
,197,L,71,ABF,42,11,3,2,10,3,2,-,-,-,-,-,-,240
,197,L,72,ABF,42,15,2,2,10,2,2,-,-,-,-,-,-,200
A=<10,B=20,C=#25,D=27,E=18
Thursday,26-April-2018,00:12,SS,58,-,PL,1.3,PV,1.3,CL,85,+0,RL,82,SA,201,DS,28
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,9,3,3,0,0,0,18,7,6,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<82,B=#15
Thursday,26-April-2018,00:13,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,75,-,-,-,8,3,2,0,0,0,-,-,-,18
,196,S,310,A,39,0,0,0,67,7,7,69,3,8,-,-,-,70
,196,S,311,ABE,39,0,0,0,47,4,6,68,6,9,0,0,0,53
,196,S,312,D,28,0,0,0,0,0,0,17,3,2,0,0,0,31
,197,L,71,ABF,58,20,6,4,21,7,5,-,-,-,-,-,-,260
,197,L,72,ABF,58,17,5,3,20,6,4,-,-,-,-,-,-,220
A=<18,B=20,C=#25,D=20,E=17
Thursday,26-April-2018,00:13,SS,6M+,PL,5.3,PV,5.3,CL,118,+0,RL,101,SA,20,DS,20
