Strategic,Monitor,On,Thursday,31-May-2018,filename:CCITY_20180531

Thursday,31-May-2018,00:00,SS,6M+,PL,6.3,PV,6.3,CL,91,+0,RL,86,SA,20,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,43,7,2,1,8,2,1,0,0,0,-,-,-,5
,354,S,31,B,25,14,2,1,14,2,1,0,0,0,-,-,-,27
,182,S,34,A,50,0,0,0,17,3,3,-,-,-,-,-,-,15
A=<53,B=47
Thursday,31-May-2018,00:03,SS,85M+,PL,1.3,PV,6.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,100,-,-,-,14,6,4,5,2,1,-,-,-,16
,196,S,310,A,46,43,6,6,59,6,8,90,8,12,-,-,-,58
,196,S,311,ABE,46,9,2,2,31,6,5,43,6,7,15,3,2,37
,196,S,312,D,32,0,0,0,8,2,1,41,5,5,23,3,2,40
,197,L,71,ABF,33,66,9,8,42,6,6,-,-,-,-,-,-,400
,197,L,72,ABF,33,57,6,6,35,4,4,-,-,-,-,-,-,360
A=<9,B=20,C=#25,D=28,E=18
Thursday,31-May-2018,00:04,SS,10,-,PL,3.2,PV,2.2,CL,60,+0,RL,60,SA,30,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,30,44,5,4,38,5,4,17,2,2,-,-,-,22
,354,S,31,B,18,31,3,2,20,2,1,0,0,0,-,-,-,26
,182,S,34,A,50,0,0,0,17,3,3,-,-,-,-,-,-,17
A=<53,B=47
Thursday,31-May-2018,00:04,SS,6M+,PL,6.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,0,0,0,0,0,0,14,3,2,0,0,0,20
,183,S,21,B,31,43,4,4,30,3,3,38,4,4,-,-,-,27
,184,S,161,A,71,18,5,4,27,6,6,20,7,6,0,0,0,33
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,43,4,4,30,3,3,-,-,-,-,-,-,27
,183,L,7,AC,38,0,0,0,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Thursday,31-May-2018,00:04,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,70,SA,201,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,82,13,5,4,10,3,2,10,4,3,0,0,0,21
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Thursday,31-May-2018,00:05,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,52,5,2,1,5,2,1,5,2,1,-,-,-,19
,354,S,31,B,17,0,0,0,71,3,5,0,0,0,-,-,-,45
,182,S,34,A,61,47,2,9,54,2,12,-,-,-,-,-,-,34
A=<47,B=53
Thursday,31-May-2018,00:05,SS,85M+,PL,2.3,PV,2.3,CL,100,+0,RL,90,SA,313,DS,146
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,79,-,-,-,17,4,4,4,2,1,-,-,-,15
