Strategic,Monitor,On,Wednesday,06-June-2018,filename:CCITY_20180606

Wednesday,06-June-2018,00:00,SS,6M+,PL,4.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Wednesday,06-June-2018,00:04,SS,85M+,PL,4.3,PV,5.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,97,-,-,-,22,7,6,11,3,3,-,-,-,46
,196,S,310,A,36,54,6,5,67,7,7,71,6,7,-,-,-,76
,196,S,311,ABE,36,0,0,0,28,3,3,19,3,2,11,2,1,30
,196,S,312,D,28,51,5,4,36,4,3,38,6,4,10,2,1,89
,197,L,71,ABF,26,10,5,1,10,5,1,-,-,-,-,-,-,140
,197,L,72,ABF,26,6,2,1,5,2,0,-,-,-,-,-,-,100
A=<12,B=20,C=#25,D=25,E=18
Wednesday,06-June-2018,00:04,SS,6M+,PL,4.3,PV,2.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,29,2,5,29,6,5,21,6,4,0,0,0,30
,183,S,21,B,31,23,4,2,0,0,0,28,4,3,-,-,-,33
,184,S,161,A,85,6,2,2,18,6,5,16,7,5,0,0,0,19
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,23,4,2,0,0,0,-,-,-,-,-,-,28
,183,L,7,AC,55,29,2,5,-,-,-,-,-,-,-,-,-,140
A=<33,B=44,C=#20
Wednesday,06-June-2018,00:04,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,14,5,4,8,3,2,10,4,3,0,0,0,17
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Wednesday,06-June-2018,00:04,SS,10,-,PL,4.2,PV,4.2,CL,68,+0,RL,66,SA,30,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,59,16,5,3,12,4,2,15,2,3,-,-,-,19
,354,S,31,B,23,0,0,0,39,4,4,22,3,2,-,-,-,39
,182,S,34,A,82,9,3,2,22,6,6,-,-,-,-,-,-,15
A=<47,B=53
Wednesday,06-June-2018,00:05,SS,10,-,PL,3.2,PV,3.2,CL,85,+8,RL,60,SA,30,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,24,5,5,20,4,4,14,3,3,-,-,-,21
,354,S,31,B,32,21,3,2,26,4,3,0,0,0,-,-,-,33
,182,S,34,A,82,9,3,2,22,6,6,-,-,-,-,-,-,19
A=<53,B=47
Wednesday,06-June-2018,00:05,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,18,4,3,25,5,5,12,3,3,0,0,0,25
,183,S,21,B,31,34,4,3,0,0,0,29,4,3,-,-,-,36
,184,S,161,A,85,14,4,4,33,10,9,23,9,8,0,0,0,24
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,34,4,3,0,0,0,-,-,-,-,-,-,35
,183,L,7,AC,55,18,4,3,-,-,-,-,-,-,-,-,-,140
A=<31,B=46,C=#20
Wednesday,06-June-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,8
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,21,7,6,0,0,0,14,5,4,0,0,0,18
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Wednesday,06-June-2018,00:06,SS,85M+,PL,7.3,PV,7.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,72,-,-,-,34,10,7,6,2,1,-,-,-,41
,196,S,310,A,43,91,8,11,42,6,5,57,6,7,-,-,-,82
,196,S,311,ABE,43,0,0,0,19,3,3,16,3,2,0,0,0,21
,196,S,312,D,32,0,0,0,58,7,6,49,7,6,0,0,0,70
,197,L,71,ABF,52,41,7,7,36,6,7,-,-,-,-,-,-,320
,197,L,72,ABF,52,19,4,3,8,2,1,-,-,-,-,-,-,80
A=<16,B=20,C=#25,D=22,E=17
Wednesday,06-June-2018,00:07,SS,10,+,PL,3.2,PV,2.2,CL,85,+6,RL,63,SA,30,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,44,32,12,5,31,12,5,6,3,1,-,-,-,26
,354,S,31,B,22,13,2,1,13,2,1,0,0,0,-,-,-,23
,182,S,34,A,72,5,2,1,16,5,4,-,-,-,-,-,-,19
A=<53,B=47
Wednesday,06-June-2018,00:07,SS,6M+,PL,5.3,PV,2.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,14,3,2,12,3,2,29,7,6,0,0,0,28
,183,S,21,B,33,25,3,3,0,0,0,10,2,1,-,-,-,29
,184,S,161,A,85,7,3,2,20,7,6,13,6,4,0,0,0,24
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
