Strategic,Monitor,On,Thursday,07-June-2018,filename:CCITY_20180607

Thursday,07-June-2018,00:00,SS,85M+,PL,3.3,PV,3.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,109,-,-,-,73,10,23,4,2,1,-,-,-,73
,196,S,310,A,43,13,2,2,20,4,2,38,4,5,-,-,-,47
,196,S,311,ABE,43,23,3,4,32,3,4,34,3,5,0,0,0,39
,196,S,312,D,28,16,2,1,17,3,2,24,3,3,0,0,0,43
,197,L,71,ABF,46,15,4,2,16,4,3,-,-,-,-,-,-,240
,197,L,72,ABF,46,11,2,2,14,3,2,-,-,-,-,-,-,200
A=<10,B=20,C=#25,D=27,E=18
Thursday,07-June-2018,00:03,SS,10,-,PL,2.2,PV,3.2,CL,60,+0,RL,60,SA,57,DS,102
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,48,14,4,2,11,3,2,6,2,1,-,-,-,21
,354,S,31,B,18,17,2,1,34,3,2,0,0,0,-,-,-,26
,182,S,34,A,61,15,3,3,33,7,7,-,-,-,-,-,-,19
A=<60,B=40
Thursday,07-June-2018,00:04,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,44,33,7,5,27,6,4,0,0,0,-,-,-,26
,354,S,31,B,22,0,0,0,60,5,5,24,2,2,-,-,-,41
,182,S,34,A,44,10,2,1,9,2,1,-,-,-,-,-,-,17
A=<47,B=53
Thursday,07-June-2018,00:05,SS,6M+,PL,7.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,67,23,6,5,24,5,5,20,6,5,0,0,0,29
,183,S,21,B,26,45,5,4,34,4,3,43,4,4,-,-,-,33
,184,S,161,A,85,22,7,6,28,8,8,19,7,6,0,0,0,29
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,45,5,4,34,4,3,-,-,-,-,-,-,33
,183,L,7,AC,67,23,6,5,-,-,-,-,-,-,-,-,-,160
A=<27,B=50,C=#20
Thursday,07-June-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,77,11,4,3,7,2,2,12,4,4,0,0,0,21
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Thursday,07-June-2018,00:05,SS,85M+,PL,1.3,PV,1.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,39,-,-,-,39,5,4,0,0,0,-,-,-,58
,196,S,310,A,46,26,3,3,32,3,4,34,4,4,-,-,-,37
,196,S,311,ABE,46,7,2,1,24,4,4,22,4,3,12,2,2,35
,196,S,312,D,39,56,7,7,23,3,3,63,10,9,28,4,3,48
,197,L,71,ABF,33,20,3,2,18,3,2,-,-,-,-,-,-,140
,197,L,72,ABF,33,27,3,3,21,3,2,-,-,-,-,-,-,200
A=<9,B=20,C=#25,D=28,E=18
Thursday,07-June-2018,00:05,SS,10,-,PL,4.2,PV,3.2,CL,60,-7,RL,60,SA,136,DS,101
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,26,6,5,24,6,5,22,4,4,-,-,-,26
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,27
,182,S,34,A,44,10,2,1,9,2,1,-,-,-,-,-,-,15
A=<47,B=53
Thursday,07-June-2018,00:06,SS,6M+,PL,7.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,50,8,2,1,20,4,3,0,0,0,0,0,0,24
,183,S,21,B,34,24,4,3,47,6,6,26,4,3,-,-,-,42
,184,S,161,A,84,8,3,2,11,4,3,3,2,1,0,0,0,22
,184,S,162,B,12,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,24,4,3,47,6,6,-,-,-,-,-,-,42
,183,L,7,AC,50,8,2,1,-,-,-,-,-,-,-,-,-,140
A=<27,B=50,C=#20
Thursday,07-June-2018,00:06,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,83,14,6,4,0,0,0,17,6,5,0,0,0,18
,288,S,270,B,13,0,0,0,54,2,2,-,-,-,-,-,-,24
A=<63,B=#32
Thursday,07-June-2018,00:06,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,33,19,3,2,15,3,2,15,3,2,-,-,-,24
,354,S,31,B,17,14,2,1,20,2,1,27,2,2,-,-,-,25
,182,S,34,A,61,0,0,0,16,4,3,-,-,-,-,-,-,13
A=<47,B=53
Thursday,07-June-2018,00:07,SS,85M+,PL,1.3,PV,2.3,CL,100,+0,RL,88,SA,313,DS,156
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,50,-,-,-,16,4,2,0,0,0,-,-,-,36
,196,S,310,A,36,46,4,5,19,2,2,54,4,6,-,-,-,44
,196,S,311,ABE,36,0,0,0,31,4,4,44,5,5,0,0,0,35
,196,S,312,D,42,20,4,3,22,4,3,66,8,11,0,0,0,56
,197,L,71,ABF,32,11,2,1,40,5,5,-,-,-,-,-,-,180
,197,L,72,ABF,32,35,3,4,15,2,2,-,-,-,-,-,-,180
A=<9,B=20,C=#25,D=28,E=18
Thursday,07-June-2018,00:07,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,37,31,6,4,31,6,4,17,3,2,-,-,-,26
,354,S,31,B,15,18,2,1,22,2,1,0,0,0,-,-,-,19
,182,S,34,A,49,0,0,0,14,3,2,-,-,-,-,-,-,14
A=<47,B=53
Thursday,07-June-2018,00:08,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,18,3,3,14,3,2,15,4,3,6,2,1,20
,183,S,21,B,29,28,4,3,33,5,3,17,3,2,-,-,-,40
,184,S,161,A,75,14,4,4,14,4,4,19,7,6,7,2,2,18
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,28,4,3,33,5,3,-,-,-,-,-,-,40
,183,L,7,AC,52,18,3,3,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Thursday,07-June-2018,00:08,SS,58M+,PL,4.3,PV,2.3,CL,86,+0,RL,69,SA,200,DS,66
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,74,18,6,5,0,0,0,24,8,7,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,18
A=<65,B=#30
Thursday,07-June-2018,00:08,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,96,SA,310,DS,95
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,58,-,-,-,47,9,8,24,5,4,-,-,-,35
,196,S,310,A,33,72,5,7,70,5,7,154,7,14,-,-,-,95
,196,S,311,ABE,33,0,0,0,44,4,5,45,3,5,18,2,2,40
,196,S,312,D,32,0,0,0,37,5,4,52,7,6,21,3,2,59
,197,L,71,ABF,52,24,6,4,18,5,4,-,-,-,-,-,-,220
,197,L,72,ABF,52,14,3,2,20,4,3,-,-,-,-,-,-,180
A=<18,B=20,C=#25,D=20,E=17
Thursday,07-June-2018,00:08,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,16,7,3,14,6,3,24,7,5,-,-,-,25
,354,S,31,B,14,0,0,0,66,2,4,36,2,2,-,-,-,43
,182,S,34,A,66,7,2,1,15,4,3,-,-,-,-,-,-,15
A=<47,B=53
Thursday,07-June-2018,00:09,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
