Strategic,Monitor,On,Friday,20-April-2018,filename:CCITY_20180420

Friday,20-April-2018,00:00,SS,6M+,PL,6.3,PV,7.3,CL,117,+0,RL,98,SA,20,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Friday,20-April-2018,00:04,SS,58M+,PL,3.3,PV,3.3,CL,120,+0,RL,99,SA,200,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,99,20,7,8,7,2,2,20,8,8,0,0,0,21
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,33
A=<78,B=#26
Friday,20-April-2018,00:05,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,135,SA,310,DS,105
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,99,-,-,-,21,7,6,7,3,2,-,-,-,22
,196,S,310,A,33,50,5,5,65,5,6,54,3,5,-,-,-,105
,196,S,311,ABE,56,0,0,0,48,10,9,36,8,8,23,5,5,47
,196,S,312,D,32,8,2,1,27,3,3,40,5,5,0,0,0,51
,197,L,71,ABF,77,22,7,6,31,8,10,-,-,-,-,-,-,360
,197,L,72,ABF,77,32,11,8,22,7,6,-,-,-,-,-,-,420
A=<22,B=20,C=#25,D=20,E=17
Friday,20-April-2018,00:06,SS,6M+,PL,6.3,PV,6.3,CL,120,+0,RL,100,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,92,19,6,5,10,3,3,13,5,5,6,2,2,28
,183,S,21,B,41,47,6,6,89,12,13,55,8,7,-,-,-,58
,184,S,161,A,108,0,0,0,25,11,10,22,11,9,7,2,2,28
,184,S,162,B,12,25,2,1,0,0,0,-,-,-,-,-,-,11
,183,S,183,B,41,47,6,6,89,12,13,-,-,-,-,-,-,58
,183,L,7,AC,92,19,6,5,-,-,-,-,-,-,-,-,-,100
A=<35,B=48,C=#20
Friday,20-April-2018,00:06,SS,10M+,PL,4.2,PV,4.2,CL,120,+0,RL,100,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,102,22,9,7,16,8,5,14,6,4,-,-,-,18
,354,S,31,B,23,29,5,2,11,3,1,8,2,1,-,-,-,24
,182,S,34,A,80,0,0,0,19,5,5,-,-,-,-,-,-,15
,2,L,14,AD,52,17,4,3,16,5,4,-,-,-,-,-,-,1000
,2,L,15,AD,52,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,20-April-2018,00:06,SS,58M+,PL,4.3,PV,4.3,CL,120,+0,RL,100,SA,200,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,120,40,21,18,7,3,3,24,12,11,0,0,0,30
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,19
A=<73,B=#32
Friday,20-April-2018,00:07,SS,85M+,PL,5.3,PV,5.3,CL,120,+0,RL,125,SA,310,DS,96
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,78,-,-,-,42,10,10,22,5,5,-,-,-,30
,196,S,310,A,69,43,7,9,84,13,17,60,6,12,-,-,-,96
,196,S,311,ABE,69,5,2,1,23,7,5,12,4,3,22,5,6,34
,196,S,312,D,43,42,3,5,54,7,7,125,12,20,43,5,5,83
,197,L,71,ABF,77,22,7,6,31,8,10,-,-,-,-,-,-,400
,197,L,72,ABF,77,32,11,8,22,7,6,-,-,-,-,-,-,400
A=<18,B=20,C=#25,D=24,E=17
Friday,20-April-2018,00:08,SS,6M+,PL,6.3,PV,7.3,CL,118,+0,RL,101,SA,20,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,81,17,6,4,34,10,9,35,14,11,7,3,2,32
,183,S,21,B,40,35,6,5,60,7,8,30,4,4,-,-,-,62
,184,S,161,A,121,99,2,40,30,15,13,36,20,17,14,6,5,60
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,8
,183,S,183,B,40,35,6,5,60,7,8,-,-,-,-,-,-,62
,183,L,7,AC,81,17,6,4,-,-,-,-,-,-,-,-,-,120
A=<35,B=48,C=#20
Friday,20-April-2018,00:08,SS,10M+,PL,3.2,PV,3.2,CL,118,+0,RL,101,SA,20,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,97,17,6,5,15,6,5,6,3,2,-,-,-,18
,354,S,31,B,23,0,0,0,30,5,3,9,2,1,-,-,-,27
,182,S,34,A,86,0,0,0,17,6,5,-,-,-,-,-,-,17
,2,L,14,AD,118,30,12,11,40,21,21,-,-,-,-,-,-,1600
,2,L,15,AD,118,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,20-April-2018,00:08,SS,58M+,PL,4.3,PV,4.3,CL,118,+0,RL,101,SA,200,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,119,26,13,12,0,0,0,18,9,8,0,0,0,29
,288,S,270,B,11,0,0,0,15,2,1,-,-,-,-,-,-,7
A=<75,B=#30
Friday,20-April-2018,00:09,SS,85M+,PL,5.3,PV,8.3,CL,120,+0,RL,128,SA,310,DS,115
