Strategic,Monitor,On,Saturday,28-April-2018,filename:CCITY_20180428

Saturday,28-April-2018,00:00,SS,6M+,PL,3.3,PV,7.3,CL,86,+0,RL,86,SA,52,DS,90
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Saturday,28-April-2018,00:03,SS,58M+,PL,1.3,PV,1.3,CL,87,+0,RL,70,SA,200,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,100,33,14,13,6,2,2,28,11,12,0,0,0,34
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Saturday,28-April-2018,00:05,SS,6M+,PL,3.3,PV,5.3,CL,87,+0,RL,86,SA,20,DS,67
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,67,6,8,22,3,3,66,10,10,14,2,2,50
,183,S,21,B,28,66,9,6,85,8,8,78,8,7,-,-,-,68
,184,S,161,A,89,14,6,4,43,14,13,38,13,13,14,5,4,46
,184,S,162,B,11,18,2,1,21,2,1,-,-,-,-,-,-,9
,183,S,183,B,28,66,9,6,85,8,8,-,-,-,-,-,-,68
,183,L,7,AC,38,67,6,8,-,-,-,-,-,-,-,-,-,280
A=<35,B=42,C=#20
Saturday,28-April-2018,00:05,SS,10M+,PL,3.2,PV,4.2,CL,87,+0,RL,70,SA,20,DS,67
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,83,14,6,4,10,5,3,7,3,2,-,-,-,12
,354,S,31,B,28,32,5,3,47,7,5,0,0,0,-,-,-,21
,182,S,34,A,23,13,3,1,21,4,2,-,-,-,-,-,-,28
,2,L,14,AD,68,47,11,11,52,15,16,-,-,-,-,-,-,2260
,2,L,15,AD,68,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Saturday,28-April-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,87,+0,RL,70,SA,201,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,79,31,8,9,10,3,2,25,8,8,0,0,0,34
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Saturday,28-April-2018,00:05,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,168
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,89,-,-,-,21,8,5,5,2,1,-,-,-,30
,196,S,310,A,61,33,6,6,99,12,17,167,5,29,-,-,-,168
,196,S,311,ABE,60,0,0,0,38,8,7,52,10,11,0,0,0,48
,196,S,312,D,43,87,9,11,75,9,10,122,13,20,45,7,5,115
,197,L,71,ABF,109,31,12,12,34,13,15,-,-,-,-,-,-,760
,197,L,72,ABF,109,78,15,27,65,12,24,-,-,-,-,-,-,840
A=<22,B=20,C=#25,D=20,E=17
Saturday,28-April-2018,00:06,SS,6M+,PL,3.3,PV,8.3,CL,86,+0,RL,86,SA,20,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,0,0,0,28,5,5,33,7,7,13,2,3,45
,183,S,21,B,30,38,3,4,33,3,3,22,2,2,-,-,-,57
,184,S,161,A,75,0,0,0,14,4,4,29,8,9,9,2,2,38
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,7
,183,S,183,B,30,38,3,4,33,3,3,-,-,-,-,-,-,57
,183,L,7,AC,57,0,0,0,-,-,-,-,-,-,-,-,-,160
A=<35,B=42,C=#20
Saturday,28-April-2018,00:06,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,70,SA,20,DS,33
