,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1044.6184,857.7014,109187.45,245.38214,7.1836e+16,330.43524,0.6384143016555093
1,1,1087.4371,882.81476,97416.16,230.73824,4.9572482e+16,312.1156,0.6777591488578103
2,2,1092.0061,883.5441,108812.33,240.42929,6.8793294e+16,329.86713,0.6304195577448065
3,3,1156.739,892.4222,102965.22,238.24345,5.106945e+16,320.88193,0.6023560816591437
4,4,1170.3074,868.1574,106276.08,242.90805,5.085551e+16,326.00012,0.5554934685880487
5,5,1065.0598,769.0688,98753.28,236.04692,4.422332e+16,314.25034,0.43661037900231103
6,6,942.06323,698.40735,87304.84,223.31276,5.4015416e+16,295.47394,0.48313102397051727
7,7,1037.4187,853.21576,97870.65,230.53697,6.7852095e+16,312.84283,0.6586946411566301
8,8,1083.2291,884.31384,98116.305,232.61151,5.8668923e+16,313.23523,0.6806538321755149
