,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1151.615,710.4276,123862.89,266.56476,7.1753145e+16,351.9416,0.6489031381077237
1,1,1208.8606,732.64966,111800.51,252.73953,5.1963233e+16,334.3658,0.689174042807685
2,2,1247.7709,755.5318,145239.22,278.54553,6.140205e+16,381.10263,0.62823396258884
3,3,1283.8335,751.1249,133414.75,271.92447,5.049507e+16,365.25983,0.627584285206265
4,4,1330.794,728.4498,138810.42,282.2051,4.2093926e+16,372.5727,0.6006774107615153
5,5,1317.375,679.398,141199.19,282.73972,6.353734e+16,375.7648,0.47493427991867065
