,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1095.5677,703.7009,140041.03,287.04916,8.203102e+16,374.22055,0.6076083183288574
1,1,1149.124,733.41766,118485.84,254.63275,6.414415e+16,344.2177,0.6785554620954726
2,2,1170.149,741.2326,116650.055,253.26947,5.809575e+16,341.5407,0.7037007080184089
3,3,1208.0472,736.2085,137764.08,272.41226,6.3185673e+16,371.16583,0.6383815871344672
4,4,1255.3851,734.1104,132637.1,270.62302,5.76991e+16,364.19376,0.6318972309430441
5,5,1188.6945,619.94666,114447.53,254.90259,6.1487813e+16,338.30093,0.49707116021050346
