,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1184.5665,610.8267,119258.164,262.88498,6.2036065e+16,345.33777,0.43703580564922756
1,1,1195.403,710.6583,121155.766,261.12137,4.6952943e+16,348.07437,0.6323179337713454
2,2,1258.6627,768.9561,162880.73,282.7552,5.0517354e+16,403.58484,0.6222806837823656
3,3,1280.6149,764.53375,160542.56,284.07846,5.0903407e+16,400.67764,0.6019679837756686
4,4,1291.8477,731.4481,133766.06,269.5378,4.262483e+16,365.74042,0.6197583079338074
5,5,1325.861,717.5041,134032.39,271.5734,5.425215e+16,366.10434,0.58760576777988
