Strategic,Monitor,On,Tuesday,29-May-2018,filename:CCITY_20180529

Tuesday,29-May-2018,00:00,SS,28M+,PL,7.3,PV,7.3,CL,60,+0,RL,44,SA,47,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,17
,182,S,34,A,44,9,2,1,9,2,1,-,-,-,-,-,-,33
A=<53,B=47
Tuesday,29-May-2018,00:02,SS,23M+,PL,2.2,PV,3.3,CL,60,+0,RL,60,SA,130,DS,37
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,44,25,7,5,37,9,7,20,5,4,-,-,-,38
,152,S,131,A,44,0,0,0,15,3,2,-,-,-,-,-,-,16
,152,S,132,C,16,42,2,2,43,3,3,23,2,1,-,-,-,36
,193,L,57,ABCE,69,4,2,1,28,7,6,23,6,5,-,-,-,340
,193,L,58,AE,47,10,2,1,20,4,3,14,3,2,-,-,-,180
A=<71,B=1,C=29,D=1
Tuesday,29-May-2018,00:03,SS,28M+,PL,6.3,PV,6.3,CL,60,+0,RL,56,SA,47,DS,65
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,39,0,0,0,0,0,0,-,-,-,-,-,-,27
,48,S,90,A,39,-,-,-,-,-,-,0,0,0,-,-,-,53
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,5
,48,S,213,A,39,-,-,-,-,-,-,0,0,0,-,-,-,53
,48,L,23,A,39,0,0,0,0,0,0,-,-,-,-,-,-,160
,48,L,49,A,39,-,-,-,-,-,-,0,0,0,-,-,-,300
A=<31,B=32,C=#22
Tuesday,29-May-2018,00:03,SS,3M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,89,10,4,3,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,19,68,3,5,25,2,2,0,0,0,-,-,-,35
,145,S,133,AB,73,12,4,4,9,2,2,-,-,-,-,-,-,15
,145,S,204,AB,73,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,73,12,4,4,9,2,2,-,-,-,-,-,-,15
,145,S,212,AC,89,10,4,3,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,73,12,4,4,9,2,2,-,-,-,-,-,-,280
A=<33,B=#23,C=40
Tuesday,29-May-2018,00:03,SS,10,-,PL,3.2,PV,3.2,CL,60,+6,RL,60,SA,30,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,26,12,2,1,14,2,1,0,0,0,-,-,-,17
,354,S,31,B,19,12,2,1,19,2,1,0,0,0,-,-,-,18
,182,S,34,A,44,0,0,0,27,3,4,-,-,-,-,-,-,27
A=<53,B=47
Tuesday,29-May-2018,00:03,SS,23M+,PL,5.2,PV,5.3,CL,60,+0,RL,60,SA,131,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,47,16,4,4,10,3,2,6,2,1,-,-,-,30
,152,S,131,A,47,33,6,5,7,2,1,-,-,-,-,-,-,24
,152,S,132,C,16,50,3,2,0,0,0,0,0,0,-,-,-,42
,193,L,57,ABCE,63,5,2,1,21,4,4,18,4,4,-,-,-,380
,193,L,58,AE,41,13,2,2,15,3,2,0,0,0,-,-,-,180
A=<65,B=1,C=35,D=1
Tuesday,29-May-2018,00:04,SS,28M+,PL,7.3,PV,7.3,CL,60,+0,RL,52,SA,47,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,58,0,0,0,10,3,2,-,-,-,-,-,-,18
,48,S,90,A,58,-,-,-,-,-,-,0,0,0,-,-,-,36
,48,S,91,BC,15,20,3,1,13,2,1,-,-,-,-,-,-,9
