Strategic,Monitor,On,Wednesday,20-June-2018,filename:CCITY_20180620

Wednesday,20-June-2018,00:00,SS,10,-,PL,4.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,23,6,5,14,5,3,6,2,1,-,-,-,22
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,18
,182,S,34,A,60,7,2,1,11,3,2,-,-,-,-,-,-,16
A=<47,B=53
Wednesday,20-June-2018,00:00,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,22,4,4,10,2,2,23,5,5,12,2,2,26
,183,S,21,B,31,42,6,4,42,5,5,20,3,2,-,-,-,47
,184,S,161,A,76,16,5,4,23,7,6,13,5,4,0,0,0,26
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,42,6,4,42,5,5,-,-,-,-,-,-,47
,183,L,7,AC,54,22,4,4,-,-,-,-,-,-,-,-,-,180
A=<29,B=48,C=#20
Wednesday,20-June-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,10,4,3,6,2,2,8,4,3,0,0,0,15
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Wednesday,20-June-2018,00:01,SS,10,-,PL,4.2,PV,4.2,CL,60,-5,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,27,0,0,0,0,0,0,0,0,0,-,-,-,15
,354,S,31,B,15,19,2,1,0,0,0,0,0,0,-,-,-,17
,182,S,34,A,46,0,0,0,14,3,2,-,-,-,-,-,-,14
A=<47,B=53
Wednesday,20-June-2018,00:01,SS,85M+,PL,6.3,PV,5.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,98,-,-,-,24,10,7,5,2,1,-,-,-,22
,196,S,310,A,16,0,0,0,54,2,3,39,2,2,-,-,-,54
,196,S,311,ABE,41,0,0,0,36,5,5,32,4,5,12,2,2,40
,196,S,312,D,31,64,6,6,35,4,4,52,6,6,0,0,0,58
,197,L,71,ABF,61,21,5,4,29,5,7,-,-,-,-,-,-,360
,197,L,72,ABF,61,23,5,5,10,2,2,-,-,-,-,-,-,300
A=<15,B=20,C=#25,D=23,E=17
Wednesday,20-June-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,8,2,1,23,4,4,10,3,2,0,0,0,25
,183,S,21,B,25,0,0,0,22,3,2,0,0,0,-,-,-,38
,184,S,161,A,84,14,5,4,29,9,8,17,7,6,6,2,2,27
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,25,0,0,0,22,3,2,-,-,-,-,-,-,38
,183,L,7,AC,55,8,2,1,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Wednesday,20-June-2018,00:01,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,15,6,5,5,2,1,22,10,9,0,0,0,18
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Wednesday,20-June-2018,00:02,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,44,SA,59,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,45,0,0,0,0,0,0,0,0,0,-,-,-,5
,354,S,31,B,17,27,3,2,14,2,1,15,2,1,-,-,-,18
,182,S,34,A,46,0,0,0,14,3,2,-,-,-,-,-,-,13
A=<47,B=53
Wednesday,20-June-2018,00:02,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,55,-,-,-,11,3,2,0,0,0,-,-,-,19
,196,S,310,A,41,46,4,6,56,7,7,44,2,5,-,-,-,54
,196,S,311,ABE,41,9,2,2,13,3,2,28,4,4,12,2,2,36
,196,S,312,D,24,0,0,0,0,0,0,24,3,2,21,3,1,45
,197,L,71,ABF,42,33,6,5,30,7,5,-,-,-,-,-,-,360
,197,L,72,ABF,42,8,2,1,9,2,1,-,-,-,-,-,-,180
A=<18,B=20,C=#25,D=20,E=17
Wednesday,20-June-2018,00:03,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,38,9,2,1,9,2,1,0,0,0,-,-,-,4
,354,S,31,B,20,15,2,1,13,2,1,0,0,0,-,-,-,20
,182,S,34,A,61,0,0,0,10,3,2,-,-,-,-,-,-,12
A=<53,B=47
Wednesday,20-June-2018,00:03,SS,6M+,PL,6.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,60,16,4,3,16,3,3,12,3,3,9,2,2,20
,183,S,21,B,31,24,3,2,28,5,3,0,0,0,-,-,-,29
,184,S,161,A,86,8,3,2,15,5,4,7,3,2,0,0,0,21
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,24,3,2,28,5,3,-,-,-,-,-,-,29
,183,L,7,AC,60,16,4,3,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Wednesday,20-June-2018,00:03,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,86,0,0,0,0,0,0,6,4,3,0,0,0,12
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Wednesday,20-June-2018,00:04,SS,10,-,PL,3.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,40,27,4,3,21,4,3,21,4,2,-,-,-,15
,354,S,31,B,15,0,0,0,20,2,1,0,0,0,-,-,-,20
,182,S,34,A,50,0,0,0,30,5,5,-,-,-,-,-,-,20
A=<53,B=47
Wednesday,20-June-2018,00:04,SS,85M+,PL,8.3,PV,7.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,98,-,-,-,16,5,5,7,3,2,-,-,-,16
,196,S,310,A,51,29,5,4,28,5,4,17,2,3,-,-,-,43
,196,S,311,ABE,51,0,0,0,20,4,4,20,3,4,11,2,2,26
,196,S,312,D,26,0,0,0,0,0,0,24,4,2,0,0,0,33
,197,L,71,ABF,27,29,2,3,36,3,4,-,-,-,-,-,-,320
,197,L,72,ABF,27,52,4,5,20,2,2,-,-,-,-,-,-,180
A=<18,B=20,C=#25,D=20,E=17
Wednesday,20-June-2018,00:04,SS,6M+,PL,6.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,0,0,0,0,0,0,7,2,2,0,0,0,13
,183,S,21,B,24,24,3,2,21,3,2,0,0,0,-,-,-,25
,184,S,161,A,84,9,3,3,12,4,3,7,3,2,0,0,0,17
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,24,24,3,2,21,3,2,-,-,-,-,-,-,25
,183,L,7,AC,55,0,0,0,-,-,-,-,-,-,-,-,-,40
A=<29,B=48,C=#20
Wednesday,20-June-2018,00:04,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,74,6,2,2,0,0,0,5,2,2,0,0,0,10
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Wednesday,20-June-2018,00:05,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,44,0,0,0,0,0,0,0,0,0,-,-,-,11
,354,S,31,B,18,32,3,2,34,3,2,15,2,1,-,-,-,25
,182,S,34,A,50,0,0,0,30,5,5,-,-,-,-,-,-,26
A=<47,B=53
Wednesday,20-June-2018,00:06,SS,10,-,PL,4.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,43,27,5,4,19,4,3,20,4,3,-,-,-,18
,354,S,31,B,18,15,2,1,14,2,1,0,0,0,-,-,-,22
,182,S,34,A,61,0,0,0,14,4,3,-,-,-,-,-,-,23
A=<47,B=53
Wednesday,20-June-2018,00:06,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,61,16,3,3,11,3,2,0,0,0,0,0,0,13
,183,S,21,B,31,37,5,4,35,4,4,34,5,4,-,-,-,31
,184,S,161,A,86,8,3,2,19,6,5,6,3,2,0,0,0,16
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,37,5,4,35,4,4,-,-,-,-,-,-,31
,183,L,7,AC,61,16,3,3,-,-,-,-,-,-,-,-,-,80
A=<31,B=46,C=#20
Wednesday,20-June-2018,00:06,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,19,8,6,5,2,1,14,7,6,0,0,0,12
,288,S,270,B,13,49,2,2,50,2,2,-,-,-,-,-,-,23
A=<63,B=#32
Wednesday,20-June-2018,00:06,SS,85M+,PL,4.3,PV,4.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
