Strategic,Monitor,On,Sunday,13-May-2018,filename:CCITY_20180513

Sunday,13-May-2018,00:01,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,15,DS,122
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Sunday,13-May-2018,00:03,SS,58M-,PL,3.3,PV,3.3,CL,86,+0,RL,70,SA,201,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,36,14,11,4,2,1,16,7,6,0,0,0,33
,288,S,270,B,21,28,2,2,0,0,0,-,-,-,-,-,-,13
A=<67,B=#28
Sunday,13-May-2018,00:05,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,38
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,38,5,7,17,4,3,22,5,5,0,0,0,42
,183,S,21,B,33,36,5,4,60,7,7,10,2,1,-,-,-,51
,184,S,161,A,89,5,2,2,14,5,4,18,8,6,0,0,0,39
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,36,5,4,60,7,7,-,-,-,-,-,-,51
,183,L,7,AC,57,38,5,7,-,-,-,-,-,-,-,-,-,300
A=<31,B=46,C=#20
Sunday,13-May-2018,00:05,SS,10M+,PL,4.2,PV,3.2,CL,86,+0,RL,70,SA,20,DS,38
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,23,9,5,23,9,6,18,6,4,-,-,-,23
,354,S,31,B,17,10,2,1,21,2,1,0,0,0,-,-,-,24
,182,S,34,A,20,9,2,1,24,3,2,-,-,-,-,-,-,19
,2,L,14,AD,72,42,6,11,50,14,16,-,-,-,-,-,-,2060
,2,L,15,AD,72,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,13-May-2018,00:05,SS,58M+,PL,3.3,PV,2.3,CL,86,+0,RL,70,SA,200,DS,38
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,68,35,10,9,6,2,1,28,9,8,0,0,0,36
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,9
A=<70,B=#26
Sunday,13-May-2018,00:05,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,135,SA,310,DS,150
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,109,-,-,-,94,2,30,11,5,3,-,-,-,76
,196,S,310,A,51,47,7,7,64,9,10,156,6,23,-,-,-,150
,196,S,311,ABE,51,44,3,9,61,10,10,60,9,10,20,4,4,52
,196,S,312,D,31,47,4,4,22,3,2,55,8,7,24,3,2,66
,197,L,71,ABF,57,39,8,8,53,10,12,-,-,-,-,-,-,520
,197,L,72,ABF,57,89,4,16,113,12,19,-,-,-,-,-,-,620
A=<22,B=20,C=#25,D=20,E=17
Sunday,13-May-2018,00:06,SS,6M+,PL,5.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,51,24,5,4,30,6,5,21,5,4,8,2,2,38
,183,S,21,B,31,31,4,3,42,3,4,10,2,1,-,-,-,53
,184,S,161,A,83,19,7,5,28,10,8,22,9,7,5,2,1,32
,184,S,162,B,11,24,2,1,0,0,0,-,-,-,-,-,-,11
,183,S,183,B,31,31,4,3,42,3,4,-,-,-,-,-,-,53
,183,L,7,AC,51,24,5,4,-,-,-,-,-,-,-,-,-,260
A=<31,B=46,C=#20
Sunday,13-May-2018,00:06,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,61,10,3,2,12,4,3,10,3,2,-,-,-,18
,354,S,31,B,25,33,5,3,42,7,4,0,0,0,-,-,-,31
,182,S,34,A,13,0,0,0,8,2,0,-,-,-,-,-,-,14
