Strategic,Monitor,On,Sunday,10-June-2018,filename:CCITY_20180610

Sunday,10-June-2018,00:00,SS,3M+,PL,1.3,PV,22.3,CL,120,+0,RL,101,SA,206,DS,151
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,101,22,7,8,-,-,-,-,-,-,-,-,-,21
,145,S,10,C,19,19,3,1,24,5,2,0,0,0,-,-,-,73
,145,S,133,AB,105,14,7,7,20,7,7,-,-,-,-,-,-,20
,145,S,204,AB,105,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,105,14,7,7,20,7,7,-,-,-,-,-,-,20
,145,S,212,AC,101,22,7,8,-,-,-,-,-,-,-,-,-,21
,145,L,4,AB,105,14,7,7,20,7,7,-,-,-,-,-,-,360
A=<36,B=#23,C=45
Sunday,10-June-2018,00:00,SS,28M+,PL,2.2,PV,2.2,CL,117,+0,RL,111,SA,47,DS,101
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,55,12,3,3,13,3,2,-,-,-,-,-,-,18
,48,S,90,A,55,-,-,-,-,-,-,0,0,0,-,-,-,49
,48,S,91,BC,51,57,7,10,23,6,4,-,-,-,-,-,-,72
,48,S,213,A,55,-,-,-,-,-,-,0,0,0,-,-,-,49
,48,L,23,A,55,12,3,3,13,3,2,-,-,-,-,-,-,240
,48,L,49,A,55,-,-,-,-,-,-,0,0,0,-,-,-,440
A=<37,B=44,C=#22
Sunday,10-June-2018,00:00,SS,10M-,PL,2.2,PV,2.2,CL,85+18,RL,60,SA,30,DS,56
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,43,56,8,8,52,9,7,39,6,5,-,-,-,48
,354,S,31,B,23,29,3,2,25,3,2,11,2,1,-,-,-,26
,182,S,34,A,49,10,2,2,34,6,6,-,-,-,-,-,-,32
A=<60,B=40
Sunday,10-June-2018,00:00,SS,23M+,PL,2.2,PV,2.2,CL,120,+0,RL,101,SA,310,DS,147
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,96,41,22,18,51,22,21,39,16,16,-,-,-,53
,152,S,131,A,96,32,12,10,25,10,9,-,-,-,-,-,-,33
,152,S,132,C,29,45,4,4,28,4,3,25,4,3,-,-,-,38
,193,L,57,ABCE,72,4,2,1,55,13,13,48,11,12,-,-,-,860
,193,L,58,AE,50,31,6,5,55,10,10,46,7,8,-,-,-,600
A=<71,B=1,C=29,D=1
Sunday,10-June-2018,00:01,SS,10,-,PL,2.2,PV,2.2,CL,83+12,RL,64,SA,56,DS,140
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,58,58,14,11,51,13,10,42,8,8,-,-,-,52
,354,S,31,B,24,36,4,3,46,4,4,0,0,0,-,-,-,36
,182,S,34,A,40,0,0,0,22,2,3,-,-,-,-,-,-,29
A=<60,B=40
Sunday,10-June-2018,00:02,SS,3M+,PL,1.3,PV,0.3,CL,120,+0,RL,101,SA,200,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,108,5,2,2,-,-,-,-,-,-,-,-,-,14
,145,S,10,C,15,10,2,1,19,4,1,0,0,0,-,-,-,51
,145,S,133,AB,94,8,4,4,20,7,6,-,-,-,-,-,-,21
,145,S,204,AB,94,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,94,8,4,4,20,7,6,-,-,-,-,-,-,21
,145,S,212,AC,108,5,2,2,-,-,-,-,-,-,-,-,-,14
,145,L,4,AB,94,8,4,4,20,7,6,-,-,-,-,-,-,340
A=<36,B=#23,C=45
Sunday,10-June-2018,00:02,SS,28M+,PL,8.2,PV,8.2,CL,119,+0,RL,121,SA,90,DS,149
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,72,26,5,7,53,12,13,-,-,-,-,-,-,31
,48,S,90,A,72,-,-,-,-,-,-,149,3,40,-,-,-,100
,48,S,91,BC,40,33,4,5,36,8,5,-,-,-,-,-,-,53
,48,S,213,A,72,-,-,-,-,-,-,149,3,40,-,-,-,100
,48,L,23,A,72,26,5,7,53,12,13,-,-,-,-,-,-,360
,48,L,49,A,72,-,-,-,-,-,-,149,3,40,-,-,-,840
A=<54,B=28,C=#22
Sunday,10-June-2018,00:02,SS,23M+,PL,3.2,PV,3.3,CL,120-15,RL,101,SA,310,DS,150
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,102,41,24,20,38,19,17,29,13,13,-,-,-,47
,152,S,131,A,102,17,6,6,23,10,9,-,-,-,-,-,-,30
,152,S,132,C,17,16,2,1,14,2,1,0,0,0,-,-,-,28
,193,L,57,ABCE,95,7,3,3,52,17,16,53,18,18,-,-,-,960
,193,L,58,AE,73,39,10,8,39,11,11,52,12,14,-,-,-,760
A=<68,B=1,C=32,D=1
Sunday,10-June-2018,00:02,SS,10,-,PL,2.2,PV,2.2,CL,85+12,RL,65,SA,56,DS,140
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,58,58,14,11,51,13,10,42,8,8,-,-,-,58
,354,S,31,B,24,36,4,3,46,4,4,0,0,0,-,-,-,42
,182,S,34,A,40,0,0,0,22,2,3,-,-,-,-,-,-,25
A=<60,B=40
Sunday,10-June-2018,00:04,SS,3M+,PL,1.3,PV,1.3,CL,118,+0,RL,101,SA,200,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,127,20,9,9,-,-,-,-,-,-,-,-,-,15
,145,S,10,C,26,25,5,3,9,2,1,0,0,0,-,-,-,23
,145,S,133,AB,102,9,4,4,29,10,10,-,-,-,-,-,-,24
,145,S,204,AB,102,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,102,9,4,4,29,10,10,-,-,-,-,-,-,24
,145,S,212,AC,127,20,9,9,-,-,-,-,-,-,-,-,-,15
,145,L,4,AB,102,9,4,4,29,10,10,-,-,-,-,-,-,380
A=<41,B=#23,C=40
Sunday,10-June-2018,00:04,SS,28M+,PL,8.2,PV,8.2,CL,120,+0,RL,126,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,73,21,6,6,33,10,8,-,-,-,-,-,-,35
,48,S,90,A,73,-,-,-,-,-,-,154,3,42,-,-,-,118
,48,S,91,BC,47,118,8,19,59,10,9,-,-,-,-,-,-,78
,48,S,213,A,73,-,-,-,-,-,-,154,3,42,-,-,-,118
,48,L,23,A,73,21,6,6,33,10,8,-,-,-,-,-,-,420
,48,L,49,A,73,-,-,-,-,-,-,154,3,42,-,-,-,960
A=<54,B=28,C=#22
Sunday,10-June-2018,00:04,SS,23M+,PL,3.2,PV,7.3,CL,120,+2,RL,101,SA,310,DS,152
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,103,25,15,12,27,14,12,29,15,13,-,-,-,38
,152,S,131,A,103,35,14,12,14,7,5,-,-,-,-,-,-,30
,152,S,132,C,30,53,6,5,36,4,4,38,5,4,-,-,-,39
,193,L,57,ABCE,95,7,3,3,52,17,16,53,18,18,-,-,-,1020
,193,L,58,AE,73,39,10,8,39,11,11,52,12,14,-,-,-,920
A=<68,B=1,C=32,D=1
Sunday,10-June-2018,00:04,SS,10,+,PL,4.2,PV,4.2,CL,88,+0,RL,67,SA,30,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,89,39,14,11,32,13,9,26,8,7,-,-,-,49
,354,S,31,B,38,63,8,9,38,5,6,33,3,5,-,-,-,54
,182,S,34,A,46,14,3,2,25,5,4,-,-,-,-,-,-,23
A=<47,B=53
Sunday,10-June-2018,00:05,SS,10,+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,30,DS,46
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,54,46,11,8,35,9,6,26,6,4,-,-,-,46
,354,S,31,B,37,14,2,2,59,6,9,0,0,0,-,-,-,57
,182,S,34,A,73,7,2,2,20,6,5,-,-,-,-,-,-,22
A=<47,B=53
Sunday,10-June-2018,00:06,SS,3M+,PL,1.3,PV,0.2,CL,106,-2,RL,100,SA,201,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,115,25,10,11,-,-,-,-,-,-,-,-,-,19
,145,S,10,C,22,29,4,3,14,3,1,0,0,0,-,-,-,25
,145,S,133,AB,94,22,11,10,29,9,9,-,-,-,-,-,-,27
,145,S,204,AB,94,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,94,22,11,10,29,9,9,-,-,-,-,-,-,27
,145,S,212,AC,115,25,10,11,-,-,-,-,-,-,-,-,-,19
,145,L,4,AB,94,22,11,10,29,9,9,-,-,-,-,-,-,460
A=<38,B=#23,C=40
Sunday,10-June-2018,00:06,SS,28M+,PL,8.2,PV,8.2,CL,120,+0,RL,121,SA,90,DS,96
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,89,18,7,6,22,8,7,-,-,-,-,-,-,32
,48,S,90,A,89,-,-,-,-,-,-,96,3,32,-,-,-,127
,48,S,91,BC,40,27,5,4,18,4,2,-,-,-,-,-,-,59
,48,S,213,A,89,-,-,-,-,-,-,96,3,32,-,-,-,127
,48,L,23,A,89,18,7,6,22,8,7,-,-,-,-,-,-,440
,48,L,49,A,89,-,-,-,-,-,-,96,3,32,-,-,-,1120
A=<54,B=28,C=#22
