Strategic,Monitor,On,Tuesday,05-June-2018,filename:CCITY_20180605

Tuesday,05-June-2018,00:00,SS,10,-,PL,4.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,69,16,6,4,10,4,2,15,4,3,-,-,-,12
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,24
,182,S,34,A,72,6,2,1,16,5,4,-,-,-,-,-,-,14
A=<47,B=53
Tuesday,05-June-2018,00:00,SS,3M+,PL,6.3,PV,6.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,69,7,2,2,-,-,-,-,-,-,-,-,-,9
,145,S,10,C,13,9,2,0,0,0,0,0,0,0,-,-,-,22
,145,S,133,AB,57,19,6,5,27,5,5,-,-,-,-,-,-,21
,145,S,204,AB,57,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,57,19,6,5,27,5,5,-,-,-,-,-,-,21
,145,S,212,AC,69,7,2,2,-,-,-,-,-,-,-,-,-,9
,145,L,4,AB,57,19,6,5,27,5,5,-,-,-,-,-,-,340
A=<48,B=#23,C=25
Tuesday,05-June-2018,00:00,SS,23M+,PL,3.4,PV,3.4,CL,100-16,RL,82,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,79,19,9,7,27,11,9,27,10,9,-,-,-,28
,152,S,131,A,79,18,7,5,21,8,6,-,-,-,-,-,-,24
,152,S,132,C,19,0,0,0,22,3,2,18,3,1,-,-,-,37
,193,L,57,ABCE,78,0,0,0,30,9,8,0,0,0,-,-,-,360
,193,L,58,AE,56,21,4,3,35,7,7,19,4,4,-,-,-,580
A=<68,B=1,C=32,D=1
Tuesday,05-June-2018,00:01,SS,28M+,PL,7.2,PV,7.2,CL,101,+0,RL,101,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,49,0,0,0,41,6,7,-,-,-,-,-,-,32
,48,S,90,A,49,-,-,-,-,-,-,154,4,31,-,-,-,69
,48,S,91,BC,21,18,4,1,7,2,0,-,-,-,-,-,-,28
,48,S,213,A,49,-,-,-,-,-,-,154,4,31,-,-,-,69
,48,L,23,A,49,0,0,0,41,6,7,-,-,-,-,-,-,360
,48,L,49,A,49,-,-,-,-,-,-,154,4,31,-,-,-,500
A=<48,B=30,C=#22
Tuesday,05-June-2018,00:01,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,30,10,2,1,10,2,1,0,0,0,-,-,-,10
,354,S,31,B,18,26,3,2,27,2,2,0,0,0,-,-,-,21
,182,S,34,A,68,0,0,0,12,3,3,-,-,-,-,-,-,14
A=<53,B=47
Tuesday,05-June-2018,00:02,SS,3M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,201,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,65,15,4,3,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,14,22,2,1,0,0,0,0,0,0,-,-,-,19
,145,S,133,AB,76,11,6,4,17,5,4,-,-,-,-,-,-,20
,145,S,204,AB,76,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,76,11,6,4,17,5,4,-,-,-,-,-,-,20
,145,S,212,AC,65,15,4,3,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,76,11,6,4,17,5,4,-,-,-,-,-,-,340
A=<36,B=#23,C=37
Tuesday,05-June-2018,00:02,SS,23M+,PL,3.4,PV,7.3,CL,95,-7,RL,82,SA,130,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,89,23,13,10,25,13,10,12,6,5,-,-,-,26
,152,S,131,A,89,17,7,5,15,7,5,-,-,-,-,-,-,20
,152,S,132,C,22,45,4,3,31,3,3,28,3,2,-,-,-,36
,193,L,57,ABCE,74,0,0,0,55,15,13,0,0,0,-,-,-,400
,193,L,58,AE,52,0,0,0,25,4,5,23,4,4,-,-,-,440
A=<68,B=1,C=32,D=1
Tuesday,05-June-2018,00:02,SS,10,-,PL,3.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,64,6,3,1,6,3,1,4,2,1,-,-,-,10
,354,S,31,B,14,0,0,0,83,3,5,0,0,0,-,-,-,46
,182,S,34,A,68,0,0,0,12,3,3,-,-,-,-,-,-,13
A=<53,B=47
Tuesday,05-June-2018,00:02,SS,28M+,PL,7.2,PV,8.2,CL,103,+0,RL,110,SA,90,DS,151
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,71,5,2,1,32,8,8,-,-,-,-,-,-,33
,48,S,90,A,71,-,-,-,-,-,-,151,6,44,-,-,-,119
,48,S,91,BC,35,47,2,6,29,4,3,-,-,-,-,-,-,31
,48,S,213,A,71,-,-,-,-,-,-,151,6,44,-,-,-,119
,48,L,23,A,71,5,2,1,32,8,8,-,-,-,-,-,-,300
,48,L,49,A,71,-,-,-,-,-,-,151,6,44,-,-,-,1080
A=<49,B=30,C=#22
Tuesday,05-June-2018,00:03,SS,3M+,PL,2.3,PV,0.3,CL,86,+0,RL,69,SA,200,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,89,8,3,2,-,-,-,-,-,-,-,-,-,10
,145,S,10,C,14,10,2,1,0,0,0,17,2,1,-,-,-,17
,145,S,133,AB,78,0,0,0,9,3,2,-,-,-,-,-,-,16
,145,S,204,AB,78,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,78,0,0,0,9,3,2,-,-,-,-,-,-,16
,145,S,212,AC,89,8,3,2,-,-,-,-,-,-,-,-,-,10
,145,L,4,AB,78,0,0,0,9,3,2,-,-,-,-,-,-,220
A=<36,B=#23,C=37
Tuesday,05-June-2018,00:03,SS,10,-,PL,2.2,PV,2.2,CL,60,+0,RL,60,SA,30,DS,37
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
