Strategic,Monitor,On,Monday,11-June-2018,filename:CCITY_20180611

Monday,11-June-2018,00:00,SS,85M+,PL,7.3,PV,7.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Monday,11-June-2018,00:04,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,61,7,2,1,15,4,3,14,4,3,0,0,0,18
,183,S,21,B,31,29,4,3,40,3,4,0,0,0,-,-,-,35
,184,S,161,A,85,9,4,2,17,6,5,10,5,3,4,2,1,16
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,29,4,3,40,3,4,-,-,-,-,-,-,35
,183,L,7,AC,61,7,2,1,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Monday,11-June-2018,00:04,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,56
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,26,10,8,0,0,0,12,5,4,0,0,0,20
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,11-June-2018,00:04,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,41,11,3,1,10,3,1,9,2,1,-,-,-,14
,354,S,31,B,15,0,0,0,23,2,1,0,0,0,-,-,-,30
,182,S,34,A,61,0,0,0,6,2,1,-,-,-,-,-,-,12
A=<47,B=53
Monday,11-June-2018,00:05,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,20,4,3,21,4,4,14,3,3,0,0,0,19
