Strategic,Monitor,On,Sunday,03-June-2018,filename:CCITY_20180603

Sunday,03-June-2018,00:00,SS,6M+,PL,3.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,37,25,3,3,15,2,2,17,3,2,-,-,-,27
,354,S,31,B,16,24,2,1,15,2,1,0,0,0,-,-,-,19
,182,S,34,A,41,14,2,2,33,4,5,-,-,-,-,-,-,30
A=<47,B=53
Sunday,03-June-2018,00:04,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,51
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,51,10,8,38,8,7,35,9,8,6,2,1,45
,183,S,21,B,34,55,7,6,58,7,7,10,2,1,-,-,-,58
,184,S,161,A,85,25,8,7,25,7,7,14,5,5,0,0,0,37
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,55,7,6,58,7,7,-,-,-,-,-,-,58
,183,L,7,AC,57,51,10,8,-,-,-,-,-,-,-,-,-,280
A=<29,B=48,C=#20
Sunday,03-June-2018,00:04,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,200,DS,65
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,74,39,12,11,10,3,2,22,8,7,0,0,0,32
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,22
A=<70,B=#26
Sunday,03-June-2018,00:04,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,48
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,44,48,9,7,43,9,6,23,5,3,-,-,-,36
,354,S,31,B,18,28,3,2,27,3,2,0,0,0,-,-,-,26
,182,S,34,A,38,67,2,8,28,3,4,-,-,-,-,-,-,47
A=<47,B=53
Sunday,03-June-2018,00:05,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,137,SA,310,DS,143
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,109,-,-,-,34,14,11,6,3,2,-,-,-,40
,196,S,310,A,57,127,14,21,76,8,13,159,7,25,-,-,-,143
,196,S,311,ABE,57,9,2,2,39,6,7,27,6,5,12,3,3,48
,196,S,312,D,44,115,12,15,46,3,7,61,10,10,26,4,3,92
,197,L,71,ABF,77,21,6,6,35,7,11,-,-,-,-,-,-,460
,197,L,72,ABF,77,30,7,8,27,7,6,-,-,-,-,-,-,440
A=<22,B=20,C=#25,D=20,E=17
Sunday,03-June-2018,00:05,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,42,33,3,4,32,3,4,27,2,3,-,-,-,36
,354,S,31,B,14,0,0,0,22,3,1,13,2,1,-,-,-,24
,182,S,34,A,38,37,5,4,55,7,7,-,-,-,-,-,-,54
A=<47,B=53
Sunday,03-June-2018,00:06,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,18,2,2,20,2,2,24,5,4,0,0,0,39
,183,S,21,B,26,24,3,2,46,4,4,0,0,0,-,-,-,53
