Strategic,Monitor,On,Wednesday,02-May-2018,filename:CCITY_20180502

Wednesday,02-May-2018,00:00,SS,28M+,PL,7.2,PV,7.2,CL,70-17,RL,61,SA,47,DS,56
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,L,4,AB,76,16,6,6,7,2,2,-,-,-,-,-,-,300
A=<48,B=#23,C=25
Wednesday,02-May-2018,00:03,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,22,7,5,12,4,3,13,4,3,-,-,-,19
,354,S,31,B,20,27,4,2,22,3,2,0,0,0,-,-,-,36
,182,S,34,A,85,0,0,0,4,2,1,-,-,-,-,-,-,19
,2,L,14,AD,66,6,2,1,25,8,7,-,-,-,-,-,-,800
,2,L,15,AD,66,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,02-May-2018,00:03,SS,28M+,PL,8.2,PV,4.2,CL,64,+2,RL,64,SA,47,DS,42
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,30,0,0,0,22,2,2,-,-,-,-,-,-,13
,48,S,90,A,30,-,-,-,-,-,-,0,0,0,-,-,-,49
,48,S,91,BC,21,25,2,2,0,0,0,-,-,-,-,-,-,23
,48,S,213,A,30,-,-,-,-,-,-,0,0,0,-,-,-,49
,48,L,23,A,30,0,0,0,22,2,2,-,-,-,-,-,-,80
,48,L,49,A,30,-,-,-,-,-,-,0,0,0,-,-,-,540
A=<38,B=28,C=#22
Wednesday,02-May-2018,00:03,SS,23M+,PL,4.2,PV,4.3,CL,95,+4,RL,95,SA,130,DS,37
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,100,35,20,17,37,18,16,12,6,5,-,-,-,27
,152,S,131,A,100,12,5,4,9,4,3,-,-,-,-,-,-,16
,152,S,132,C,29,13,2,1,48,6,6,9,2,1,-,-,-,35
,193,L,57,ABCE,81,3,2,1,27,8,7,18,5,5,-,-,-,340
,193,L,58,AE,59,15,3,3,40,8,9,0,0,0,-,-,-,320
A=<66,B=1,C=34,D=1
