Strategic,Monitor,On,Wednesday,13-June-2018,filename:CCITY_20180613

Wednesday,13-June-2018,00:00,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,0,0,0,47,5,4,-,-,-,-,-,-,37
,183,L,7,AC,59,11,3,2,-,-,-,-,-,-,-,-,-,100
A=<34,B=44,C=#20
Wednesday,13-June-2018,00:03,SS,58M+,PL,4.3,PV,4.3,CL,92,+0,RL,76,SA,200,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,79,8,3,2,0,0,0,14,6,5,0,0,0,14
,288,S,270,B,11,33,2,1,0,0,0,-,-,-,-,-,-,23
A=<65,B=#32
Wednesday,13-June-2018,00:03,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,6,2,1,6,2,1,6,2,1,-,-,-,14
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,21
,182,S,34,A,46,0,0,0,38,6,6,-,-,-,-,-,-,25
A=<47,B=53
Wednesday,13-June-2018,00:04,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,34,10,2,1,9,2,1,0,0,0,-,-,-,11
,354,S,31,B,20,25,3,2,40,4,3,0,0,0,-,-,-,28
,182,S,34,A,48,0,0,0,10,2,2,-,-,-,-,-,-,20
A=<47,B=53
Wednesday,13-June-2018,00:05,SS,85M+,PL,8.3,PV,8.4,CL,102,+1,RL,102,SA,310,DS,111
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,68,-,-,-,23,7,5,0,0,0,-,-,-,19
,196,S,310,A,50,34,4,5,43,6,6,159,6,23,-,-,-,111
,196,S,311,ABE,50,0,0,0,13,3,2,11,3,2,15,3,3,32
,196,S,312,D,28,0,0,0,18,2,2,37,5,4,0,0,0,34
,197,L,71,ABF,47,25,5,4,39,9,7,-,-,-,-,-,-,460
,197,L,72,ABF,47,9,2,1,25,2,4,-,-,-,-,-,-,220
A=<18,B=20,C=#25,D=20,E=17
Wednesday,13-June-2018,00:05,SS,6M+,PL,4.3,PV,6.3,CL,86,-2,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
