Strategic,Monitor,On,Sunday,08-April-2018,filename:CCITY_20180408

Sunday,08-April-2018,00:00,SS,6M+,PL,6.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,35,6,6,23,5,4,31,7,7,6,2,1,41
,183,S,21,B,29,29,3,3,53,7,5,23,3,2,-,-,-,46
,184,S,161,A,85,15,6,4,26,9,8,18,7,6,6,2,2,36
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,29,3,3,53,7,5,-,-,-,-,-,-,46
,183,L,7,AC,54,35,6,6,-,-,-,-,-,-,-,-,-,260
A=<29,B=48,C=#20
Sunday,08-April-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,71,SA,20,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,79,23,10,6,17,7,4,22,8,5,-,-,-,23
,354,S,31,B,26,20,3,2,30,5,3,0,0,0,-,-,-,21
,182,S,34,A,18,0,0,0,20,3,1,-,-,-,-,-,-,12
,2,L,14,AD,51,20,3,3,35,7,8,-,-,-,-,-,-,1460
,2,L,15,AD,51,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,08-April-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,15,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,56,27,6,5,16,4,3,23,7,5,16,3,3,34
,183,S,21,B,31,29,5,3,33,4,4,13,2,1,-,-,-,42
,184,S,161,A,83,20,7,5,26,9,8,21,8,7,9,3,2,29
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,29,5,3,33,4,4,-,-,-,-,-,-,42
,183,L,7,AC,56,27,6,5,-,-,-,-,-,-,-,-,-,220
A=<29,B=48,C=#20
Sunday,08-April-2018,00:01,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,15,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,56,26,7,5,29,8,5,14,4,2,-,-,-,26
,354,S,31,B,23,44,6,4,33,5,3,0,0,0,-,-,-,33
,182,S,34,A,34,11,2,1,18,3,2,-,-,-,-,-,-,17
,2,L,14,AD,60,45,11,9,51,15,13,-,-,-,-,-,-,1660
,2,L,15,AD,60,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,08-April-2018,00:01,SS,58M+,PL,3.3,PV,3.3,CL,86-24,RL,68,SA,201,DS,91
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,83,29,10,9,0,0,0,20,8,7,0,0,0,25
,288,S,270,B,21,30,2,2,16,2,1,-,-,-,-,-,-,14
A=<70,B=#26
Sunday,08-April-2018,00:01,SS,85M+,PL,7.3,PV,5.3,CL,118,+0,RL,113,SA,313,DS,121
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,106,-,-,-,0,0,0,9,4,3,-,-,-,15
,196,S,310,A,68,36,7,7,55,11,11,47,7,9,-,-,-,62
,196,S,311,ABE,68,9,3,2,42,10,9,39,9,10,11,4,3,41
,196,S,312,D,34,67,6,7,33,5,4,48,8,6,62,7,6,62
,197,L,71,ABF,32,44,5,5,49,8,7,-,-,-,-,-,-,600
,197,L,72,ABF,32,91,11,10,81,9,10,-,-,-,-,-,-,500
A=<20,B=20,C=#25,D=22,E=17
Sunday,08-April-2018,00:03,SS,6M+,PL,6.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,33,7,6,34,6,6,49,8,11,19,4,4,39
,183,S,21,B,34,40,3,4,36,4,4,22,3,2,-,-,-,41
,184,S,161,A,85,22,8,6,42,14,13,32,12,11,8,3,2,33
,184,S,162,B,27,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,40,3,4,36,4,4,-,-,-,-,-,-,41
,183,L,7,AC,55,33,7,6,-,-,-,-,-,-,-,-,-,220
A=<29,B=48,C=#20
Sunday,08-April-2018,00:03,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,49
