Strategic,Monitor,On,Wednesday,18-April-2018,filename:CCITY_20180418

Wednesday,18-April-2018,00:00,SS,28M+,PL,7.3,PV,7.2,CL,60,+0,RL,60,SA,50,DS,138
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Wednesday,18-April-2018,00:02,SS,10M+,PL,3.2,PV,4.2,CL,97,+0,RL,75,SA,15,DS,105
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,22,7,5,21,7,4,8,3,2,-,-,-,18
,354,S,31,B,19,15,3,1,21,2,2,21,2,1,-,-,-,28
,182,S,34,A,30,0,0,0,19,3,2,-,-,-,-,-,-,17
,2,L,14,AD,30,0,0,0,9,2,1,-,-,-,-,-,-,600
,2,L,15,AD,30,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,18-April-2018,00:03,SS,28M+,PL,8.2,PV,6.3,CL,71,-2,RL,47,SA,50,DS,113
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,20,0,0,0,39,3,3,-,-,-,-,-,-,34
,48,S,90,A,20,-,-,-,-,-,-,20,3,2,-,-,-,41
,48,S,91,BC,16,19,2,1,0,0,0,-,-,-,-,-,-,30
,48,S,213,A,20,-,-,-,-,-,-,20,3,2,-,-,-,41
,48,L,23,A,20,0,0,0,39,3,3,-,-,-,-,-,-,180
,48,L,49,A,20,-,-,-,-,-,-,20,3,2,-,-,-,340
A=<41,B=28,C=#22
Wednesday,18-April-2018,00:03,SS,23M+,PL,6.2,PV,6.3,CL,60,+0,RL,60,SA,131,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,34,18,4,3,23,5,3,14,3,2,-,-,-,18
,152,S,131,A,34,25,3,3,0,0,0,-,-,-,-,-,-,25
,152,S,132,C,19,0,0,0,0,0,0,44,3,3,-,-,-,43
,193,L,57,ABCE,88,5,2,2,39,11,12,0,0,0,-,-,-,340
,193,L,58,AE,66,21,4,4,19,4,5,25,6,6,-,-,-,380
A=<63,B=1,C=37,D=1
Wednesday,18-April-2018,00:04,SS,3M+,PL,3.3,PV,3.3,CL,96,+0,RL,78,SA,201,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,101,15,6,5,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,16,22,3,1,0,0,0,0,0,0,-,-,-,19
,145,S,133,AB,86,27,4,11,8,3,2,-,-,-,-,-,-,16
,145,S,204,AB,86,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,86,27,4,11,8,3,2,-,-,-,-,-,-,16
,145,S,212,AC,101,15,6,5,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,86,27,4,11,8,3,2,-,-,-,-,-,-,260
A=<42,B=#23,C=34
Wednesday,18-April-2018,00:04,SS,10M+,PL,3.2,PV,3.2,CL,96,+0,RL,78,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,81,6,3,2,4,2,1,0,0,0,-,-,-,15
,354,S,31,B,24,10,2,1,21,3,2,8,2,1,-,-,-,24
,182,S,34,A,48,10,2,1,18,3,3,-,-,-,-,-,-,20
,2,L,14,AD,84,10,3,3,9,4,3,-,-,-,-,-,-,560
,2,L,15,AD,84,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,18-April-2018,00:04,SS,28M+,PL,8.2,PV,8.3,CL,69,+0,RL,51,SA,47,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,41,11,2,2,22,4,3,-,-,-,-,-,-,31
,48,S,90,A,41,-,-,-,-,-,-,0,0,0,-,-,-,17
,48,S,91,BC,35,0,0,0,33,4,4,-,-,-,-,-,-,31
,48,S,213,A,41,-,-,-,-,-,-,0,0,0,-,-,-,17
,48,L,23,A,41,11,2,2,22,4,3,-,-,-,-,-,-,200
,48,L,49,A,41,-,-,-,-,-,-,0,0,0,-,-,-,80
A=<40,B=28,C=#22
Wednesday,18-April-2018,00:04,SS,23M+,PL,6.2,PV,6.3,CL,60,+0,RL,60,SA,130,DS,51
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,41,34,8,7,50,9,9,51,8,10,-,-,-,33
,152,S,131,A,41,0,0,0,15,3,2,-,-,-,-,-,-,21
,152,S,132,C,19,0,0,0,0,0,0,44,3,3,-,-,-,44
,193,L,57,ABCE,39,0,0,0,10,2,1,0,0,0,-,-,-,240
,193,L,58,AE,17,0,0,0,0,0,0,0,0,0,-,-,-,260
A=<63,B=1,C=37,D=1
Wednesday,18-April-2018,00:05,SS,28M+,PL,8.2,PV,8.2,CL,68,+0,RL,68,SA,90,DS,150
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,51,9,2,2,39,6,7,-,-,-,-,-,-,33
,48,S,90,A,51,-,-,-,-,-,-,150,5,32,-,-,-,72
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,15
,48,S,213,A,51,-,-,-,-,-,-,150,5,32,-,-,-,72
,48,L,23,A,51,9,2,2,39,6,7,-,-,-,-,-,-,320
,48,L,49,A,51,-,-,-,-,-,-,150,5,32,-,-,-,760
A=<40,B=28,C=#22
Wednesday,18-April-2018,00:05,SS,23M+,PL,4.2,PV,4.3,CL,60,+0,RL,60,SA,130,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,36,29,6,5,39,7,6,38,6,6,-,-,-,39
,152,S,131,A,36,25,3,3,15,3,2,-,-,-,-,-,-,22
,152,S,132,C,19,0,0,0,0,0,0,38,3,3,-,-,-,41
,193,L,57,ABCE,57,5,2,1,13,3,3,0,0,0,-,-,-,220
,193,L,58,AE,35,11,2,1,26,3,3,0,0,0,-,-,-,220
A=<66,B=1,C=34,D=1
Wednesday,18-April-2018,00:05,SS,3M+,PL,5.3,PV,5.3,CL,86,-4,RL,79,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,96,8,3,3,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,17,0,0,0,0,0,0,0,0,0,-,-,-,11
,145,S,133,AB,80,4,2,1,17,6,5,-,-,-,-,-,-,19
,145,S,204,AB,80,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,80,4,2,1,17,6,5,-,-,-,-,-,-,19
,145,S,212,AC,96,8,3,3,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,80,4,2,1,17,6,5,-,-,-,-,-,-,280
A=<44,B=#23,C=29
Wednesday,18-April-2018,00:05,SS,10M+,PL,4.2,PV,4.2,CL,86,-3,RL,79,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,74,6,3,1,7,3,2,10,4,2,-,-,-,11
,354,S,31,B,19,0,0,0,22,3,2,11,2,1,-,-,-,21
,182,S,34,A,13,0,0,0,9,2,0,-,-,-,-,-,-,14
,2,L,14,AD,63,21,4,4,19,5,5,-,-,-,-,-,-,560
,2,L,15,AD,63,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,18-April-2018,00:06,SS,28M+,PL,7.2,PV,7.2,CL,64,+2,RL,64,SA,47,DS,33
