Strategic,Monitor,On,Friday,11-May-2018,filename:CCITY_20180511

Friday,11-May-2018,00:00,SS,6M+,PL,8.3,PV,8.3,CL,94,-3,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Friday,11-May-2018,00:03,SS,58M+,PL,3.3,PV,4.3,CL,86,+0,RL,74,SA,201,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,77,42,13,12,13,4,3,21,8,6,0,0,0,28
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,23
A=<70,B=#26
Friday,11-May-2018,00:04,SS,85M+,PL,2.3,PV,1.3,CL,109,+0,RL,106,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,101,-,-,-,30,10,9,0,0,0,-,-,-,24
,196,S,310,A,44,41,5,6,49,7,6,56,3,8,-,-,-,59
,196,S,311,ABE,43,0,0,0,23,4,3,15,3,2,0,0,0,36
,196,S,312,D,44,17,2,2,58,9,8,72,13,12,7,2,1,84
,197,L,71,ABF,56,20,5,4,31,6,7,-,-,-,-,-,-,300
,197,L,72,ABF,56,42,8,7,30,5,5,-,-,-,-,-,-,380
A=<12,B=20,C=#25,D=27,E=18
Friday,11-May-2018,00:05,SS,6M+,PL,5.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,50
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,68,25,7,5,40,9,9,50,13,13,0,0,0,35
,183,S,21,B,33,0,0,0,0,0,0,10,2,1,-,-,-,24
,184,S,161,A,83,19,7,5,44,15,13,23,9,8,0,0,0,32
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,0,0,0,0,0,0,-,-,-,-,-,-,19
,183,L,7,AC,68,25,7,5,-,-,-,-,-,-,-,-,-,120
A=<31,B=46,C=#20
Friday,11-May-2018,00:05,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,71,SA,20,DS,50
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,18,6,4,19,6,4,8,2,1,-,-,-,24
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,13
,182,S,34,A,16,0,0,0,9,2,0,-,-,-,-,-,-,13
,2,L,14,AD,88,15,5,4,29,11,11,-,-,-,-,-,-,1300
,2,L,15,AD,88,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,11-May-2018,00:05,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,71,SA,200,DS,38
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,78,6,2,2,0,0,0,16,6,5,0,0,0,24
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,15
A=<63,B=#32
Friday,11-May-2018,00:06,SS,85M+,PL,4.3,PV,4.3,CL,102,-2,RL,102,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,67,-,-,-,26,8,5,0,0,0,-,-,-,26
,196,S,310,A,41,48,5,6,26,3,3,53,5,7,-,-,-,57
,196,S,311,ABE,41,27,3,4,50,6,7,39,4,5,18,3,3,39
,196,S,312,D,31,13,2,1,29,5,3,22,5,3,0,0,0,60
,197,L,71,ABF,58,22,5,4,26,6,6,-,-,-,-,-,-,280
,197,L,72,ABF,58,39,7,7,34,6,6,-,-,-,-,-,-,400
A=<12,B=20,C=#25,D=25,E=18
Friday,11-May-2018,00:06,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,25,4,3,0,0,0,0,0,0,0,0,0,33
,183,S,21,B,31,12,2,1,0,0,0,0,0,0,-,-,-,17
,184,S,161,A,84,8,3,2,26,9,8,18,7,6,0,0,0,33
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,12,2,1,0,0,0,-,-,-,-,-,-,14
,183,L,7,AC,38,25,4,3,-,-,-,-,-,-,-,-,-,120
A=<31,B=46,C=#20
Friday,11-May-2018,00:06,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,18,6,4,19,6,4,8,2,1,-,-,-,19
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,5
,182,S,34,A,19,0,0,0,5,2,0,-,-,-,-,-,-,7
,2,L,14,AD,22,17,2,1,24,3,2,-,-,-,-,-,-,1060
,2,L,15,AD,22,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,11-May-2018,00:06,SS,58M+,PL,4.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,57
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,16,6,5,13,4,3,17,7,6,0,0,0,22
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<65,B=#30
