Strategic,Monitor,On,Friday,04-May-2018,filename:CCITY_20180504

Friday,04-May-2018,00:00,SS,6M+,PL,5.3,PV,5.3,CL,93,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Friday,04-May-2018,00:03,SS,58M+,PL,3.3,PV,4.3,CL,106,-2,RL,80,SA,200,DS,3
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,88,23,9,8,5,2,1,28,11,10,0,0,0,29
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,9
A=<75,B=#26
Friday,04-May-2018,00:04,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,80,-,-,-,16,6,4,8,3,2,-,-,-,20
,196,S,310,A,41,44,3,5,32,4,4,73,7,8,-,-,-,73
,196,S,311,ABE,41,10,2,2,46,5,6,17,3,2,12,2,2,43
,196,S,312,D,30,50,3,4,35,4,3,40,5,5,0,0,0,54
,197,L,71,ABF,44,20,5,3,25,6,4,-,-,-,-,-,-,340
,197,L,72,ABF,44,30,5,4,33,4,5,-,-,-,-,-,-,280
A=<18,B=20,C=#25,D=20,E=17
Friday,04-May-2018,00:05,SS,6M+,PL,6.3,PV,6.3,CL,103,+0,RL,86,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,98,33,9,10,34,11,10,18,8,7,0,0,0,37
,183,S,21,B,39,73,12,9,30,4,4,0,0,0,-,-,-,55
,184,S,161,A,106,30,11,10,41,15,15,26,12,11,6,2,2,37
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,39,73,12,9,30,4,4,-,-,-,-,-,-,55
,183,L,7,AC,98,33,9,10,-,-,-,-,-,-,-,-,-,240
A=<33,B=48,C=#20
Friday,04-May-2018,00:05,SS,10M+,PL,2.2,PV,2.2,CL,103,+0,RL,85,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,90,12,6,4,11,6,3,4,2,1,-,-,-,13
,354,S,31,B,16,0,0,0,12,2,1,0,0,0,-,-,-,24
,182,S,34,A,47,0,0,0,0,0,0,-,-,-,-,-,-,7
,2,L,14,AD,118,53,13,20,54,27,28,-,-,-,-,-,-,2300
,2,L,15,AD,118,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Friday,04-May-2018,00:05,SS,58M+,PL,3.3,PV,3.3,CL,103,+0,RL,85,SA,201,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,129,22,12,11,7,3,3,23,13,11,0,0,0,26
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<77,B=#24
Friday,04-May-2018,00:06,SS,85M+,PL,8.3,PV,8.3,CL,102,+0,RL,103,SA,310,DS,120
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,92,-,-,-,11,5,3,0,0,0,-,-,-,16
,196,S,310,A,45,170,2,23,73,10,9,67,5,9,-,-,-,120
,196,S,311,ABE,45,22,4,4,38,5,5,14,3,2,21,4,4,41
,196,S,312,D,36,72,9,8,48,6,5,90,9,12,27,2,3,72
,197,L,71,ABF,54,22,6,4,24,7,5,-,-,-,-,-,-,320
,197,L,72,ABF,54,12,3,2,22,4,4,-,-,-,-,-,-,260
A=<18,B=20,C=#25,D=20,E=17
Friday,04-May-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,90,-4,RL,87,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,61,34,6,6,22,5,4,16,5,4,0,0,0,35
,183,S,21,B,31,15,2,2,24,4,3,10,2,1,-,-,-,41
,184,S,161,A,74,23,7,6,36,11,9,19,7,6,0,0,0,37
,184,S,162,B,38,8,2,1,8,2,1,-,-,-,-,-,-,4
,183,S,183,B,31,15,2,2,24,4,3,-,-,-,-,-,-,41
,183,L,7,AC,61,34,6,6,-,-,-,-,-,-,-,-,-,220
A=<30,B=48,C=#20
Friday,04-May-2018,00:07,SS,10M+,PL,2.2,PV,4.2,CL,90,-3,RL,87,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,98,16,8,5,13,7,4,4,2,1,-,-,-,14
,354,S,31,B,22,20,3,2,27,4,2,0,0,0,-,-,-,22
,182,S,34,A,48,13,3,2,11,2,2,-,-,-,-,-,-,7
,2,L,14,AD,66,19,4,4,29,7,8,-,-,-,-,-,-,1860
,2,L,15,AD,66,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Friday,04-May-2018,00:07,SS,58M+,PL,1.3,PV,1.3,CL,90,-4,RL,87,SA,201,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,94,15,7,5,0,0,0,14,7,5,0,0,0,21
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<77,B=#21
Friday,04-May-2018,00:08,SS,85M+,PL,8.3,PV,8.3,CL,104,+0,RL,111,SA,313,DS,151
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,64,-,-,-,41,9,8,6,2,1,-,-,-,26
,196,S,310,A,39,77,5,9,52,4,6,59,5,7,-,-,-,107
,196,S,311,ABE,39,0,0,0,53,7,6,33,4,4,24,3,4,47
,196,S,312,D,31,42,3,4,20,3,2,80,7,10,13,2,1,77
,197,L,71,ABF,54,18,5,4,17,5,4,-,-,-,-,-,-,280
,197,L,72,ABF,54,57,5,10,13,3,2,-,-,-,-,-,-,320
A=<19,B=20,C=#25,D=20,E=17
Friday,04-May-2018,00:08,SS,6M+,PL,6.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,43
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,67,43,9,9,38,9,8,22,6,6,0,0,0,38
