Strategic,Monitor,On,Thursday,17-May-2018,filename:CCITY_20180517

Thursday,17-May-2018,00:00,SS,85M+,PL,5.4,PV,5.4,CL,120,+0,RL,107,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,L,7,AC,80,42,6,10,-,-,-,-,-,-,-,-,-,220
A=<32,B=48,C=#20
Thursday,17-May-2018,00:05,SS,10M+,PL,4.2,PV,4.2,CL,100,+0,RL,86,SA,20,DS,42
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,83,26,11,7,22,9,6,4,2,1,-,-,-,27
,354,S,31,B,22,28,4,2,14,3,1,0,0,0,-,-,-,28
,182,S,34,A,82,8,3,2,0,0,0,-,-,-,-,-,-,7
,2,L,14,AD,54,47,9,9,46,11,11,-,-,-,-,-,-,1960
,2,L,15,AD,54,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,17-May-2018,00:05,SS,58M+,PL,3.3,PV,3.3,CL,100,-3,RL,86,SA,200,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,93,33,13,12,13,4,4,19,7,7,0,0,0,31
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,5
A=<78,B=#22
Thursday,17-May-2018,00:06,SS,6M+,PL,6.3,PV,6.3,CL,98,+0,RL,86,SA,20,DS,64
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,64,6,7,17,3,2,24,3,3,0,0,0,50
,183,S,21,B,36,38,2,4,28,4,4,9,2,1,-,-,-,42
,184,S,161,A,100,22,8,8,36,13,12,29,13,11,12,4,4,38
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,36,38,2,4,28,4,4,-,-,-,-,-,-,42
,183,L,7,AC,38,64,6,7,-,-,-,-,-,-,-,-,-,240
A=<32,B=48,C=#20
Thursday,17-May-2018,00:06,SS,10M+,PL,3.2,PV,3.2,CL,98,+0,RL,84,SA,20,DS,64
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,82,8,4,2,4,2,1,4,2,1,-,-,-,19
,354,S,31,B,17,11,2,1,16,3,1,0,0,0,-,-,-,21
,182,S,34,A,61,0,0,0,0,0,0,-,-,-,-,-,-,4
,2,L,14,AD,51,13,2,2,0,0,0,-,-,-,-,-,-,1200
,2,L,15,AD,51,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,17-May-2018,00:06,SS,58M+,PL,1.3,PV,1.3,CL,98,+0,RL,84,SA,201,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,98,43,18,16,11,4,3,37,16,14,0,0,0,37
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<79,B=#21
Thursday,17-May-2018,00:06,SS,85M+,PL,2.4,PV,2.3,CL,120,+0,RL,106,SA,107,DS,83
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,84,-,-,-,53,13,12,15,5,3,-,-,-,51
,196,S,310,A,57,45,5,8,44,7,7,48,6,7,-,-,-,52
,196,S,311,ABE,57,7,2,2,36,6,6,25,4,5,0,0,0,34
,196,S,312,D,47,33,4,5,44,7,7,90,14,16,11,2,1,75
,197,L,71,ABF,40,48,7,7,52,8,8,-,-,-,-,-,-,380
,197,L,72,ABF,40,30,3,4,23,2,3,-,-,-,-,-,-,220
A=<14,B=20,C=#25,D=27,E=18
Thursday,17-May-2018,00:08,SS,6M+,PL,6.3,PV,3.3,CL,96,+0,RL,86,SA,20,DS,54
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,68,39,9,8,28,7,6,54,16,14,12,4,3,55
,183,S,21,B,22,0,0,0,10,2,1,10,2,1,-,-,-,27
,184,S,161,A,48,20,4,3,41,7,7,28,6,5,0,0,0,40
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,22,0,0,0,10,2,1,-,-,-,-,-,-,27
,183,L,7,AC,68,39,9,8,-,-,-,-,-,-,-,-,-,280
A=<31,B=48,C=#20
Thursday,17-May-2018,00:08,SS,10M+,PL,3.2,PV,4.2,CL,96,+0,RL,82,SA,20,DS,54
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,82,8,4,2,4,2,1,4,2,1,-,-,-,12
,354,S,31,B,14,8,2,0,11,2,1,0,0,0,-,-,-,16
,182,S,34,A,59,7,2,1,0,0,0,-,-,-,-,-,-,5
,2,L,14,AD,71,37,9,9,35,12,11,-,-,-,-,-,-,1260
,2,L,15,AD,71,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,17-May-2018,00:08,SS,58M+,PL,1.3,PV,1.3,CL,96,+0,RL,82,SA,200,DS,50
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,81,38,14,12,9,3,2,22,7,7,0,0,0,39
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#19
Thursday,17-May-2018,00:08,SS,85M+,PL,2.4,PV,1.3,CL,120,+0,RL,106,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,107,-,-,-,69,13,20,4,2,1,-,-,-,60
,196,S,310,A,49,0,0,0,24,4,3,31,4,4,-,-,-,43
,196,S,311,ABE,49,0,0,0,16,2,2,22,3,4,9,2,2,29
,196,S,312,D,38,0,0,0,37,6,4,43,9,6,8,2,1,65
,197,L,71,ABF,71,25,7,6,26,8,7,-,-,-,-,-,-,380
,197,L,72,ABF,71,21,5,5,12,3,3,-,-,-,-,-,-,240
A=<14,B=20,C=#25,D=27,E=18
Thursday,17-May-2018,00:09,SS,6M+,PL,6.3,PV,8.3,CL,94,-3,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,70,10,3,2,23,6,5,23,7,6,13,4,3,42
,183,S,21,B,39,26,5,3,64,7,9,13,2,2,-,-,-,40
,184,S,161,A,97,9,3,3,25,9,8,23,9,9,16,5,5,33
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,39,26,5,3,64,7,9,-,-,-,-,-,-,40
,183,L,7,AC,70,10,3,2,-,-,-,-,-,-,-,-,-,180
A=<31,B=48,C=#20
Thursday,17-May-2018,00:09,SS,10M+,PL,4.2,PV,4.2,CL,94,-3,RL,80,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,86,21,10,6,21,10,6,0,0,0,-,-,-,14
,354,S,31,B,27,34,6,3,46,7,5,25,2,3,-,-,-,28
,182,S,34,A,53,0,0,0,0,0,0,-,-,-,-,-,-,2
,2,L,14,AD,77,62,19,16,42,16,14,-,-,-,-,-,-,1900
,2,L,15,AD,77,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,17-May-2018,00:09,SS,58M+,PL,1.3,PV,1.3,CL,94,+0,RL,80,SA,201,DS,70
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,88,25,10,8,5,2,1,32,13,11,0,0,0,36
,288,S,270,B,19,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#21
Thursday,17-May-2018,00:10,SS,85M+,PL,2.3,PV,2.3,CL,120,+0,RL,105,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,107,-,-,-,69,13,20,4,2,1,-,-,-,65
,196,S,310,A,50,23,4,3,14,3,2,26,4,4,-,-,-,32
,196,S,311,ABE,50,7,2,1,46,6,7,20,3,3,8,2,2,36
,196,S,312,D,40,0,0,0,28,3,4,47,7,7,0,0,0,55
,197,L,71,ABF,56,22,4,4,23,5,5,-,-,-,-,-,-,340
,197,L,72,ABF,56,26,4,4,8,2,1,-,-,-,-,-,-,180
A=<14,B=20,C=#25,D=27,E=18
Thursday,17-May-2018,00:11,SS,6M+,PL,6.3,PV,6.3,CL,92,+0,RL,86,SA,20,DS,40
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,65,15,4,3,24,6,5,40,12,10,11,4,3,37
,183,S,21,B,28,16,3,1,50,4,5,12,2,1,-,-,-,46
,184,S,161,A,93,16,6,5,37,13,12,24,10,9,15,5,4,34
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,28,16,3,1,50,4,5,-,-,-,-,-,-,46
,183,L,7,AC,65,15,4,3,-,-,-,-,-,-,-,-,-,120
A=<30,B=48,C=#20
Thursday,17-May-2018,00:11,SS,10M+,PL,4.2,PV,3.2,CL,92,+0,RL,78,SA,20,DS,40
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,14,4,3,11,3,3,7,2,1,-,-,-,15
,354,S,31,B,22,16,3,1,30,4,3,0,0,0,-,-,-,31
,182,S,34,A,61,0,0,0,0,0,0,-,-,-,-,-,-,2
,2,L,14,AD,59,40,9,8,47,13,12,-,-,-,-,-,-,2200
,2,L,15,AD,59,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,17-May-2018,00:11,SS,58M+,PL,2.3,PV,2.3,CL,92,-2,RL,78,SA,200,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,49,16,14,29,9,7,28,10,8,0,0,0,41
,288,S,270,B,12,0,0,0,35,2,1,-,-,-,-,-,-,16
A=<74,B=#24
Thursday,17-May-2018,00:12,SS,85M+,PL,2.3,PV,2.3,CL,120,+0,RL,105,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,36,-,-,-,62,6,6,9,2,1,-,-,-,66
,196,S,310,A,55,15,3,2,30,3,5,57,7,9,-,-,-,41
,196,S,311,ABE,55,0,0,0,15,3,3,17,3,3,0,0,0,28
,196,S,312,D,35,0,0,0,13,3,1,48,8,6,22,4,2,47
,197,L,71,ABF,54,10,3,2,6,2,1,-,-,-,-,-,-,200
,197,L,72,ABF,54,8,2,1,0,0,0,-,-,-,-,-,-,100
A=<14,B=20,C=#25,D=27,E=18
Thursday,17-May-2018,00:13,SS,6M+,PL,6.3,PV,6.3,CL,90,+0,RL,86,SA,20,DS,61
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,48,10,8,35,7,6,61,15,13,15,4,3,46
,183,S,21,B,22,15,2,1,0,0,0,0,0,0,-,-,-,37
,184,S,161,A,86,30,11,9,81,27,24,53,21,18,15,5,4,54
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,22,15,2,1,0,0,0,-,-,-,-,-,-,37
,183,L,7,AC,55,48,10,8,-,-,-,-,-,-,-,-,-,180
A=<30,B=48,C=#20
Thursday,17-May-2018,00:13,SS,10M+,PL,4.2,PV,4.2,CL,90,+0,RL,76,SA,20,DS,61
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,15,4,3,8,3,2,6,2,1,-,-,-,16
,354,S,31,B,17,7,2,0,16,2,1,0,0,0,-,-,-,27
,182,S,34,A,59,8,2,2,0,0,0,-,-,-,-,-,-,4
,2,L,14,AD,67,23,7,5,43,12,13,-,-,-,-,-,-,2060
,2,L,15,AD,67,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,17-May-2018,00:13,SS,58M+,PL,2.3,PV,2.3,CL,90,+0,RL,76,SA,200,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,81,44,13,14,21,7,5,33,12,10,0,0,0,43
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,12
A=<76,B=#22
Thursday,17-May-2018,00:14,SS,6M+,PL,6.3,PV,7.3,CL,90,+0,RL,86,SA,20,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,68,19,5,4,44,11,10,44,12,11,12,4,3,49
,183,S,21,B,36,13,2,2,63,7,8,31,4,4,-,-,-,44
,184,S,161,A,90,20,8,6,39,13,12,32,14,11,12,4,3,52
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,36,13,2,2,63,7,8,-,-,-,-,-,-,44
,183,L,7,AC,68,19,5,4,-,-,-,-,-,-,-,-,-,200
A=<30,B=48,C=#20
Thursday,17-May-2018,00:14,SS,10M+,PL,2.2,PV,2.2,CL,90,+0,RL,74,SA,20,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,18,7,4,18,7,4,14,5,3,-,-,-,16
,354,S,31,B,14,0,0,0,14,3,1,0,0,0,-,-,-,18
,182,S,34,A,57,0,0,0,0,0,0,-,-,-,-,-,-,3
,2,L,14,AD,79,61,13,16,62,22,21,-,-,-,-,-,-,2660
,2,L,15,AD,79,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Thursday,17-May-2018,00:14,SS,58M+,PL,3.3,PV,3.3,CL,90,+0,RL,74,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
