Strategic,Monitor,On,Wednesday,23-May-2018,filename:CCITY_20180523

Wednesday,23-May-2018,00:00,SS,85M+,PL,8.3,PV,8.2,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,79,-,-,-,13,3,3,0,0,0,-,-,-,20
,196,S,310,A,19,48,3,3,42,2,2,96,3,5,-,-,-,89
,196,S,311,ABE,43,0,0,0,36,4,5,32,3,5,17,3,3,32
,196,S,312,D,23,27,2,2,0,0,0,28,4,2,0,0,0,36
,197,L,71,ABF,70,9,3,2,15,3,4,-,-,-,-,-,-,240
,197,L,72,ABF,70,24,5,5,24,5,5,-,-,-,-,-,-,420
A=<18,B=20,C=#25,D=20,E=17
Wednesday,23-May-2018,00:01,SS,6M+,PL,6.3,PV,6.3,CL,90,+0,RL,86,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,75,14,4,3,15,4,4,14,4,4,0,0,0,19
,183,S,21,B,24,20,2,2,36,3,3,0,0,0,-,-,-,37
,184,S,161,A,90,8,3,2,18,6,5,12,5,4,0,0,0,22
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,24,20,2,2,36,3,3,-,-,-,-,-,-,37
,183,L,7,AC,75,14,4,3,-,-,-,-,-,-,-,-,-,80
A=<30,B=48,C=#20
Wednesday,23-May-2018,00:01,SS,10M+,PL,3.2,PV,3.2,CL,90,+0,RL,74,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,5,2,1,5,2,1,0,0,0,-,-,-,7
,354,S,31,B,18,12,2,1,18,2,1,10,2,1,-,-,-,21
,182,S,34,A,11,0,0,0,0,0,0,-,-,-,-,-,-,4
,2,L,14,AD,80,42,7,11,41,15,14,-,-,-,-,-,-,1400
,2,L,15,AD,80,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,23-May-2018,00:01,SS,58M+,PL,1.3,PV,1.3,CL,90,+0,RL,81,SA,200,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,90,20,8,7,7,3,2,0,0,0,0,0,0,45
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<79,B=#19
Wednesday,23-May-2018,00:02,SS,85M+,PL,8.3,PV,8.3,CL,102,+0,RL,104,SA,310,DS,122
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,90,-,-,-,19,7,5,0,0,0,-,-,-,19
,196,S,310,A,62,22,4,4,25,5,5,151,9,26,-,-,-,122
,196,S,311,ABE,62,0,0,0,25,6,5,29,6,6,12,3,3,33
,196,S,312,D,24,39,3,3,31,2,2,28,2,3,0,0,0,35
,197,L,71,ABF,59,21,5,4,21,6,5,-,-,-,-,-,-,260
,197,L,72,ABF,59,19,4,4,17,4,3,-,-,-,-,-,-,380
A=<18,B=20,C=#25,D=20,E=17
Wednesday,23-May-2018,00:02,SS,6M+,PL,6.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,62,23,5,4,14,4,3,9,3,2,0,0,0,20
,183,S,21,B,25,11,2,1,34,3,3,14,2,1,-,-,-,34
,184,S,161,A,93,0,0,0,0,0,0,0,0,0,0,0,0,12
,184,S,162,B,11,0,0,0,22,2,1,-,-,-,-,-,-,10
,183,S,183,B,25,11,2,1,34,3,3,-,-,-,-,-,-,34
,183,L,7,AC,62,23,5,4,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Wednesday,23-May-2018,00:02,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,74,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,7,3,2,7,3,2,10,4,2,-,-,-,7
,354,S,31,B,17,15,2,1,19,2,1,0,0,0,-,-,-,25
,182,S,34,A,81,0,0,0,5,2,1,-,-,-,-,-,-,2
,2,L,14,AD,57,14,3,3,23,5,6,-,-,-,-,-,-,1300
,2,L,15,AD,57,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,23-May-2018,00:02,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,74,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,93,11,4,4,0,0,0,0,0,0,0,0,0,15
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Wednesday,23-May-2018,00:04,SS,85M+,PL,8.3,PV,8.3,CL,105,+0,RL,114,SA,310,DS,122
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,92,-,-,-,0,0,0,0,0,0,-,-,-,9
,196,S,310,A,51,9,2,1,17,3,3,114,7,16,-,-,-,122
,196,S,311,ABE,51,0,0,0,27,4,4,22,3,4,28,4,6,30
,196,S,312,D,26,39,4,3,0,0,0,26,3,3,32,4,2,37
,197,L,71,ABF,55,17,5,3,10,3,2,-,-,-,-,-,-,220
,197,L,72,ABF,55,11,3,2,14,3,2,-,-,-,-,-,-,220
A=<19,B=20,C=#25,D=20,E=17
Wednesday,23-May-2018,00:04,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,24,5,4,20,5,4,16,4,4,0,0,0,22
,183,S,21,B,30,29,4,3,42,5,4,13,2,1,-,-,-,38
,184,S,161,A,78,21,6,5,32,9,8,18,6,6,0,0,0,18
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,7
,183,S,183,B,30,29,4,3,42,5,4,-,-,-,-,-,-,38
,183,L,7,AC,59,24,5,4,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Wednesday,23-May-2018,00:04,SS,10M+,PL,4.2,PV,3.2,CL,86,+0,RL,71,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,7,3,2,7,3,2,10,4,2,-,-,-,9
,354,S,31,B,17,15,2,1,19,2,1,0,0,0,-,-,-,21
,182,S,34,A,59,0,0,0,9,3,2,-,-,-,-,-,-,6
,2,L,14,AD,42,0,0,0,6,2,1,-,-,-,-,-,-,860
,2,L,15,AD,42,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,23-May-2018,00:04,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,71,SA,201,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,77,19,7,6,0,0,0,0,0,0,0,0,0,17
,288,S,270,B,12,30,2,1,0,0,0,-,-,-,-,-,-,14
A=<63,B=#32
Wednesday,23-May-2018,00:05,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,0,0,0,21,3,4,25,7,5,0,0,0,24
,183,S,21,B,30,22,3,2,37,3,4,20,3,2,-,-,-,38
,184,S,161,A,82,10,3,3,17,5,5,17,7,6,0,0,0,18
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,5
,183,S,183,B,30,22,3,2,37,3,4,-,-,-,-,-,-,38
,183,L,7,AC,55,0,0,0,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Wednesday,23-May-2018,00:05,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,70,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,11,4,2,9,3,2,0,0,0,-,-,-,10
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,12
,182,S,34,A,12,14,2,1,0,0,0,-,-,-,-,-,-,10
,2,L,14,AD,84,20,5,5,29,11,11,-,-,-,-,-,-,960
,2,L,15,AD,84,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,23-May-2018,00:05,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,70,SA,201,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,71,15,5,4,0,0,0,0,0,0,0,0,0,15
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,10
A=<65,B=#30
Wednesday,23-May-2018,00:05,SS,85M+,PL,5.3,PV,5.3,CL,111,+1,RL,111,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,72,-,-,-,24,7,5,18,4,4,-,-,-,15
,196,S,310,A,53,34,4,5,47,8,7,44,4,7,-,-,-,92
,196,S,311,ABE,53,8,2,2,22,4,4,24,5,4,0,0,0,26
,196,S,312,D,36,84,8,8,38,4,4,46,6,6,0,0,0,59
,197,L,71,ABF,57,32,8,6,33,9,7,-,-,-,-,-,-,320
,197,L,72,ABF,57,22,5,4,23,4,4,-,-,-,-,-,-,220
A=<16,B=20,C=#25,D=24,E=17
Wednesday,23-May-2018,00:07,SS,6M+,PL,6.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,9,2,1,24,4,4,13,3,3,0,0,0,24
,183,S,21,B,22,9,2,1,0,0,0,0,0,0,-,-,-,26
