Strategic,Monitor,On,Tuesday,24-April-2018,filename:CCITY_20180424

Tuesday,24-April-2018,00:00,SS,3M+,PL,6.3,PV,6.3,CL,85,+0,RL,68,SA,201,DS,73
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,80,19,6,6,-,-,-,-,-,-,-,-,-,10
,145,S,10,C,14,11,2,1,0,0,0,0,0,0,-,-,-,14
,145,S,133,AB,67,10,4,3,10,3,2,-,-,-,-,-,-,11
,145,S,204,AB,67,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,67,10,4,3,10,3,2,-,-,-,-,-,-,11
,145,S,212,AC,80,19,6,6,-,-,-,-,-,-,-,-,-,10
,145,L,4,AB,67,10,4,3,10,3,2,-,-,-,-,-,-,180
A=<48,B=#23,C=25
Tuesday,24-April-2018,00:00,SS,28M+,PL,5.3,PV,8.3,CL,60,+0,RL,44,SA,50,DS,131
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,44,9,2,1,9,2,1,-,-,-,-,-,-,15
,48,S,90,A,44,-,-,-,-,-,-,28,3,5,-,-,-,19
,48,S,91,BC,19,23,3,2,12,2,1,-,-,-,-,-,-,14
,48,S,213,A,44,-,-,-,-,-,-,28,3,5,-,-,-,19
,48,L,23,A,44,9,2,1,9,2,1,-,-,-,-,-,-,240
,48,L,49,A,44,-,-,-,-,-,-,28,3,5,-,-,-,200
A=<29,B=34,C=#22
Tuesday,24-April-2018,00:01,SS,23M+,PL,3.2,PV,3.2,CL,100,+0,RL,83,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,72,0,0,0,25,11,8,17,6,6,-,-,-,20
,152,S,131,A,72,9,3,2,5,2,1,-,-,-,-,-,-,15
,152,S,132,C,19,26,3,1,0,0,0,16,2,1,-,-,-,29
,193,L,57,ABCE,73,5,2,1,21,4,5,31,9,8,-,-,-,520
,193,L,58,AE,73,17,3,4,16,4,4,16,4,4,-,-,-,300
A=<68,B=1,C=32,D=1
Tuesday,24-April-2018,00:01,SS,10M+,PL,3.2,PV,4.2,CL,86,+0,RL,76,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,28,5,6,28,5,6,0,0,0,-,-,-,16
,354,S,31,B,22,26,3,2,19,3,2,0,0,0,-,-,-,21
,182,S,34,A,12,0,0,0,10,2,0,-,-,-,-,-,-,9
,2,L,14,AD,28,0,0,0,0,0,0,-,-,-,-,-,-,560
,2,L,15,AD,28,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Tuesday,24-April-2018,00:01,SS,28M+,PL,8.3,PV,8.2,CL,60,+0,RL,57,SA,90,DS,105
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,22,0,0,0,26,2,2,-,-,-,-,-,-,18
,48,S,90,A,22,-,-,-,-,-,-,105,8,10,-,-,-,60
,48,S,91,BC,24,34,3,3,13,2,1,-,-,-,-,-,-,26
,48,S,213,A,22,-,-,-,-,-,-,105,8,10,-,-,-,60
,48,L,23,A,22,0,0,0,26,2,2,-,-,-,-,-,-,160
,48,L,49,A,22,-,-,-,-,-,-,105,8,10,-,-,-,400
A=<35,B=28,C=#22
Tuesday,24-April-2018,00:01,SS,3M+,PL,2.3,PV,2.3,CL,85,+0,RL,68,SA,201,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,81,19,6,6,-,-,-,-,-,-,-,-,-,15
,145,S,10,C,13,32,4,2,28,2,2,0,0,0,-,-,-,20
,145,S,133,AB,69,14,6,5,7,2,2,-,-,-,-,-,-,13
,145,S,204,AB,69,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,69,14,6,5,7,2,2,-,-,-,-,-,-,13
