Strategic,Monitor,On,Saturday,07-April-2018,filename:CCITY_20180407

Saturday,07-April-2018,00:00,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,165
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,74,17,6,5,0,0,0,17,6,5,0,0,0,24
,288,S,270,B,11,31,2,1,28,2,1,-,-,-,-,-,-,22
A=<69,B=#26
Saturday,07-April-2018,00:04,SS,6M+,PL,6.3,PV,6.3,CL,108,+0,RL,95,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,90,9,3,2,23,6,7,24,7,9,9,2,3,41
,183,S,21,B,27,13,3,1,56,7,5,13,3,1,-,-,-,57
,184,S,161,A,109,16,6,6,31,12,12,26,11,11,0,0,0,34
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,13,3,1,56,7,5,-,-,-,-,-,-,57
,183,L,7,AC,90,9,3,2,-,-,-,-,-,-,-,-,-,180
A=<33,B=48,C=#20
Saturday,07-April-2018,00:04,SS,10M+,PL,3.2,PV,3.2,CL,108,+0,RL,93,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,85,25,9,7,25,10,7,26,9,6,-,-,-,24
,354,S,31,B,37,17,3,2,30,5,4,0,0,0,-,-,-,33
,182,S,34,A,98,0,0,0,24,9,8,-,-,-,-,-,-,26
,2,L,14,AD,91,41,13,12,53,26,21,-,-,-,-,-,-,1660
,2,L,15,AD,91,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Saturday,07-April-2018,00:05,SS,58,-,PL,4.3,PV,4.3,CL,85,+0,RL,68,SA,201,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
