Strategic,Monitor,On,Friday,13-April-2018,filename:CCITY_20180413

Friday,13-April-2018,00:00,SS,3M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Friday,13-April-2018,00:03,SS,23M+,PL,6.2,PV,3.3,CL,120,+0,RL,101,SA,310,DS,156
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,78,21,9,8,27,10,9,17,7,6,-,-,-,36
,152,S,131,A,78,33,9,9,34,12,10,-,-,-,-,-,-,33
,152,S,132,C,25,25,3,2,0,0,0,28,4,3,-,-,-,33
,193,L,57,ABCE,77,4,2,1,23,7,6,19,6,5,-,-,-,580
,193,L,58,AE,55,34,7,6,58,10,12,55,11,11,-,-,-,580
A=<63,B=1,C=37,D=1
Friday,13-April-2018,00:04,SS,28M+,PL,4.2,PV,4.3,CL,74,+3,RL,72,SA,47,DS,85
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,68,6,2,1,36,9,8,-,-,-,-,-,-,31
,48,S,90,A,68,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,36,47,2,6,8,2,1,-,-,-,-,-,-,32
,48,S,213,A,68,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,68,6,2,1,36,9,8,-,-,-,-,-,-,340
,48,L,49,A,68,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<34,B=36,C=#22
Friday,13-April-2018,00:04,SS,3M+,PL,5.3,PV,5.3,CL,86,+0,RL,69,SA,201,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,86,19,6,6,-,-,-,-,-,-,-,-,-,15
,145,S,10,C,16,18,2,1,0,0,0,0,0,0,-,-,-,16
,145,S,133,AB,71,19,7,6,21,6,5,-,-,-,-,-,-,19
,145,S,204,AB,71,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,71,19,7,6,21,6,5,-,-,-,-,-,-,19
,145,S,212,AC,86,19,6,6,-,-,-,-,-,-,-,-,-,15
,145,L,4,AB,71,19,7,6,21,6,5,-,-,-,-,-,-,380
A=<44,B=#23,C=29
Friday,13-April-2018,00:04,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,20,7,4,19,7,4,9,3,2,-,-,-,19
,354,S,31,B,15,12,2,1,13,2,1,0,0,0,-,-,-,31
,182,S,34,A,68,7,2,1,16,5,4,-,-,-,-,-,-,20
,2,L,14,AD,26,43,4,4,47,6,5,-,-,-,-,-,-,1000
,2,L,15,AD,26,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,13-April-2018,00:05,SS,23M+,PL,8.2,PV,8.3,CL,120,+0,RL,101,SA,310,DS,137
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,104,21,12,10,24,11,11,19,9,9,-,-,-,31
,152,S,131,A,104,22,8,8,12,5,5,-,-,-,-,-,-,31
,152,S,132,C,23,148,5,10,0,0,0,14,3,1,-,-,-,84
,193,L,57,ABCE,99,4,2,2,25,9,8,22,8,8,-,-,-,540
,193,L,58,AE,77,23,5,5,31,9,9,22,6,6,-,-,-,640
A=<58,B=1,C=42,D=1
Friday,13-April-2018,00:05,SS,28M+,PL,5.2,PV,5.3,CL,68,+0,RL,65,SA,47,DS,85
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,68,6,2,1,36,9,8,-,-,-,-,-,-,33
,48,S,90,A,68,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,36,47,2,6,8,2,1,-,-,-,-,-,-,40
,48,S,213,A,68,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,68,6,2,1,36,9,8,-,-,-,-,-,-,380
,48,L,49,A,68,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<34,B=34,C=#22
Friday,13-April-2018,00:06,SS,3M+,PL,6.3,PV,21.3,CL,86,+0,RL,69,SA,200,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,87,17,5,5,-,-,-,-,-,-,-,-,-,18
,145,S,10,C,15,15,2,1,0,0,0,0,0,0,-,-,-,16
,145,S,133,AB,73,9,3,3,6,2,1,-,-,-,-,-,-,14
,145,S,204,AB,73,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,73,9,3,3,6,2,1,-,-,-,-,-,-,14
,145,S,212,AC,87,17,5,5,-,-,-,-,-,-,-,-,-,18
,145,L,4,AB,73,9,3,3,6,2,1,-,-,-,-,-,-,280
A=<47,B=#23,C=26
Friday,13-April-2018,00:06,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,26,10,6,22,9,5,10,4,2,-,-,-,23
,354,S,31,B,21,26,4,2,28,4,2,0,0,0,-,-,-,20
,182,S,34,A,26,0,0,0,38,5,3,-,-,-,-,-,-,29
,2,L,14,AD,79,11,4,3,10,5,3,-,-,-,-,-,-,960
,2,L,15,AD,79,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,13-April-2018,00:06,SS,28M+,PL,5.3,PV,8.3,CL,70-19,RL,60,SA,47,DS,132
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,16,40,2,2,63,3,3,-,-,-,-,-,-,48
,48,S,90,A,16,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,26
,48,S,213,A,16,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,16,40,2,2,63,3,3,-,-,-,-,-,-,320
,48,L,49,A,16,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<35,B=34,C=#22
Friday,13-April-2018,00:07,SS,3M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,85,11,4,3,-,-,-,-,-,-,-,-,-,15
,145,S,10,C,19,42,3,3,0,0,0,0,0,0,-,-,-,28
,145,S,133,AB,67,8,3,2,14,4,3,-,-,-,-,-,-,14
,145,S,204,AB,67,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,67,8,3,2,14,4,3,-,-,-,-,-,-,14
,145,S,212,AC,85,11,4,3,-,-,-,-,-,-,-,-,-,15
,145,L,4,AB,67,8,3,2,14,4,3,-,-,-,-,-,-,240
A=<33,B=#23,C=40
