Strategic,Monitor,On,Thursday,03-May-2018,filename:CCITY_20180503

Thursday,03-May-2018,00:00,SS,3M+,PL,2.3,PV,2.3,CL,99,+0,RL,76,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,90,0,0,0,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,14,11,2,1,25,3,2,0,0,0,-,-,-,19
,145,S,133,AB,75,0,0,0,9,3,2,-,-,-,-,-,-,12
,145,S,204,AB,75,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,75,0,0,0,9,3,2,-,-,-,-,-,-,12
,145,S,212,AC,90,0,0,0,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,75,0,0,0,9,3,2,-,-,-,-,-,-,220
A=<40,B=#23,C=37
Thursday,03-May-2018,00:00,SS,10M+,PL,3.2,PV,3.2,CL,99,+0,RL,76,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,77,11,5,3,11,5,3,7,3,2,-,-,-,17
,354,S,31,B,21,21,4,2,25,3,2,0,0,0,-,-,-,21
,182,S,34,A,65,0,0,0,26,6,6,-,-,-,-,-,-,19
,2,L,14,AD,86,11,4,3,25,11,9,-,-,-,-,-,-,660
,2,L,15,AD,86,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,03-May-2018,00:01,SS,28M+,PL,1.2,PV,1.2,CL,97-26,RL,90,SA,47,DS,56
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,35,0,0,0,0,0,0,-,-,-,-,-,-,12
,48,S,90,A,35,-,-,-,-,-,-,0,0,0,-,-,-,51
,48,S,91,BC,23,25,3,2,8,2,1,-,-,-,-,-,-,42
,48,S,213,A,35,-,-,-,-,-,-,0,0,0,-,-,-,51
,48,L,23,A,35,0,0,0,0,0,0,-,-,-,-,-,-,100
,48,L,49,A,35,-,-,-,-,-,-,0,0,0,-,-,-,460
A=<29,B=48,C=#22
Thursday,03-May-2018,00:01,SS,23M+,PL,3.2,PV,3.3,CL,100,+0,RL,82,SA,130,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,68,19,8,6,17,7,5,20,7,6,-,-,-,24
,152,S,131,A,68,12,4,3,16,6,4,-,-,-,-,-,-,16
,152,S,132,C,20,0,0,0,26,3,2,24,3,2,-,-,-,26
,193,L,57,ABCE,69,11,3,3,33,6,8,0,0,0,-,-,-,300
,193,L,58,AE,69,6,2,1,22,6,5,13,4,3,-,-,-,320
A=<68,B=1,C=32,D=1
Thursday,03-May-2018,00:02,SS,3M+,PL,3.3,PV,3.3,CL,98,+0,RL,79,SA,201,DS,40
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,110,8,3,3,-,-,-,-,-,-,-,-,-,6
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,8
,145,S,133,AB,98,12,6,5,5,2,2,-,-,-,-,-,-,12
,145,S,204,AB,98,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,98,12,6,5,5,2,2,-,-,-,-,-,-,12
,145,S,212,AC,110,8,3,3,-,-,-,-,-,-,-,-,-,6
,145,L,4,AB,98,12,6,5,5,2,2,-,-,-,-,-,-,200
A=<43,B=#23,C=34
Thursday,03-May-2018,00:02,SS,10M+,PL,3.2,PV,3.2,CL,98,+0,RL,79,SA,20,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,77,11,5,3,11,5,3,7,3,2,-,-,-,13
,354,S,31,B,21,21,4,2,25,3,2,0,0,0,-,-,-,20
,182,S,34,A,50,11,3,2,23,6,4,-,-,-,-,-,-,21
,2,L,14,AD,70,18,4,4,9,3,3,-,-,-,-,-,-,660
,2,L,15,AD,70,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,03-May-2018,00:02,SS,28M+,PL,1.2,PV,7.2,CL,97,+0,RL,102,SA,90,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,44,0,0,0,17,3,3,-,-,-,-,-,-,15
,48,S,90,A,44,-,-,-,-,-,-,155,4,28,-,-,-,104
,48,S,91,BC,21,0,0,0,0,0,0,-,-,-,-,-,-,25
,48,S,213,A,44,-,-,-,-,-,-,155,4,28,-,-,-,104
,48,L,23,A,44,0,0,0,17,3,3,-,-,-,-,-,-,120
,48,L,49,A,44,-,-,-,-,-,-,155,4,28,-,-,-,760
A=<29,B=48,C=#22
Thursday,03-May-2018,00:03,SS,23M+,PL,5.2,PV,5.3,CL,100,+0,RL,82,SA,130,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,64,24,10,7,27,10,8,23,9,7,-,-,-,23
,152,S,131,A,64,26,7,6,23,7,5,-,-,-,-,-,-,21
,152,S,132,C,20,39,3,2,0,0,0,0,0,0,-,-,-,32
,193,L,57,ABCE,62,5,2,1,39,8,8,0,0,0,-,-,-,320
,193,L,58,AE,40,12,2,1,36,5,5,16,3,2,-,-,-,300
A=<65,B=1,C=35,D=1
Thursday,03-May-2018,00:04,SS,3M+,PL,3.3,PV,0.3,CL,98,+0,RL,81,SA,200,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,92,6,2,2,-,-,-,-,-,-,-,-,-,5
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,6
,145,S,133,AB,80,9,4,3,8,3,2,-,-,-,-,-,-,10
,145,S,204,AB,80,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,80,9,4,3,8,3,2,-,-,-,-,-,-,10
,145,S,212,AC,92,6,2,2,-,-,-,-,-,-,-,-,-,5
,145,L,4,AB,80,9,4,3,8,3,2,-,-,-,-,-,-,180
A=<43,B=#23,C=34
Thursday,03-May-2018,00:04,SS,10M+,PL,3.2,PV,3.2,CL,98,+0,RL,81,SA,15,DS,152
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,94,6,3,2,5,3,2,4,2,1,-,-,-,9
,354,S,31,B,22,24,3,2,10,2,1,0,0,0,-,-,-,25
,182,S,34,A,9,0,0,0,0,0,0,-,-,-,-,-,-,13
,2,L,14,AD,68,13,4,3,29,10,9,-,-,-,-,-,-,900
,2,L,15,AD,68,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,03-May-2018,00:04,SS,28M+,PL,7.2,PV,7.2,CL,100,+0,RL,106,SA,90,DS,156
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,43,8,2,1,28,5,4,-,-,-,-,-,-,18
,48,S,90,A,43,-,-,-,-,-,-,156,3,27,-,-,-,121
,48,S,91,BC,48,59,6,10,14,4,2,-,-,-,-,-,-,32
,48,S,213,A,43,-,-,-,-,-,-,156,3,27,-,-,-,121
,48,L,23,A,43,8,2,1,28,5,4,-,-,-,-,-,-,120
,48,L,49,A,43,-,-,-,-,-,-,156,3,27,-,-,-,780
A=<48,B=30,C=#22
Thursday,03-May-2018,00:04,SS,23M+,PL,5.2,PV,7.4,CL,99,+0,RL,82,SA,116,DS,153
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,80,30,16,11,31,15,11,5,3,2,-,-,-,27
,152,S,131,A,80,14,3,4,12,5,4,-,-,-,-,-,-,18
,152,S,132,C,21,52,3,3,27,3,2,25,3,2,-,-,-,42
,193,L,57,ABCE,62,0,0,0,23,5,5,0,0,0,-,-,-,280
,193,L,58,AE,40,19,2,2,67,8,10,59,8,9,-,-,-,500
A=<65,B=1,C=35,D=1
Thursday,03-May-2018,00:05,SS,23M+,PL,7.2,PV,7.4,CL,101,+0,RL,82,SA,116,DS,153
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,80,30,16,11,31,15,11,5,3,2,-,-,-,30
,152,S,131,A,80,14,3,4,12,5,4,-,-,-,-,-,-,17
,152,S,132,C,21,52,3,3,27,3,2,25,3,2,-,-,-,49
,193,L,57,ABCE,62,0,0,0,23,5,5,0,0,0,-,-,-,220
,193,L,58,AE,40,19,2,2,67,8,10,59,8,9,-,-,-,640
A=<61,B=1,C=39,D=1
Thursday,03-May-2018,00:05,SS,3M+,PL,3.3,PV,0.3,CL,100,+0,RL,80,SA,201,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,89,8,3,3,-,-,-,-,-,-,-,-,-,7
,145,S,10,C,0,0,0,0,0,0,0,0,0,0,-,-,-,0
,145,S,133,AB,89,10,5,4,13,5,4,-,-,-,-,-,-,11
,145,S,204,AB,89,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,89,10,5,4,13,5,4,-,-,-,-,-,-,11
,145,S,212,AC,89,8,3,3,-,-,-,-,-,-,-,-,-,7
,145,L,4,AB,89,10,5,4,13,5,4,-,-,-,-,-,-,240
A=<43,B=#23,C=34
Thursday,03-May-2018,00:05,SS,10M+,PL,3.2,PV,3.2,CL,100,+0,RL,80,SA,15,DS,158
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,73,15,6,4,10,4,2,8,3,2,-,-,-,11
,354,S,31,B,24,26,3,2,31,3,3,9,2,1,-,-,-,27
,182,S,34,A,27,0,0,0,0,0,0,-,-,-,-,-,-,5
,2,L,14,AD,88,42,7,12,42,13,16,-,-,-,-,-,-,1660
,2,L,15,AD,88,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,03-May-2018,00:06,SS,28M+,PL,7.2,PV,8.2,CL,115,+0,RL,115,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,67,11,3,3,11,3,3,-,-,-,-,-,-,18
,48,S,90,A,67,-,-,-,-,-,-,154,2,42,-,-,-,155
,48,S,91,BC,37,52,2,7,60,8,7,-,-,-,-,-,-,46
,48,S,213,A,67,-,-,-,-,-,-,154,2,42,-,-,-,155
,48,L,23,A,67,11,3,3,11,3,3,-,-,-,-,-,-,180
,48,L,49,A,67,-,-,-,-,-,-,154,2,42,-,-,-,1220
A=<51,B=30,C=#22
Thursday,03-May-2018,00:06,SS,23M+,PL,7.2,PV,4.3,CL,103,+7,RL,82,SA,130,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,76,27,13,10,30,13,10,21,9,7,-,-,-,31
,152,S,131,A,76,19,5,5,23,8,6,-,-,-,-,-,-,18
,152,S,132,C,19,24,3,1,9,2,1,0,0,0,-,-,-,39
