Strategic,Monitor,On,Thursday,12-April-2018,filename:CCITY_20180412

Thursday,12-April-2018,00:00,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Thursday,12-April-2018,00:03,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,48
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,17,6,5,6,2,1,15,5,4,0,0,0,15
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Thursday,12-April-2018,00:04,SS,85M+,PL,5.3,PV,5.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,87,-,-,-,0,0,0,4,2,1,-,-,-,5
,196,S,310,A,54,24,3,4,35,6,5,10,2,2,-,-,-,55
,196,S,311,ABE,54,11,3,2,35,7,6,35,6,7,18,4,4,43
,196,S,312,D,29,14,2,1,51,6,5,32,4,4,13,2,1,51
,197,L,71,ABF,33,38,6,5,28,5,4,-,-,-,-,-,-,480
,197,L,72,ABF,33,54,7,6,40,4,5,-,-,-,-,-,-,300
A=<14,B=20,C=#25,D=24,E=17
Thursday,12-April-2018,00:04,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,15,3,3,8,2,1,18,4,4,0,0,0,20
,183,S,21,B,30,10,2,1,39,4,4,14,3,1,-,-,-,40
,184,S,161,A,74,13,3,3,25,6,6,12,4,3,0,0,0,19
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,10
,183,S,183,B,30,10,2,1,39,4,4,-,-,-,-,-,-,40
,183,L,7,AC,57,15,3,3,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Thursday,12-April-2018,00:04,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,10,4,2,10,4,2,8,3,2,-,-,-,16
,354,S,31,B,16,21,2,1,0,0,0,0,0,0,-,-,-,23
,182,S,34,A,71,0,0,0,10,3,2,-,-,-,-,-,-,8
,2,L,14,AD,55,16,4,3,32,9,8,-,-,-,-,-,-,960
,2,L,15,AD,55,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,12-April-2018,00:04,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,32,13,10,0,0,0,17,7,5,0,0,0,22
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Thursday,12-April-2018,00:05,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,15,3,3,8,2,1,18,4,4,0,0,0,19
,183,S,21,B,30,10,2,1,39,4,4,14,3,1,-,-,-,38
