Strategic,Monitor,On,Tuesday,15-May-2018,filename:CCITY_20180515

Tuesday,15-May-2018,00:00,SS,85M+,PL,5.3,PV,6.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,83,-,-,-,5,2,1,0,0,0,-,-,-,7
,196,S,310,A,78,23,5,5,14,4,3,22,2,5,-,-,-,30
,196,S,311,ABE,78,0,0,0,73,3,17,8,3,2,5,2,2,52
,196,S,312,D,25,30,3,2,10,2,1,33,2,3,0,0,0,33
,197,L,71,ABF,48,18,4,3,15,3,3,-,-,-,-,-,-,160
,197,L,72,ABF,48,23,3,3,29,4,4,-,-,-,-,-,-,240
A=<14,B=20,C=#25,D=24,E=17
Tuesday,15-May-2018,00:00,SS,6M+,PL,5.3,PV,3.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,42,11,2,1,9,2,1,29,6,5,8,2,1,25
,183,S,21,B,27,10,2,1,34,5,3,10,2,1,-,-,-,27
,184,S,161,A,85,8,3,2,21,7,6,20,8,7,14,5,4,19
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,10,2,1,34,5,3,-,-,-,-,-,-,21
,183,L,7,AC,42,11,2,1,-,-,-,-,-,-,-,-,-,80
A=<31,B=46,C=#20
Tuesday,15-May-2018,00:00,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,10,4,2,7,3,2,0,0,0,-,-,-,9
,354,S,31,B,26,50,6,5,28,4,3,0,0,0,-,-,-,32
,182,S,34,A,47,6,2,1,9,3,1,-,-,-,-,-,-,15
,2,L,14,AD,37,0,0,0,0,0,0,-,-,-,-,-,-,700
,2,L,15,AD,37,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Tuesday,15-May-2018,00:00,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,4
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,19,7,6,0,0,0,12,5,4,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Tuesday,15-May-2018,00:01,SS,6M+,PL,5.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,9,2,1,18,3,3,19,3,4,9,2,2,21
,183,S,21,B,0,0,0,0,0,0,0,0,0,0,-,-,-,15
,184,S,161,A,85,9,3,3,15,5,5,12,5,4,0,0,0,17
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,0,0,0,0,0,0,0,-,-,-,-,-,-,15
,183,L,7,AC,54,9,2,1,-,-,-,-,-,-,-,-,-,60
A=<31,B=46,C=#20
Tuesday,15-May-2018,00:01,SS,10M+,PL,4.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,14,3,3,5,2,1,0,0,0,-,-,-,12
,354,S,31,B,20,0,0,0,27,3,2,0,0,0,-,-,-,32
,182,S,34,A,57,10,3,2,19,4,4,-,-,-,-,-,-,17
,2,L,14,AD,67,23,7,6,18,6,5,-,-,-,-,-,-,900
,2,L,15,AD,67,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Tuesday,15-May-2018,00:01,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,8
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,20,8,6,5,2,1,10,4,3,0,0,0,20
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Tuesday,15-May-2018,00:01,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,100,-,-,-,11,5,3,4,2,1,-,-,-,9
,196,S,310,A,23,68,4,5,30,3,2,85,5,6,-,-,-,52
,196,S,311,ABE,49,0,0,0,19,4,3,19,4,3,7,2,1,40
,196,S,312,D,25,55,3,4,30,2,2,54,4,5,0,0,0,43
,197,L,71,ABF,69,9,3,2,19,4,5,-,-,-,-,-,-,200
,197,L,72,ABF,69,25,6,5,21,5,4,-,-,-,-,-,-,280
A=<18,B=20,C=#25,D=20,E=17
Tuesday,15-May-2018,00:03,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,91,0,0,0,19,7,6,14,6,5,0,0,0,21
