Strategic,Monitor,On,Sunday,29-April-2018,filename:CCITY_20180429

Sunday,29-April-2018,00:00,SS,23M+,PL,4.4,PV,3.3,CL,120,+0,RL,101,SA,310,DS,167
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Sunday,29-April-2018,00:04,SS,23M+,PL,7.4,PV,6.3,CL,120+28,RL,101,SA,310,DS,165
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,80,14,7,5,24,9,8,38,12,14,-,-,-,40
,152,S,131,A,80,36,9,10,54,14,16,-,-,-,-,-,-,48
,152,S,132,C,26,43,5,3,24,3,2,0,0,0,-,-,-,52
,193,L,57,ABCE,52,0,0,0,43,9,8,0,0,0,-,-,-,580
,193,L,58,AE,30,17,2,2,49,6,5,29,4,3,-,-,-,460
A=<61,B=1,C=39,D=1
Sunday,29-April-2018,00:04,SS,3M+,PL,5.2,PV,0.2,CL,105,+0,RL,86,SA,201,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,122,12,5,5,-,-,-,-,-,-,-,-,-,10
,145,S,10,C,21,31,4,3,0,0,0,0,0,0,-,-,-,19
,145,S,133,AB,102,18,10,9,31,12,11,-,-,-,-,-,-,27
,145,S,204,AB,102,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,102,18,10,9,31,12,11,-,-,-,-,-,-,27
,145,S,212,AC,122,12,5,5,-,-,-,-,-,-,-,-,-,10
,145,L,4,AB,102,18,10,9,31,12,11,-,-,-,-,-,-,500
A=<49,B=#23,C=29
Sunday,29-April-2018,00:04,SS,10M+,PL,4.2,PV,4.2,CL,105,+0,RL,86,SA,20,DS,41
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,82,14,5,4,14,5,4,13,5,3,-,-,-,17
,354,S,31,B,29,47,7,5,50,7,6,12,2,1,-,-,-,35
,182,S,34,A,64,0,0,0,18,5,4,-,-,-,-,-,-,30
,2,L,14,AD,30,20,3,2,22,4,3,-,-,-,-,-,-,1560
,2,L,15,AD,30,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,29-April-2018,00:05,SS,28M+,PL,8.2,PV,8.2,CL,116-29,RL,116,SA,90,DS,152
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,52,24,4,4,43,7,8,-,-,-,-,-,-,54
,48,S,90,A,52,-,-,-,-,-,-,152,6,33,-,-,-,142
,48,S,91,BC,45,61,8,10,17,3,3,-,-,-,-,-,-,83
,48,S,213,A,52,-,-,-,-,-,-,152,6,33,-,-,-,142
,48,L,23,A,52,24,4,4,43,7,8,-,-,-,-,-,-,520
,48,L,49,A,52,-,-,-,-,-,-,152,6,33,-,-,-,1160
A=<53,B=28,C=#22
Sunday,29-April-2018,00:06,SS,3M+,PL,1.2,PV,1.2,CL,103,+0,RL,87,SA,201,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,88,20,5,6,-,-,-,-,-,-,-,-,-,14
,145,S,10,C,23,47,5,4,10,2,1,0,0,0,-,-,-,35
,145,S,133,AB,90,18,9,8,17,6,5,-,-,-,-,-,-,23
,145,S,204,AB,90,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,90,18,9,8,17,6,5,-,-,-,-,-,-,23
,145,S,212,AC,88,20,5,6,-,-,-,-,-,-,-,-,-,14
,145,L,4,AB,90,18,9,8,17,6,5,-,-,-,-,-,-,500
A=<38,B=#23,C=40
Sunday,29-April-2018,00:06,SS,10M+,PL,3.2,PV,3.2,CL,103,+0,RL,87,SA,20,DS,41
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,76,37,12,9,32,12,8,7,3,2,-,-,-,25
,354,S,31,B,21,17,3,1,16,3,1,24,4,2,-,-,-,34
,182,S,34,A,71,0,0,0,17,5,4,-,-,-,-,-,-,24
,2,L,14,AD,98,38,11,12,36,14,15,-,-,-,-,-,-,1960
,2,L,15,AD,98,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Sunday,29-April-2018,00:06,SS,23M+,PL,3.3,PV,3.3,CL,120,+9,RL,101,SA,130,DS,64
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,89,54,28,23,64,25,25,48,19,19,-,-,-,50
,152,S,131,A,89,13,5,4,26,8,8,-,-,-,-,-,-,36
,152,S,132,C,36,38,7,4,11,3,2,23,5,3,-,-,-,45
,193,L,57,ABCE,73,5,2,1,41,11,10,0,0,0,-,-,-,440
,193,L,58,AE,51,30,6,5,31,6,6,27,5,5,-,-,-,440
A=<68,B=1,C=32,D=1
Sunday,29-April-2018,00:07,SS,28M+,PL,6.2,PV,6.2,CL,114,+0,RL,109,SA,47,DS,68
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,29,50,5,5,45,4,5,-,-,-,-,-,-,51
,48,S,90,A,29,-,-,-,-,-,-,0,0,0,-,-,-,79
,48,S,91,BC,44,71,5,11,17,3,3,-,-,-,-,-,-,80
,48,S,213,A,29,-,-,-,-,-,-,0,0,0,-,-,-,79
,48,L,23,A,29,50,5,5,45,4,5,-,-,-,-,-,-,420
,48,L,49,A,29,-,-,-,-,-,-,0,0,0,-,-,-,680
A=<49,B=32,C=#22
Sunday,29-April-2018,00:08,SS,3M+,PL,1.2,PV,18.2,CL,102,+0,RL,87,SA,201,DS,8
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,92,15,5,5,-,-,-,-,-,-,-,-,-,16
,145,S,10,C,15,13,2,1,20,3,1,0,0,0,-,-,-,31
,145,S,133,AB,78,15,7,5,17,5,4,-,-,-,-,-,-,20
