Strategic,Monitor,On,Saturday,09-June-2018,filename:CCITY_20180609

Saturday,09-June-2018,00:00,SS,10M-,PL,3.2,PV,2.2,CL,87,+0,RL,70,SA,56,DS,114
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,62,0,0,0,34,9,7,35,10,7,-,-,-,35
,354,S,31,B,33,15,2,2,26,4,3,20,2,2,-,-,-,36
,182,S,34,A,36,0,0,0,55,5,7,-,-,-,-,-,-,46
A=<47,B=53
Saturday,09-June-2018,00:05,SS,6M+,PL,7.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,46
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,37,46,6,5,23,3,3,27,5,4,0,0,0,43
,183,S,21,B,27,62,6,5,77,6,7,22,2,2,-,-,-,73
,184,S,161,A,85,19,7,5,29,10,8,20,9,7,0,0,0,32
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,62,6,5,77,6,7,-,-,-,-,-,-,71
,183,L,7,AC,37,46,6,5,-,-,-,-,-,-,-,-,-,200
A=<27,B=50,C=#20
Saturday,09-June-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,60
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,27,10,9,5,2,1,26,11,9,0,0,0,24
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Saturday,09-June-2018,00:05,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,143
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,95,-,-,-,34,12,9,6,3,2,-,-,-,37
,196,S,310,A,53,74,10,11,58,11,9,148,8,22,-,-,-,143
,196,S,311,ABE,53,14,3,3,65,8,11,48,8,9,38,8,7,64
,196,S,312,D,34,86,7,9,41,5,4,32,4,4,15,2,1,101
,197,L,71,ABF,47,68,10,11,57,7,10,-,-,-,-,-,-,540
,197,L,72,ABF,47,52,6,8,50,8,7,-,-,-,-,-,-,460
A=<22,B=20,C=#25,D=20,E=17
Saturday,09-June-2018,00:06,SS,10,-,PL,3.2,PV,3.2,CL,94,+0,RL,77,SA,30,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
