Strategic,Monitor,On,Thursday,19-April-2018,filename:CCITY_20180419

Thursday,19-April-2018,00:00,SS,3M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,40
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,88,5,2,2,-,-,-,-,-,-,-,-,-,9
,145,S,10,C,21,43,3,4,18,2,2,0,0,0,-,-,-,27
,145,S,133,AB,66,8,3,2,0,0,0,-,-,-,-,-,-,14
,145,S,204,AB,66,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,66,8,3,2,0,0,0,-,-,-,-,-,-,14
,145,S,212,AC,88,5,2,2,-,-,-,-,-,-,-,-,-,9
,145,L,4,AB,66,8,3,2,0,0,0,-,-,-,-,-,-,220
A=<33,B=#23,C=40
Thursday,19-April-2018,00:00,SS,10M+,PL,1.2,PV,1.2,CL,86,+0,RL,69,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,21,7,5,11,4,2,21,7,4,-,-,-,23
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,3
,182,S,34,A,42,0,0,0,0,0,0,-,-,-,-,-,-,6
,2,L,14,AD,66,20,5,4,25,8,7,-,-,-,-,-,-,860
,2,L,15,AD,66,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<64,B=36
Thursday,19-April-2018,00:00,SS,28M+,PL,2.3,PV,8.3,CL,60,+0,RL,60,SA,89,DS,96
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,17,65,3,4,96,4,6,-,-,-,-,-,-,53
,48,S,90,A,17,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,22
,48,S,213,A,17,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,17,65,3,4,96,4,6,-,-,-,-,-,-,340
,48,L,49,A,17,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<19,B=44,C=#22
Thursday,19-April-2018,00:01,SS,23M+,PL,7.2,PV,7.3,CL,117+13,RL,97,SA,130,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,78,26,12,10,36,14,13,29,12,10,-,-,-,36
,152,S,131,A,78,14,5,4,14,5,4,-,-,-,-,-,-,21
,152,S,132,C,29,50,6,4,36,6,4,35,6,4,-,-,-,46
,193,L,57,ABCE,76,0,0,0,40,11,10,76,12,20,-,-,-,500
,193,L,58,AE,54,11,3,2,23,5,5,29,6,6,-,-,-,400
A=<61,B=1,C=39,D=1
Thursday,19-April-2018,00:01,SS,3M+,PL,1.3,PV,0.3,CL,86,+0,RL,69,SA,200,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,84,18,6,5,-,-,-,-,-,-,-,-,-,12
,145,S,10,C,14,11,2,1,19,2,1,0,0,0,-,-,-,23
,145,S,133,AB,71,15,6,5,15,4,4,-,-,-,-,-,-,14
,145,S,204,AB,71,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,71,15,6,5,15,4,4,-,-,-,-,-,-,14
,145,S,212,AC,84,18,6,5,-,-,-,-,-,-,-,-,-,12
