Strategic,Monitor,On,Thursday,10-May-2018,filename:CCITY_20180510

Thursday,10-May-2018,00:00,SS,23M+,PL,3.3,PV,3.4,CL,75,-6,RL,75,SA,131,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,72,20,5,5,-,-,-,-,-,-,-,-,-,14
,145,S,10,C,14,11,2,1,0,0,0,0,0,0,-,-,-,12
,145,S,133,AB,83,17,8,7,11,4,3,-,-,-,-,-,-,17
,145,S,204,AB,83,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,83,17,8,7,11,4,3,-,-,-,-,-,-,17
,145,S,212,AC,72,20,5,5,-,-,-,-,-,-,-,-,-,14
,145,L,4,AB,83,17,8,7,11,4,3,-,-,-,-,-,-,360
A=<53,B=#23,C=22
Thursday,10-May-2018,00:03,SS,10M+,PL,3.2,PV,3.2,CL,91,+0,RL,70,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,11,4,3,8,3,2,14,4,3,-,-,-,11
,354,S,31,B,21,0,0,0,28,5,2,0,0,0,-,-,-,21
,182,S,34,A,11,0,0,0,0,0,0,-,-,-,-,-,-,3
,2,L,14,AD,25,17,2,1,0,0,0,-,-,-,-,-,-,1100
,2,L,15,AD,25,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,10-May-2018,00:03,SS,23M+,PL,8.4,PV,4.4,CL,60,-1,RL,60,SA,131,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,36,8,2,1,9,2,1,15,3,2,-,-,-,19
,152,S,131,A,36,17,3,2,35,4,5,-,-,-,-,-,-,30
,152,S,132,C,16,18,2,1,0,0,0,0,0,0,-,-,-,60
