Strategic,Monitor,On,Thursday,07-June-2018,filename:CCITY_20180607

Thursday,07-June-2018,00:00,SS,28M+,PL,1.3,PV,8.3,CL,60,+0,RL,44,SA,47,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,182,S,34,A,50,0,0,0,8,2,1,-,-,-,-,-,-,11
A=<60,B=40
Thursday,07-June-2018,00:03,SS,28M+,PL,8.3,PV,8.2,CL,60,+0,RL,60,SA,90,DS,146
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,59,18,5,4,33,8,7,-,-,-,-,-,-,48
,48,S,90,A,59,-,-,-,-,-,-,146,5,33,-,-,-,66
,48,S,91,BC,25,45,6,4,12,2,1,-,-,-,-,-,-,20
,48,S,213,A,59,-,-,-,-,-,-,146,5,33,-,-,-,66
,48,L,23,A,59,18,5,4,33,8,7,-,-,-,-,-,-,620
,48,L,49,A,59,-,-,-,-,-,-,146,5,33,-,-,-,900
A=<35,B=28,C=#22
Thursday,07-June-2018,00:03,SS,3M+,PL,1.3,PV,0.3,CL,86,+0,RL,69,SA,201,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,78,17,5,5,-,-,-,-,-,-,-,-,-,12
,145,S,10,C,21,32,4,3,0,0,0,0,0,0,-,-,-,37
,145,S,133,AB,58,0,0,0,36,8,7,-,-,-,-,-,-,23
,145,S,204,AB,58,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,58,0,0,0,36,8,7,-,-,-,-,-,-,23
,145,S,212,AC,78,17,5,5,-,-,-,-,-,-,-,-,-,12
,145,L,4,AB,58,0,0,0,36,8,7,-,-,-,-,-,-,220
A=<32,B=#23,C=41
Thursday,07-June-2018,00:03,SS,23M+,PL,2.2,PV,2.3,CL,100,+0,RL,83,SA,110,DS,96
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,83,49,23,19,58,20,21,34,13,12,-,-,-,59
,152,S,131,A,83,22,8,6,14,6,4,-,-,-,-,-,-,35
,152,S,132,C,29,43,3,4,0,0,0,0,0,0,-,-,-,39
,193,L,57,ABCE,74,7,3,2,49,13,12,43,11,11,-,-,-,820
,193,L,58,AE,52,25,5,4,29,6,6,33,7,6,-,-,-,660
A=<71,B=1,C=29,D=1
Thursday,07-June-2018,00:03,SS,10,-,PL,2.2,PV,3.2,CL,60,+0,RL,60,SA,57,DS,102
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,48,14,4,2,11,3,2,6,2,1,-,-,-,21
,354,S,31,B,18,17,2,1,34,3,2,0,0,0,-,-,-,26
,182,S,34,A,61,15,3,3,33,7,7,-,-,-,-,-,-,19
A=<60,B=40
Thursday,07-June-2018,00:04,SS,28M+,PL,3.3,PV,3.2,CL,60,+0,RL,60,SA,50,DS,91
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,47,11,2,2,15,3,2,-,-,-,-,-,-,31
,48,S,90,A,47,-,-,-,-,-,-,0,0,0,-,-,-,48
,48,S,91,BC,26,44,6,4,53,5,5,-,-,-,-,-,-,39
,48,S,213,A,47,-,-,-,-,-,-,0,0,0,-,-,-,48
,48,L,23,A,47,11,2,2,15,3,2,-,-,-,-,-,-,460
,48,L,49,A,47,-,-,-,-,-,-,0,0,0,-,-,-,660
A=<23,B=40,C=#22
Thursday,07-June-2018,00:04,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,44,33,7,5,27,6,4,0,0,0,-,-,-,26
,354,S,31,B,22,0,0,0,60,5,5,24,2,2,-,-,-,41
,182,S,34,A,44,10,2,1,9,2,1,-,-,-,-,-,-,17
A=<47,B=53
Thursday,07-June-2018,00:05,SS,28M+,PL,3.3,PV,8.2,CL,60,+0,RL,67,SA,90,DS,158
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,34,0,0,0,26,3,3,-,-,-,-,-,-,24
,48,S,90,A,34,-,-,-,-,-,-,158,2,21,-,-,-,103
,48,S,91,BC,37,43,4,6,30,5,4,-,-,-,-,-,-,47
,48,S,213,A,34,-,-,-,-,-,-,158,2,21,-,-,-,103
,48,L,23,A,34,0,0,0,26,3,3,-,-,-,-,-,-,300
,48,L,49,A,34,-,-,-,-,-,-,158,2,21,-,-,-,1000
A=<23,B=40,C=#22
Thursday,07-June-2018,00:05,SS,3M+,PL,7.3,PV,7.3,CL,86,+0,RL,69,SA,200,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,84,20,6,6,-,-,-,-,-,-,-,-,-,17
,145,S,10,C,21,0,0,0,0,0,0,0,0,0,-,-,-,20
,145,S,133,AB,64,7,2,2,0,0,0,-,-,-,-,-,-,18
,145,S,204,AB,64,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,64,7,2,2,0,0,0,-,-,-,-,-,-,18
,145,S,212,AC,84,20,6,6,-,-,-,-,-,-,-,-,-,17
,145,L,4,AB,64,7,2,2,0,0,0,-,-,-,-,-,-,180
A=<51,B=#23,C=22
Thursday,07-June-2018,00:05,SS,23M+,PL,4.2,PV,4.2,CL,100,+0,RL,83,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,75,37,16,13,45,16,15,22,6,7,-,-,-,58
,152,S,131,A,75,12,4,3,14,6,4,-,-,-,-,-,-,24
,152,S,132,C,30,51,5,5,23,2,3,13,2,1,-,-,-,43
,193,L,57,ABCE,74,7,3,2,49,13,12,43,11,11,-,-,-,860
,193,L,58,AE,52,25,5,4,29,6,6,33,7,6,-,-,-,620
A=<66,B=1,C=34,D=1
Thursday,07-June-2018,00:05,SS,10,-,PL,4.2,PV,3.2,CL,60,-7,RL,60,SA,136,DS,101
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,26,6,5,24,6,5,22,4,4,-,-,-,26
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,27
,182,S,34,A,44,10,2,1,9,2,1,-,-,-,-,-,-,15
A=<47,B=53
Thursday,07-June-2018,00:06,SS,28M+,PL,8.2,PV,8.2,CL,70-16,RL,71,SA,90,DS,162
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,20,0,0,0,25,2,2,-,-,-,-,-,-,23
,48,S,90,A,20,-,-,-,-,-,-,162,4,13,-,-,-,125
,48,S,91,BC,14,0,0,0,0,0,0,-,-,-,-,-,-,26
,48,S,213,A,20,-,-,-,-,-,-,162,4,13,-,-,-,125
,48,L,23,A,20,0,0,0,25,2,2,-,-,-,-,-,-,160
,48,L,49,A,20,-,-,-,-,-,-,162,4,13,-,-,-,760
A=<41,B=28,C=#22
Thursday,07-June-2018,00:06,SS,3M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,80,19,6,5,-,-,-,-,-,-,-,-,-,19
,145,S,10,C,17,34,2,2,0,0,0,0,0,0,-,-,-,22
,145,S,133,AB,64,9,3,3,10,2,2,-,-,-,-,-,-,15
,145,S,204,AB,64,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,64,9,3,3,10,2,2,-,-,-,-,-,-,15
,145,S,212,AC,80,19,6,5,-,-,-,-,-,-,-,-,-,19
,145,L,4,AB,64,9,3,3,10,2,2,-,-,-,-,-,-,180
A=<36,B=#23,C=37
Thursday,07-June-2018,00:06,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,33,19,3,2,15,3,2,15,3,2,-,-,-,24
,354,S,31,B,17,14,2,1,20,2,1,27,2,2,-,-,-,25
,182,S,34,A,61,0,0,0,16,4,3,-,-,-,-,-,-,13
A=<47,B=53
Thursday,07-June-2018,00:07,SS,23M+,PL,4.2,PV,7.2,CL,100,+0,RL,82,SA,313,DS,156
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,70,19,8,6,22,7,7,12,5,4,-,-,-,38
,152,S,131,A,70,25,7,6,7,3,2,-,-,-,-,-,-,21
,152,S,132,C,24,45,4,3,28,2,3,28,3,2,-,-,-,47
,193,L,57,ABCE,39,0,0,0,24,4,3,0,0,0,-,-,-,540
,193,L,58,AE,17,0,0,0,39,3,2,0,0,0,-,-,-,340
A=<66,B=1,C=34,D=1
Thursday,07-June-2018,00:07,SS,28M+,PL,8.2,PV,8.2,CL,83-20,RL,83,SA,90,DS,152
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,20,24,2,2,106,4,7,-,-,-,-,-,-,62
,48,S,90,A,20,-,-,-,-,-,-,152,2,12,-,-,-,157
,48,S,91,BC,14,22,3,1,0,0,0,-,-,-,-,-,-,19
,48,S,213,A,20,-,-,-,-,-,-,152,2,12,-,-,-,157
,48,L,23,A,20,24,2,2,106,4,7,-,-,-,-,-,-,280
,48,L,49,A,20,-,-,-,-,-,-,152,2,12,-,-,-,800
A=<45,B=28,C=#22
Thursday,07-June-2018,00:07,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,37,31,6,4,31,6,4,17,3,2,-,-,-,26
,354,S,31,B,15,18,2,1,22,2,1,0,0,0,-,-,-,19
,182,S,34,A,49,0,0,0,14,3,2,-,-,-,-,-,-,14
A=<47,B=53
Thursday,07-June-2018,00:08,SS,3M+,PL,7.3,PV,7.3,CL,86,+0,RL,69,SA,200,DS,66
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,87,14,5,4,-,-,-,-,-,-,-,-,-,17
,145,S,10,C,0,0,0,0,0,0,0,0,0,0,-,-,-,11
,145,S,133,AB,89,14,5,6,9,3,3,-,-,-,-,-,-,11
,145,S,204,AB,89,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,89,14,5,6,9,3,3,-,-,-,-,-,-,11
,145,S,212,AC,87,14,5,4,-,-,-,-,-,-,-,-,-,17
,145,L,4,AB,89,14,5,6,9,3,3,-,-,-,-,-,-,240
A=<51,B=#23,C=22
Thursday,07-June-2018,00:08,SS,28M+,PL,8.2,PV,8.2,CL,92,-2,RL,92,SA,90,DS,158
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,27,34,3,4,48,4,4,-,-,-,-,-,-,62
,48,S,90,A,27,-,-,-,-,-,-,158,3,17,-,-,-,157
,48,S,91,BC,41,71,3,10,16,3,2,-,-,-,-,-,-,39
,48,S,213,A,27,-,-,-,-,-,-,158,3,17,-,-,-,157
,48,L,23,A,27,34,3,4,48,4,4,-,-,-,-,-,-,340
,48,L,49,A,27,-,-,-,-,-,-,158,3,17,-,-,-,700
A=<48,B=28,C=#22
Thursday,07-June-2018,00:08,SS,23M+,PL,4.2,PV,4.2,CL,100,+8,RL,82,SA,310,DS,95
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,72,25,11,8,24,10,8,10,4,3,-,-,-,28
,152,S,131,A,72,16,5,4,38,12,10,-,-,-,-,-,-,28
,152,S,132,C,19,0,0,0,19,3,1,11,2,1,-,-,-,35
,193,L,57,ABCE,64,9,3,2,36,9,8,46,10,10,-,-,-,560
,193,L,58,AE,42,19,3,2,23,3,4,27,4,4,-,-,-,300
A=<66,B=1,C=34,D=1
Thursday,07-June-2018,00:08,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,16,7,3,14,6,3,24,7,5,-,-,-,25
,354,S,31,B,14,0,0,0,66,2,4,36,2,2,-,-,-,43
,182,S,34,A,66,7,2,1,15,4,3,-,-,-,-,-,-,15
A=<47,B=53
Thursday,07-June-2018,00:09,SS,3M+,PL,8.3,PV,8.3,CL,86,+0,RL,69,SA,200,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,48,39,8,7,-,-,-,-,-,-,-,-,-,26
,145,S,10,C,0,0,0,0,0,0,0,0,0,0,-,-,-,7
,145,S,133,AB,73,8,3,3,14,4,3,-,-,-,-,-,-,13
,145,S,204,AB,73,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,73,8,3,3,14,4,3,-,-,-,-,-,-,13
,145,S,212,AC,48,39,8,7,-,-,-,-,-,-,-,-,-,26
,145,L,4,AB,73,8,3,3,14,4,3,-,-,-,-,-,-,280
A=<54,B=#23,C=19
Thursday,07-June-2018,00:09,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,59,22,6,4,18,5,4,14,4,3,-,-,-,25
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,27
,182,S,34,A,66,7,2,1,15,4,3,-,-,-,-,-,-,15
A=<47,B=53
Thursday,07-June-2018,00:10,SS,28M+,PL,8.2,PV,8.2,CL,102,+0,RL,102,SA,90,DS,159
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,33,0,0,0,39,5,4,-,-,-,-,-,-,57
,48,S,90,A,33,-,-,-,-,-,-,159,2,20,-,-,-,157
,48,S,91,BC,21,0,0,0,0,0,0,-,-,-,-,-,-,28
,48,S,213,A,33,-,-,-,-,-,-,159,2,20,-,-,-,157
,48,L,23,A,33,0,0,0,39,5,4,-,-,-,-,-,-,280
,48,L,49,A,33,-,-,-,-,-,-,159,2,20,-,-,-,720
A=<50,B=28,C=#22
Thursday,07-June-2018,00:10,SS,23M+,PL,2.2,PV,2.2,CL,95,+2,RL,82,SA,116,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,80,27,14,10,29,13,10,26,12,9,-,-,-,26
,152,S,131,A,80,23,8,6,16,6,5,-,-,-,-,-,-,28
,152,S,132,C,20,27,3,2,23,3,2,0,0,0,-,-,-,28
,193,L,57,ABCE,67,0,0,0,20,5,5,45,10,10,-,-,-,500
,193,L,58,AE,45,9,2,1,43,7,7,30,4,5,-,-,-,340
A=<71,B=1,C=29,D=1
Thursday,07-June-2018,00:10,SS,23M+,PL,2.2,PV,6.2,CL,97,+2,RL,80,SA,116,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,80,27,14,10,29,13,10,26,12,9,-,-,-,28
,152,S,131,A,80,23,8,6,16,6,5,-,-,-,-,-,-,26
,152,S,132,C,20,27,3,2,23,3,2,0,0,0,-,-,-,25
,193,L,57,ABCE,67,0,0,0,20,5,5,45,10,10,-,-,-,580
,193,L,58,AE,45,9,2,1,43,7,7,30,4,5,-,-,-,440
A=<71,B=1,C=29,D=1
Thursday,07-June-2018,00:10,SS,3M+,PL,7.3,PV,7.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,112,21,8,8,-,-,-,-,-,-,-,-,-,25
,145,S,10,C,15,27,2,2,19,2,1,0,0,0,-,-,-,12
,145,S,133,AB,94,8,4,3,10,4,3,-,-,-,-,-,-,12
,145,S,204,AB,94,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,94,8,4,3,10,4,3,-,-,-,-,-,-,12
,145,S,212,AC,112,21,8,8,-,-,-,-,-,-,-,-,-,25
,145,L,4,AB,94,8,4,3,10,4,3,-,-,-,-,-,-,260
A=<51,B=#23,C=22
Thursday,07-June-2018,00:10,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,25,0,0,0,0,0,0,0,0,0,-,-,-,13
,354,S,31,B,25,39,4,3,60,5,6,16,2,1,-,-,-,42
,182,S,34,A,74,11,3,3,27,5,7,-,-,-,-,-,-,20
A=<47,B=53
Thursday,07-June-2018,00:11,SS,28M+,PL,8.2,PV,8.2,CL,100,+0,RL,96,SA,47,DS,50
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,34,14,2,2,34,4,4,-,-,-,-,-,-,39
,48,S,90,A,34,-,-,-,-,-,-,0,0,0,-,-,-,87
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,16
,48,S,213,A,34,-,-,-,-,-,-,0,0,0,-,-,-,87
,48,L,23,A,34,14,2,2,34,4,4,-,-,-,-,-,-,220
,48,L,49,A,34,-,-,-,-,-,-,0,0,0,-,-,-,420
A=<50,B=28,C=#22
Thursday,07-June-2018,00:11,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,42,0,0,0,0,0,0,0,0,0,-,-,-,5
,354,S,31,B,25,37,3,3,69,6,7,0,0,0,-,-,-,51
,182,S,34,A,73,6,2,1,24,7,6,-,-,-,-,-,-,23
A=<47,B=53
Thursday,07-June-2018,00:12,SS,23M+,PL,6.2,PV,6.3,CL,99,+0,RL,79,SA,116,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,80,27,14,10,29,13,10,26,12,9,-,-,-,29
,152,S,131,A,80,23,8,6,16,6,5,-,-,-,-,-,-,23
,152,S,132,C,20,27,3,2,23,3,2,0,0,0,-,-,-,27
,193,L,57,ABCE,81,4,2,1,45,14,12,0,0,0,-,-,-,500
,193,L,58,AE,59,16,4,3,31,7,7,21,4,4,-,-,-,480
A=<63,B=1,C=37,D=1
Thursday,07-June-2018,00:12,SS,3M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,86,9,3,3,-,-,-,-,-,-,-,-,-,20
,145,S,10,C,13,0,0,0,34,2,2,46,3,2,-,-,-,30
,145,S,133,AB,74,7,3,2,16,5,4,-,-,-,-,-,-,14
,145,S,204,AB,74,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,74,7,3,2,16,5,4,-,-,-,-,-,-,14
,145,S,212,AC,86,9,3,3,-,-,-,-,-,-,-,-,-,20
,145,L,4,AB,74,7,3,2,16,5,4,-,-,-,-,-,-,240
A=<33,B=#23,C=40
Thursday,07-June-2018,00:12,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,62,26,7,5,25,7,5,17,4,3,-,-,-,12
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,36
,182,S,34,A,73,6,2,1,24,7,6,-,-,-,-,-,-,25
A=<53,B=47
Thursday,07-June-2018,00:13,SS,28M+,PL,7.2,PV,7.2,CL,96,+0,RL,89,SA,47,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,100,5,2,2,7,3,2,-,-,-,-,-,-,23
,48,S,90,A,100,-,-,-,-,-,-,56,3,22,-,-,-,60
,48,S,91,BC,45,29,5,5,14,3,2,-,-,-,-,-,-,13
,48,S,213,A,100,-,-,-,-,-,-,56,3,22,-,-,-,60
,48,L,23,A,100,5,2,2,7,3,2,-,-,-,-,-,-,160
,48,L,49,A,100,-,-,-,-,-,-,56,3,22,-,-,-,520
A=<47,B=30,C=#22
