Strategic,Monitor,On,Thursday,21-June-2018,filename:CCITY_20180621

Thursday,21-June-2018,00:00,SS,28M+,PL,8.2,PV,8.2,CL,72-17,RL,62,SA,50,DS,141
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,132,C,27,37,2,3,44,5,5,0,0,0,-,-,-,28
,193,L,57,ABCE,66,0,0,0,18,5,4,14,4,3,-,-,-,460
,193,L,58,AE,44,13,2,2,41,6,6,24,4,4,-,-,-,340
A=<66,B=1,C=34,D=1
Thursday,21-June-2018,00:04,SS,3M+,PL,1.3,PV,0.3,CL,95,-2,RL,78,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,98,9,3,3,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,14,10,2,1,0,0,0,18,2,1,-,-,-,20
,145,S,133,AB,109,14,8,7,0,0,0,-,-,-,-,-,-,13
,145,S,204,AB,109,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,109,14,8,7,0,0,0,-,-,-,-,-,-,13
,145,S,212,AC,98,9,3,3,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,109,14,8,7,0,0,0,-,-,-,-,-,-,220
A=<36,B=#23,C=40
Thursday,21-June-2018,00:04,SS,10,-,PL,1.2,PV,3.2,CL,85,-6,RL,65,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,62,11,4,2,9,3,2,0,0,0,-,-,-,13
,354,S,31,B,16,0,0,0,27,2,2,21,2,1,-,-,-,22
,182,S,34,A,61,9,2,2,21,4,4,-,-,-,-,-,-,17
A=<64,B=36
Thursday,21-June-2018,00:04,SS,23M+,PL,6.2,PV,6.3,CL,80,+5,RL,80,SA,130,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,83,32,14,13,33,11,12,15,6,6,-,-,-,33
,152,S,131,A,83,29,9,8,8,4,2,-,-,-,-,-,-,30
,152,S,132,C,27,37,2,3,44,5,5,0,0,0,-,-,-,38
,193,L,57,ABCE,66,0,0,0,18,5,4,14,4,3,-,-,-,380
,193,L,58,AE,44,13,2,2,41,6,6,24,4,4,-,-,-,380
A=<63,B=1,C=37,D=1
Thursday,21-June-2018,00:04,SS,28M+,PL,4.2,PV,8.3,CL,86,+0,RL,66,SA,47,DS,47
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,77,0,0,0,19,6,5,-,-,-,-,-,-,17
,48,S,90,A,77,-,-,-,-,-,-,47,17,15,-,-,-,31
,48,S,91,BC,42,14,4,2,34,7,5,-,-,-,-,-,-,36
,48,S,213,A,77,-,-,-,-,-,-,47,17,15,-,-,-,31
,48,L,23,A,77,0,0,0,19,6,5,-,-,-,-,-,-,180
,48,L,49,A,77,-,-,-,-,-,-,47,17,15,-,-,-,340
A=<38,B=36,C=#22
Thursday,21-June-2018,00:04,SS,10,-,PL,3.2,PV,3.2,CL,93,+0,RL,67,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,62,11,4,2,9,3,2,0,0,0,-,-,-,13
,354,S,31,B,16,0,0,0,27,2,2,21,2,1,-,-,-,21
,182,S,34,A,61,9,2,2,21,4,4,-,-,-,-,-,-,19
A=<53,B=47
Thursday,21-June-2018,00:05,SS,23M+,PL,6.2,PV,7.4,CL,72,+0,RL,72,SA,130,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,71,21,9,7,25,10,8,14,6,5,-,-,-,29
,152,S,131,A,71,19,6,4,23,9,6,-,-,-,-,-,-,26
,152,S,132,C,27,37,2,3,44,5,5,0,0,0,-,-,-,44
,193,L,57,ABCE,66,0,0,0,18,5,4,14,4,3,-,-,-,240
,193,L,58,AE,44,13,2,2,41,6,6,24,4,4,-,-,-,420
A=<63,B=1,C=37,D=1
Thursday,21-June-2018,00:06,SS,28M+,PL,8.2,PV,8.2,CL,80,+0,RL,69,SA,47,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,44,18,3,3,37,5,6,-,-,-,-,-,-,27
,48,S,90,A,44,-,-,-,-,-,-,56,10,10,-,-,-,43
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,20
,48,S,213,A,44,-,-,-,-,-,-,56,10,10,-,-,-,43
,48,L,23,A,44,18,3,3,37,5,6,-,-,-,-,-,-,280
,48,L,49,A,44,-,-,-,-,-,-,56,10,10,-,-,-,400
A=<44,B=28,C=#22
Thursday,21-June-2018,00:06,SS,3M+,PL,7.3,PV,7.3,CL,86,+0,RL,79,SA,200,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,72,22,6,6,-,-,-,-,-,-,-,-,-,16
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,14
,145,S,133,AB,60,11,4,3,0,0,0,-,-,-,-,-,-,13
,145,S,204,AB,60,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,60,11,4,3,0,0,0,-,-,-,-,-,-,13
,145,S,212,AC,72,22,6,6,-,-,-,-,-,-,-,-,-,16
,145,L,4,AB,60,11,4,3,0,0,0,-,-,-,-,-,-,160
A=<51,B=#23,C=22
Thursday,21-June-2018,00:06,SS,10,+,PL,3.2,PV,4.2,CL,92,+0,RL,71,SA,30,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,51,22,6,4,14,4,2,10,3,1,-,-,-,16
,354,S,31,B,17,30,3,2,23,2,2,0,0,0,-,-,-,28
,182,S,34,A,49,12,3,2,21,4,4,-,-,-,-,-,-,21
A=<53,B=47
Thursday,21-June-2018,00:07,SS,23M+,PL,2.2,PV,2.4,CL,74,-6,RL,63,SA,122,DS,106
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,54,22,6,6,32,6,8,21,5,5,-,-,-,30
,152,S,131,A,54,15,4,3,16,5,3,-,-,-,-,-,-,21
,152,S,132,C,20,17,2,1,17,2,1,9,2,1,-,-,-,32
,193,L,57,ABCE,78,0,0,0,25,8,7,15,5,4,-,-,-,300
,193,L,58,AE,57,34,5,6,30,6,6,15,2,3,-,-,-,480
A=<71,B=1,C=29,D=1
Thursday,21-June-2018,00:07,SS,28M+,PL,8.2,PV,3.3,CL,67,+4,RL,67,SA,47,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,84,0,0,0,6,2,2,-,-,-,-,-,-,19
,48,S,90,A,84,-,-,-,-,-,-,15,2,5,-,-,-,36
,48,S,91,BC,45,44,5,7,21,4,3,-,-,-,-,-,-,27
,48,S,213,A,84,-,-,-,-,-,-,15,2,5,-,-,-,36
,48,L,23,A,84,0,0,0,6,2,2,-,-,-,-,-,-,200
,48,L,49,A,84,-,-,-,-,-,-,15,2,5,-,-,-,360
A=<39,B=28,C=#22
Thursday,21-June-2018,00:07,SS,3M+,PL,2.3,PV,2.3,CL,86,+0,RL,74,SA,201,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,97,11,4,4,-,-,-,-,-,-,-,-,-,14
,145,S,10,C,19,49,3,4,0,0,0,28,2,2,-,-,-,26
,145,S,133,AB,79,15,5,5,13,4,3,-,-,-,-,-,-,13
,145,S,204,AB,79,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,79,15,5,5,13,4,3,-,-,-,-,-,-,13
,145,S,212,AC,97,11,4,4,-,-,-,-,-,-,-,-,-,14
,145,L,4,AB,79,15,5,5,13,4,3,-,-,-,-,-,-,220
A=<36,B=#23,C=37
Thursday,21-June-2018,00:07,SS,10,+,PL,4.2,PV,4.2,CL,90-10,RL,73,SA,30,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,75,14,5,3,7,3,2,5,2,1,-,-,-,16
,354,S,31,B,22,17,3,1,32,3,3,0,0,0,-,-,-,30
,182,S,34,A,49,10,2,2,10,2,2,-,-,-,-,-,-,16
A=<47,B=53
Thursday,21-June-2018,00:08,SS,23M+,PL,2.2,PV,8.3,CL,72,+0,RL,60,SA,130,DS,50
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,45,30,8,6,50,10,10,26,6,5,-,-,-,39
