,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,919.1248,700.93085,86895.695,217.09496,216836.14,294.78076,0.4245310696688565
1,1,987.99164,850.9968,88802.82,220.25504,244033.05,297.99802,0.6231548406861045
2,2,1028.5532,879.7395,97443.99,227.06451,228823.81,312.16022,0.6365885463627902
3,3,1039.2051,878.5556,93118.56,221.8956,229060.81,305.15335,0.613839100707661
4,4,1061.7755,885.3841,99541.92,230.56947,248889.05,315.50266,0.6051838994026184
5,5,1099.1267,873.375,97975.805,229.40436,207718.52,313.01086,0.5752657977017489
