,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1044.6184,857.7014,113234.875,244.80591,6.773963e+16,336.5039,0.6395650126717307
1,1,1087.4371,882.81476,101495.7,231.55376,4.7550347e+16,318.5839,0.6817277615720575
2,2,1092.0061,883.5441,110873.1,241.06468,6.5664866e+16,332.97614,0.633034120906483
3,3,1156.739,892.4222,110603.52,244.16367,5.440074e+16,332.57108,0.5988496162674644
4,4,1170.3074,868.1574,114280.92,249.50075,5.35023e+16,338.05463,0.5359798182140697
5,5,1065.0598,769.0688,99624.16,233.60684,4.5822358e+16,315.63293,0.44804399663751776
6,6,942.06323,698.40735,85095.37,218.29805,5.5822235e+16,291.7111,0.4830893874168396
7,7,1037.4187,853.21576,101490.375,230.35283,6.515575e+16,318.57553,0.6556852297349409
8,8,1083.2291,884.31384,101404.73,231.85472,5.589721e+16,318.4411,0.6844233111901716
