Strategic,Monitor,On,Friday,01-Jun-18,filename:CCITY_20180601,,,,,,183,196,288,354,,,,,,,,,,,,,,
,INT,OTHER,SA/LK,PH,PT,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,Time Change,Current Time,Reading,Is a Node,Remove Duplicate,Test VO,Total VO,Num Lanes,Summed DS,Average DS
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:19:00,1,0,0,0,0,2,0,0
,183,S,183,B,22,0,0,0,13,2,1,-,-,- ,-,-,- ,17,1,03:19:00,1,1,0,2,0,2,0,0
,183,L,7,AC,54,13,3,2,-,-,- ,-,-,- ,-,-,- ,40,1,03:19:00,1,1,0,3,0,1,0,0
A=<34 ,B=46,C=20,,,,,,,,,,,,,,,,,1,03:19:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:19,SS,58M+,PL,1.3,PV,1.3,CL,85,0,RL,68,SA,201,DS,5,,0,03:19:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:19:00,0,0,0,0,0,0,0,0
,288,S,206,A,84,8,3,3,8,3,2,14,6,5,0,0,0,14,1,03:19:00,1,1,1,12,12,4,30,7.5
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:19:00,1,1,1,0,0,2,0,0
A=<78 ,B=#19,,,,,,,,,,,,,,,,,,1,03:19:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:20,SS,85M+,PL,4.3,PV,8.3,CL,100,0,RL,88,SA,0,DS,0,,0,03:20:00,0,0,0,188,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:20:00,0,0,0,0,0,0,0,0
,908,S,287,AC,99,-,-,- ,8,3,2,0,0,0,-,-,- ,8,1,03:20:00,1,0,0,3,0,2,0,0
,196,S,310,A,79,7,2,2,32,5,7,13,4,3,-,-,- ,38,1,03:20:00,1,1,1,11,11,3,52,17.3333333333333
,196,S,311,ABE,79,0,0,0,18,6,4,12,4,3,5,2,1,17,1,03:20:00,1,1,1,12,12,4,35,8.75
,196,S,312,D,29,0,0,0,10,2,1,13,2,1,0,0,0,21,1,03:20:00,1,1,1,4,4,4,23,5.75
,197,L,71,ABF,60,17,5,4,10,3,2,-,-,- ,-,-,- ,280,1,03:20:00,1,0,0,8,0,2,0,0
,197,L,72,ABF,60,87,2,17,22,6,4,-,-,- ,-,-,- ,400,1,03:20:00,1,0,0,8,0,2,0,0
A=<12 ,B=20,C=#25,D=25,E=18,,,,,,,,,,,,,,,1,03:20:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:20,SS,10,-,PL,2.2,PV,2.2,CL,69,5,RL,62,SA,136,DS,16,0,03:20:00,0,0,0,138.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:20:00,0,0,0,0,0,0,0,0
,354,S,30,A,52,0,0,0,0,0,0,6,2,1,-,-,- ,6,1,03:20:00,1,1,1,2,2,3,6,2
,354,S,31,B,14,0,0,0,10,2,1,0,0,0,-,-,- ,16,1,03:20:00,1,1,1,2,2,3,10,3.33333333333333
,182,S,34,A,46,0,0,0,8,2,1,-,-,- ,-,-,- ,8,1,03:20:00,1,0,0,2,0,2,0,0
A=<60 ,B=40,,,,,,,,,,,,,,,,,,1,03:20:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:21,SS,6M+,PL,5.1,PV,3.3,CL,85,0,RL,68,SA,53,DS,3,,0,03:21:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:21:00,0,0,0,0,0,0,0,0
,183,S,20,AC,63,0,0,0,11,3,2,8,3,2,5,2,1,15,1,03:21:00,1,1,1,8,8,4,24,6
,183,S,21,B,29,28,3,3,27,3,3,11,2,1,-,-,- ,21,1,03:21:00,1,1,1,8,8,3,66,22
,184,S,161,A,84,11,4,3,15,5,4,7,3,2,6,2,2,17,1,03:21:00,1,0,0,14,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:21:00,1,0,0,0,0,2,0,0
,183,S,183,B,29,28,3,3,27,3,3,-,-,- ,-,-,- ,21,1,03:21:00,1,1,0,6,0,2,0,0
,183,L,7,AC,63,0,0,0,-,-,- ,-,-,- ,-,-,- ,20,1,03:21:00,1,1,0,0,0,1,0,0
A=<34 ,B=46,C=20,,,,,,,,,,,,,,,,,1,03:21:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:21,SS,58M+,PL,1.3,PV,1.3,CL,85,0,RL,68,SA,0,DS,0,,0,03:21:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:21:00,0,0,0,0,0,0,0,0
,288,S,206,A,84,8,3,3,0,0,0,11,5,4,0,0,0,13,1,03:21:00,1,1,1,8,8,4,19,4.75
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:21:00,1,1,1,0,0,2,0,0
A=<80 ,B=#17,,,,,,,,,,,,,,,,,,1,03:21:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:21,SS,85M+,PL,5.3,PV,5.2,CL,100,0,RL,87,SA,0,DS,0,,0,03:21:00,0,0,0,187,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:21:00,0,0,0,0,0,0,0,0
,908,S,287,AC,99,-,-,- ,8,3,2,0,0,0,-,-,- ,7,1,03:21:00,1,0,0,3,0,2,0,0
,196,S,310,A,44,13,2,2,36,5,5,23,3,3,-,-,- ,32,1,03:21:00,1,1,1,10,10,3,72,24
,196,S,311,ABE,44,0,0,0,14,3,2,29,5,4,0,0,0,21,1,03:21:00,1,1,1,8,8,4,43,10.75
,196,S,312,D,27,34,5,3,25,3,2,31,4,3,13,2,1,26,1,03:21:00,1,1,1,14,14,4,103,25.75
,197,L,71,ABF,53,11,3,2,10,3,2,-,-,- ,-,-,- ,200,1,03:21:00,1,0,0,6,0,2,0,0
,197,L,72,ABF,53,11,3,2,35,6,6,-,-,- ,-,-,- ,400,1,03:21:00,1,0,0,9,0,2,0,0
A=<14 ,B=20,C=#25,D=24,E=17,,,,,,,,,,,,,,,1,03:21:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:22,SS,10,-,PL,2.2,PV,1.2,CL,61,0,RL,61,SA,30,DS,14,0,03:22:00,0,0,0,32.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:22:00,0,0,0,0,0,0,0,0
,354,S,30,A,76,14,6,3,13,6,3,4,2,1,-,-,- ,10,1,03:22:00,1,1,1,14,14,3,31,10.3333333333333
,354,S,31,B,15,0,0,0,12,2,1,0,0,0,-,-,- ,11,1,03:22:00,1,1,1,2,2,3,12,4
,182,S,34,A,85,0,0,0,4,2,1,-,-,- ,-,-,- ,6,1,03:22:00,1,0,0,2,0,2,0,0
A=<60 ,B=40,,,,,,,,,,,,,,,,,,1,03:22:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:22,SS,6M+,PL,4.1,PV,4.3,CL,85,0,RL,68,SA,53,DS,2,,0,03:22:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:22:00,0,0,0,0,0,0,0,0
,183,S,20,AC,56,0,0,0,12,3,2,0,0,0,0,0,0,13,1,03:22:00,1,1,1,3,3,4,12,3
,183,S,21,B,28,31,4,3,0,0,0,10,2,1,-,-,- ,26,1,03:22:00,1,1,1,6,6,3,41,13.6666666666667
,184,S,161,A,84,0,0,0,12,4,3,7,3,2,0,0,0,14,1,03:22:00,1,0,0,7,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:22:00,1,0,0,0,0,2,0,0
,183,S,183,B,28,31,4,3,0,0,0,-,-,- ,-,-,- ,26,1,03:22:00,1,1,0,4,0,2,0,0
,183,L,7,AC,56,0,0,0,-,-,- ,-,-,- ,-,-,- ,20,1,03:22:00,1,1,0,0,0,1,0,0
A=<36 ,B=44,C=20,,,,,,,,,,,,,,,,,1,03:22:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:22,SS,58M+,PL,1.3,PV,1.3,CL,85,0,RL,68,SA,200,DS,16,,0,03:22:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:22:00,0,0,0,0,0,0,0,0
,288,S,206,A,84,10,4,3,0,0,0,9,4,3,0,0,0,11,1,03:22:00,1,1,1,8,8,4,19,4.75
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:22:00,1,1,1,0,0,2,0,0
A=<82 ,B=#15,,,,,,,,,,,,,,,,,,1,03:22:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:23,SS,10,-,PL,1.2,PV,1.2,CL,60,0,RL,60,SA,30,DS,10,0,03:23:00,0,0,0,31.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:23:00,0,0,0,0,0,0,0,0
,354,S,30,A,54,9,3,2,10,3,2,0,0,0,-,-,- ,10,1,03:23:00,1,1,1,6,6,3,19,6.33333333333333
,354,S,31,B,13,0,0,0,0,0,0,0,0,0,-,-,- ,6,1,03:23:00,1,1,1,0,0,3,0,0
,182,S,34,A,50,8,2,1,13,3,2,-,-,- ,-,-,- ,9,1,03:23:00,1,0,0,5,0,2,0,0
A=<64 ,B=36,,,,,,,,,,,,,,,,,,1,03:23:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:23,SS,85M+,PL,5.3,PV,8.2,CL,100,0,RL,87,SA,0,DS,0,,0,03:23:00,0,0,0,187,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:23:00,0,0,0,0,0,0,0,0
,908,S,287,AC,86,-,-,- ,8,3,2,5,2,1,-,-,- ,8,1,03:23:00,1,0,0,5,0,2,0,0
,196,S,310,A,48,22,3,3,61,7,9,63,7,8,-,-,- ,47,1,03:23:00,1,1,1,17,17,3,146,48.6666666666667
,196,S,311,ABE,48,0,0,0,22,4,3,35,5,6,0,0,0,29,1,03:23:00,1,1,1,9,9,4,57,14.25
,196,S,312,D,28,18,3,2,0,0,0,15,3,2,10,2,1,22,1,03:23:00,1,1,1,8,8,4,43,10.75
,197,L,71,ABF,64,26,8,6,20,7,5,-,-,- ,-,-,- ,260,1,03:23:00,1,0,0,15,0,2,0,0
,197,L,72,ABF,64,19,5,4,38,9,8,-,-,- ,-,-,- ,440,1,03:23:00,1,0,0,14,0,2,0,0
A=<14 ,B=20,C=#25,D=24,E=17,,,,,,,,,,,,,,,1,03:23:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:24,SS,6M+,PL,4.1,PV,4.3,CL,85,0,RL,68,SA,53,DS,2,,0,03:24:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:24:00,0,0,0,0,0,0,0,0
,183,S,20,AC,56,10,2,2,12,3,2,10,3,2,0,0,0,12,1,03:24:00,1,1,1,8,8,4,32,8
,183,S,21,B,26,23,3,2,0,0,0,12,2,1,-,-,- ,27,1,03:24:00,1,1,1,5,5,3,35,11.6666666666667
,184,S,161,A,84,0,0,0,9,3,3,9,4,3,0,0,0,11,1,03:24:00,1,0,0,7,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:24:00,1,0,0,0,0,2,0,0
,183,S,183,B,26,23,3,2,0,0,0,-,-,- ,-,-,- ,27,1,03:24:00,1,1,0,3,0,2,0,0
,183,L,7,AC,56,10,2,2,-,-,- ,-,-,- ,-,-,- ,40,1,03:24:00,1,1,0,2,0,1,0,0
A=<36 ,B=44,C=20,,,,,,,,,,,,,,,,,1,03:24:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:24,SS,58M+,PL,1.3,PV,1.3,CL,85,0,RL,68,SA,0,DS,0,,0,03:24:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:24:00,0,0,0,0,0,0,0,0
,288,S,206,A,84,8,3,3,0,0,0,7,3,2,0,0,0,9,1,03:24:00,1,1,1,6,6,4,15,3.75
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:24:00,1,1,1,0,0,2,0,0
A=<85 ,B=#13,,,,,,,,,,,,,,,,,,1,03:24:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:24,SS,10,-,PL,1.2,PV,3.2,CL,60,0,RL,60,SA,30,DS,18,0,03:24:00,0,0,0,31.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:24:00,0,0,0,0,0,0,0,0
,354,S,30,A,49,18,5,3,14,4,2,0,0,0,-,-,- ,14,1,03:24:00,1,1,1,9,9,3,32,10.6666666666667
,354,S,31,B,14,19,2,1,0,0,0,0,0,0,-,-,- ,11,1,03:24:00,1,1,1,2,2,3,19,6.33333333333333
,182,S,34,A,73,0,0,0,11,2,3,-,-,- ,-,-,- ,10,1,03:24:00,1,0,0,2,0,2,0,0
A=<64 ,B=36,,,,,,,,,,,,,,,,,,1,03:24:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:25,SS,10,-,PL,4.2,PV,4.2,CL,60,-8,RL,60,SA,30,DS,10,0,03:25:00,0,0,0,34.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:25:00,0,0,0,0,0,0,0,0
,354,S,30,A,46,10,2,1,0,0,0,7,2,1,-,-,- ,13,1,03:25:00,1,1,1,4,4,3,17,5.66666666666667
,354,S,31,B,16,33,2,2,0,0,0,0,0,0,-,-,- ,21,1,03:25:00,1,1,1,2,2,3,33,11
,182,S,34,A,73,0,0,0,11,2,3,-,-,- ,-,-,- ,11,1,03:25:00,1,0,0,2,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,03:25:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:25,SS,85M+,PL,4.3,PV,4.3,CL,100,0,RL,88,SA,0,DS,0,,0,03:25:00,0,0,0,188,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:25:00,0,0,0,0,0,0,0,0
,908,S,287,AC,107,-,-,- ,11,5,3,5,2,1,-,-,- ,9,1,03:25:00,1,0,0,7,0,2,0,0
,196,S,310,A,74,15,3,3,13,3,3,30,6,6,-,-,- ,42,1,03:25:00,1,1,1,12,12,3,58,19.3333333333333
,196,S,311,ABE,74,0,0,0,23,7,5,20,6,5,6,2,2,28,1,03:25:00,1,1,1,15,15,4,49,12.25
,196,S,312,D,25,36,3,3,15,2,1,0,0,0,0,0,0,30,1,03:25:00,1,1,1,5,5,4,51,12.75
,197,L,71,ABF,68,10,3,2,10,4,3,-,-,- ,-,-,- ,240,1,03:25:00,1,0,0,7,0,2,0,0
,197,L,72,ABF,68,18,6,4,13,4,3,-,-,- ,-,-,- ,300,1,03:25:00,1,0,0,10,0,2,0,0
A=<12 ,B=20,C=#25,D=25,E=18,,,,,,,,,,,,,,,1,03:25:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:25,SS,6M+,PL,4.1,PV,4.3,CL,85,0,RL,68,SA,0,DS,0,,0,03:25:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:25:00,0,0,0,0,0,0,0,0
,183,S,20,AC,62,0,0,0,0,0,0,0,0,0,0,0,0,7,1,03:25:00,1,1,1,0,0,4,0,0
,183,S,21,B,22,0,0,0,18,3,1,12,2,1,-,-,- ,23,1,03:25:00,1,1,1,5,5,3,30,10
,184,S,161,A,84,0,0,0,0,0,0,0,0,0,0,0,0,6,1,03:25:00,1,0,0,0,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:25:00,1,0,0,0,0,2,0,0
,183,S,183,B,22,0,0,0,18,3,1,-,-,- ,-,-,- ,23,1,03:25:00,1,1,0,3,0,2,0,0
,183,L,7,AC,62,0,0,0,-,-,- ,-,-,- ,-,-,- ,20,1,03:25:00,1,1,0,0,0,1,0,0
A=<36 ,B=44,C=20,,,,,,,,,,,,,,,,,1,03:25:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:25,SS,58M+,PL,1.3,PV,1.3,CL,85,0,RL,68,SA,0,DS,0,,0,03:25:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:25:00,0,0,0,0,0,0,0,0
,288,S,206,A,84,8,3,3,0,0,0,0,0,0,0,0,0,8,1,03:25:00,1,1,1,3,3,4,8,2
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:25:00,1,1,1,0,0,2,0,0
A=<85 ,B=#13,,,,,,,,,,,,,,,,,,1,03:25:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:25,SS,10,-,PL,4.2,PV,1.2,CL,60,0,RL,60,SA,30,DS,9,0,03:25:00,0,0,0,34.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:25:00,0,0,0,0,0,0,0,0
,354,S,30,A,67,9,3,2,0,0,0,6,2,1,-,-,- ,11,1,03:25:00,1,1,1,5,5,3,15,5
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,15,1,03:25:00,1,1,1,0,0,3,0,0
,182,S,34,A,86,9,2,2,8,2,2,-,-,- ,-,-,- ,10,1,03:25:00,1,0,0,4,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,03:25:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:26,SS,6M+,PL,4.1,PV,3.3,CL,85,0,RL,68,SA,0,DS,0,,0,03:26:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:26:00,0,0,0,0,0,0,0,0
,183,S,20,AC,63,7,2,1,10,3,2,12,4,3,0,0,0,8,1,03:26:00,1,1,1,9,9,4,29,7.25
,183,S,21,B,22,0,0,0,18,3,1,12,2,1,-,-,- ,19,1,03:26:00,1,1,1,5,5,3,30,10
,184,S,161,A,84,5,2,1,15,5,4,10,4,3,0,0,0,9,1,03:26:00,1,0,0,11,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:26:00,1,0,0,0,0,2,0,0
,183,S,183,B,22,0,0,0,18,3,1,-,-,- ,-,-,- ,19,1,03:26:00,1,1,0,3,0,2,0,0
,183,L,7,AC,63,7,2,1,-,-,- ,-,-,- ,-,-,- ,40,1,03:26:00,1,1,0,2,0,1,0,0
A=<36 ,B=44,C=20,,,,,,,,,,,,,,,,,1,03:26:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:26,SS,58M+,PL,1.3,PV,1.3,CL,85,0,RL,68,SA,200,DS,5,,0,03:26:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:26:00,0,0,0,0,0,0,0,0
,288,S,206,A,84,14,5,4,0,0,0,7,3,2,0,0,0,11,1,03:26:00,1,1,1,8,8,4,21,5.25
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:26:00,1,1,1,0,0,2,0,0
A=<85 ,B=#13,,,,,,,,,,,,,,,,,,1,03:26:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:26,SS,85M+,PL,4.3,PV,8.3,CL,100,0,RL,88,SA,0,DS,0,,0,03:26:00,0,0,0,188,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:26:00,0,0,0,0,0,0,0,0
,908,S,287,AC,91,-,-,- ,8,3,2,7,2,2,-,-,- ,9,1,03:26:00,1,0,0,5,0,2,0,0
,196,S,310,A,50,10,2,1,33,6,5,58,8,8,-,-,- ,50,1,03:26:00,1,1,1,16,16,3,101,33.6666666666667
,196,S,311,ABE,50,0,0,0,26,4,4,13,3,2,0,0,0,27,1,03:26:00,1,1,1,7,7,4,39,9.75
,196,S,312,D,21,26,2,2,0,0,0,23,3,2,19,2,1,28,1,03:26:00,1,1,1,7,7,4,68,17
,197,L,71,ABF,48,26,6,4,18,5,3,-,-,- ,-,-,- ,260,1,03:26:00,1,0,0,11,0,2,0,0
,197,L,72,ABF,48,30,5,5,15,3,2,-,-,- ,-,-,- ,280,1,03:26:00,1,0,0,8,0,2,0,0
A=<12 ,B=20,C=#25,D=25,E=18,,,,,,,,,,,,,,,1,03:26:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:27,SS,10,-,PL,1.2,PV,1.2,CL,60,5,RL,60,SA,30,DS,18,0,03:27:00,0,0,0,31.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:27:00,0,0,0,0,0,0,0,0
,354,S,30,A,58,18,6,3,18,6,3,6,2,1,-,-,- ,13,1,03:27:00,1,1,1,14,14,3,42,14
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,7,1,03:27:00,1,1,1,0,0,3,0,0
,182,S,34,A,84,0,0,0,0,0,0,-,-,- ,-,-,- ,5,1,03:27:00,1,0,0,0,0,2,0,0
A=<64 ,B=36,,,,,,,,,,,,,,,,,,1,03:27:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:28,SS,10,-,PL,1.2,PV,4.2,CL,60,0,RL,60,SA,0,DS,0,0,03:28:00,0,0,0,1.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:28:00,0,0,0,0,0,0,0,0
,354,S,30,A,29,0,0,0,0,0,0,0,0,0,-,-,- ,8,1,03:28:00,1,1,1,0,0,3,0,0
,354,S,31,B,16,0,0,0,20,2,1,0,0,0,-,-,- ,9,1,03:28:00,1,1,1,2,2,3,20,6.66666666666667
,182,S,34,A,84,0,0,0,0,0,0,-,-,- ,-,-,- ,2,1,03:28:00,1,0,0,0,0,2,0,0
A=<64 ,B=36,,,,,,,,,,,,,,,,,,1,03:28:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:28,SS,6M+,PL,4.1,PV,4.3,CL,85,0,RL,68,SA,53,DS,2,,0,03:28:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:28:00,0,0,0,0,0,0,0,0
,183,S,20,AC,55,14,3,2,17,4,3,6,2,1,0,0,0,12,1,03:28:00,1,1,1,9,9,4,37,9.25
,183,S,21,B,28,17,2,2,11,2,1,31,3,3,-,-,- ,24,1,03:28:00,1,1,1,7,7,3,59,19.6666666666667
,184,S,161,A,84,0,0,0,20,7,6,13,6,4,0,0,0,14,1,03:28:00,1,0,0,13,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:28:00,1,0,0,0,0,2,0,0
,183,S,183,B,28,17,2,2,11,2,1,-,-,- ,-,-,- ,18,1,03:28:00,1,1,0,4,0,2,0,0
,183,L,7,AC,55,14,3,2,-,-,- ,-,-,- ,-,-,- ,40,1,03:28:00,1,1,0,3,0,1,0,0
A=<36 ,B=44,C=20,,,,,,,,,,,,,,,,,1,03:28:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:28,SS,58M+,PL,1.3,PV,1.3,CL,85,0,RL,68,SA,0,DS,0,,0,03:28:00,0,0,0,153,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:28:00,0,0,0,0,0,0,0,0
,288,S,206,A,84,13,5,4,8,3,2,9,4,3,0,0,0,12,1,03:28:00,1,1,1,12,12,4,30,7.5
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,03:28:00,1,1,1,0,0,2,0,0
A=<85 ,B=#13,,,,,,,,,,,,,,,,,,1,03:28:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:28,SS,85M+,PL,3.3,PV,3.3,CL,100,0,RL,88,SA,0,DS,0,,0,03:28:00,0,0,0,188,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:28:00,0,0,0,0,0,0,0,0
,908,S,287,AC,83,-,-,- ,13,5,3,0,0,0,-,-,- ,11,1,03:28:00,1,0,0,5,0,2,0,0
,196,S,310,A,77,20,4,4,23,8,5,23,3,5,-,-,- ,36,1,03:28:00,1,1,1,15,15,3,66,22
,196,S,311,ABE,77,0,0,0,14,5,3,8,3,2,0,0,0,20,1,03:28:00,1,1,1,8,8,4,22,5.5
,196,S,312,D,24,33,2,2,20,2,2,41,3,4,0,0,0,35,1,03:28:00,1,1,1,7,7,4,94,23.5
,197,L,71,ABF,44,37,7,6,30,7,5,-,-,- ,-,-,- ,280,1,03:28:00,1,0,0,14,0,2,0,0
,197,L,72,ABF,44,12,3,2,8,2,1,-,-,- ,-,-,- ,180,1,03:28:00,1,0,0,5,0,2,0,0
A=<11 ,B=20,C=#25,D=26,E=18,,,,,,,,,,,,,,,1,03:28:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,03:29,SS,10,-,PL,4.2,PV,4.2,CL,60,-6,RL,60,SA,30,DS,9,0,03:29:00,0,0,0,34.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,03:29:00,0,0,0,0,0,0,0,0
,354,S,30,A,52,9,3,2,9,3,2,5,2,1,-,-,- ,8,1,03:29:00,1,1,1,8,8,3,23,7.66666666666667
,354,S,31,B,19,37,3,3,0,0,0,0,0,0,-,-,- ,23,1,03:29:00,1,1,1,3,3,3,37,12.3333333333333
,182,S,34,A,74,0,0,0,5,2,1,-,-,- ,-,-,- ,2,1,03:29:00,1,0,0,2,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,03:29:00,0,0,0,0,0,0,0,0
