Strategic,Monitor,On,Friday,01-Jun-18,filename:CCITY_20180601,,,,,,183,196,288,354,,,,,,,,,,,,,,
,INT,OTHER,SA/LK,PH,PT,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,Time Change,Current Time,Reading,Is a Node,Remove Duplicate,Test VO,Total VO,Num Lanes,Summed DS,Average DS
,183,S,20,AC,53,20,4,3,12,2,2,37,7,8,7,2,1,37,1,00:02:00,1,1,1,15,15,4,76,19
,183,S,21,B,26,33,5,3,32,5,3,17,2,1,-,-,- ,30,1,00:02:00,1,1,1,12,12,3,82,27.3333333333333
,184,S,161,A,88,26,9,7,50,17,15,25,10,9,7,2,2,37,1,00:02:00,1,0,0,38,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:02:00,1,0,0,0,0,2,0,0
,183,S,183,B,26,33,5,3,32,5,3,-,-,- ,-,-,- ,30,1,00:02:00,1,1,0,10,0,2,0,0
,183,L,7,AC,53,20,4,3,-,-,- ,-,-,- ,-,-,- ,140,1,00:02:00,1,1,0,4,0,1,0,0
A=<26 ,B=52,C=#20,,,,,,,,,,,,,,,,,1,00:02:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:02,SS,58M-,PL,1.3,PV,1.3,CL,93,0,RL,69,SA,200,DS,5,,0,00:02:00,0,0,0,162,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:02:00,0,0,0,0,0,0,0,0
,288,S,206,A,85,31,12,10,0,0,0,12,5,4,0,0,0,28,1,00:02:00,1,1,1,17,17,4,43,10.75
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:02:00,1,1,1,0,0,2,0,0
A=<83 ,B=#16,,,,,,,,,,,,,,,,,,1,00:02:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:02,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,158,,0,00:02:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:02:00,0,0,0,0,0,0,0,0
,908,S,287,AC,123,-,-,- ,16,8,6,0,0,0,-,-,- ,18,1,00:02:00,1,0,0,8,0,2,0,0
,196,S,310,A,61,9,2,2,55,13,10,162,5,28,-,-,- ,158,1,00:02:00,1,1,1,20,20,3,226,75.3333333333333
,196,S,311,ABE,61,0,0,0,47,9,9,36,8,7,14,4,3,45,1,00:02:00,1,1,1,21,21,4,97,24.25
,196,S,312,D,27,10,2,1,36,5,3,34,4,3,16,2,1,49,1,00:02:00,1,1,1,13,13,4,96,24
,197,L,71,ABF,52,44,9,8,47,12,10,-,-,- ,-,-,- ,420,1,00:02:00,1,0,0,21,0,2,0,0
,197,L,72,ABF,52,37,6,6,38,6,6,-,-,- ,-,-,- ,400,1,00:02:00,1,0,0,12,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:02:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:03,SS,10,-,PL,4.2,PV,2.2,CL,85+11,RL,60,SA,30,DS,38,,0,00:03:00,0,0,0,64.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:03:00,0,0,0,0,0,0,0,0
,354,S,30,A,61,38,10,7,29,8,6,16,4,3,-,-,- ,28,1,00:03:00,1,1,1,22,22,3,83,27.6666666666667
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,20,1,00:03:00,1,1,1,0,0,3,0,0
,182,S,34,A,48,9,2,1,20,3,3,-,-,- ,-,-,- ,23,1,00:03:00,1,0,0,5,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,00:03:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:04,SS,6M+,PL,8.3,PV,3.3,CL,107,2,RL,86,SA,20,DS,35,,0,00:04:00,0,0,0,193,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:04:00,0,0,0,0,0,0,0,0
,183,S,20,AC,38,35,5,4,18,3,2,20,3,3,0,0,0,36,1,00:04:00,1,1,1,11,11,4,73,18.25
,183,S,21,B,30,29,6,3,33,4,4,8,2,1,-,-,- ,30,1,00:04:00,1,1,1,12,12,3,70,23.3333333333333
,184,S,161,A,86,16,6,4,26,9,8,25,11,9,5,2,1,34,1,00:04:00,1,0,0,28,0,4,0,0
,184,S,162,B,11,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:04:00,1,0,0,0,0,2,0,0
,183,S,183,B,30,29,6,3,33,4,4,-,-,- ,-,-,- ,30,1,00:04:00,1,1,0,10,0,2,0,0
,183,L,7,AC,38,35,5,4,-,-,- ,-,-,- ,-,-,- ,120,1,00:04:00,1,1,0,5,0,1,0,0
A=<29 ,B=52,C=#20,,,,,,,,,,,,,,,,,1,00:04:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:04,SS,58M+,PL,1.3,PV,1.3,CL,107,2,RL,72,SA,0,DS,0,,0,00:04:00,0,0,0,179,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:04:00,0,0,0,0,0,0,0,0
,288,S,206,A,86,19,8,6,8,3,2,17,8,6,0,0,0,25,1,00:04:00,1,1,1,19,19,4,44,11
,288,S,270,B,11,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:04:00,1,1,1,0,0,2,0,0
A=<86 ,B=#15,,,,,,,,,,,,,,,,,,1,00:04:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:04,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,116,DS,152,,0,00:04:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:04:00,0,0,0,0,0,0,0,0
,908,S,287,AC,80,-,-,- ,45,12,10,18,3,4,-,-,- ,29,1,00:04:00,1,0,0,15,0,2,0,0
,196,S,310,A,63,29,5,5,35,7,7,158,5,28,-,-,- ,159,1,00:04:00,1,1,1,17,17,3,222,74
,196,S,311,ABE,99,7,3,3,30,11,9,36,11,12,15,5,5,40,1,00:04:00,1,1,1,30,30,4,88,22
,196,S,312,D,36,97,9,11,39,5,5,77,12,11,32,3,3,65,1,00:04:00,1,1,1,29,29,4,245,61.25
,197,L,71,ABF,78,17,5,5,27,7,8,-,-,- ,-,-,- ,400,1,00:04:00,1,0,0,12,0,2,0,0
,197,L,72,ABF,78,49,15,13,53,15,13,-,-,- ,-,-,- ,540,1,00:04:00,1,0,0,30,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:04:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:05,SS,10,+,PL,3.2,PV,3.2,CL,85,9,RL,60,SA,30,DS,10,0,00:05:00,0,0,0,33.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:05:00,0,0,0,0,0,0,0,0
,354,S,30,A,31,10,2,1,10,2,1,0,0,0,-,-,- ,22,1,00:05:00,1,1,1,4,4,3,20,6.66666666666667
,354,S,31,B,17,29,3,2,32,3,2,0,0,0,-,-,- ,28,1,00:05:00,1,1,1,6,6,3,61,20.3333333333333
,182,S,34,A,42,23,2,3,20,4,3,-,-,- ,-,-,- ,23,1,00:05:00,1,0,0,6,0,2,0,0
A=<53 ,B=47,,,,,,,,,,,,,,,,,,1,00:05:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:06,SS,6M+,PL,8.3,PV,6.3,CL,105,0,RL,86,SA,20,DS,31,,0,00:06:00,0,0,0,191,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:06:00,0,0,0,0,0,0,0,0
,183,S,20,AC,63,31,7,6,21,5,4,28,7,7,0,0,0,34,1,00:06:00,1,1,1,19,19,4,80,20
,183,S,21,B,39,27,6,3,50,8,7,9,2,1,-,-,- ,41,1,00:06:00,1,1,1,16,16,3,86,28.6666666666667
,184,S,161,A,111,31,10,11,32,13,12,22,10,10,0,0,0,34,1,00:06:00,1,0,0,33,0,4,0,0
,184,S,162,B,11,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:06:00,1,0,0,0,0,2,0,0
,183,S,183,B,39,27,6,3,50,8,7,-,-,- ,-,-,- ,41,1,00:06:00,1,1,0,14,0,2,0,0
,183,L,7,AC,63,31,7,6,-,-,- ,-,-,- ,-,-,- ,160,1,00:06:00,1,1,0,7,0,1,0,0
A=<29 ,B=52,C=#20,,,,,,,,,,,,,,,,,1,00:06:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:06,SS,58M+,PL,4.3,PV,4.3,CL,105,0,RL,80,SA,201,DS,8,,0,00:06:00,0,0,0,185,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:06:00,0,0,0,0,0,0,0,0
,288,S,206,A,86,27,11,9,8,3,2,28,12,10,0,0,0,26,1,00:06:00,1,1,1,26,26,4,63,15.75
,288,S,270,B,13,49,2,2,51,2,2,-,-,- ,-,-,- ,23,1,00:06:00,1,1,1,4,4,2,100,50
A=<70 ,B=#32,,,,,,,,,,,,,,,,,,1,00:06:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:06,SS,10,+,PL,3.2,PV,3.2,CL,85,6,RL,63,SA,30,DS,22,0,00:06:00,0,0,0,33.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:06:00,0,0,0,0,0,0,0,0
,354,S,30,A,73,22,7,5,17,6,4,8,3,2,-,-,- ,22,1,00:06:00,1,1,1,16,16,3,47,15.6666666666667
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,11,1,00:06:00,1,1,1,0,0,3,0,0
,182,S,34,A,61,7,2,1,0,0,0,-,-,- ,-,-,- ,15,1,00:06:00,1,0,0,2,0,2,0,0
A=<53 ,B=47,,,,,,,,,,,,,,,,,,1,00:06:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:06,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,164,,0,00:06:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:06:00,0,0,0,0,0,0,0,0
,908,S,287,AC,97,-,-,- ,39,11,11,5,2,1,-,-,- ,36,1,00:06:00,1,0,0,13,0,2,0,0
,196,S,310,A,53,38,6,6,76,7,12,170,2,25,-,-,- ,164,1,00:06:00,1,1,1,15,15,3,284,94.6666666666667
,196,S,311,ABE,53,0,0,0,53,9,9,42,6,7,19,3,4,46,1,00:06:00,1,1,1,18,18,4,114,28.5
,196,S,312,D,43,10,2,1,52,8,7,95,13,16,16,3,2,83,1,00:06:00,1,1,1,26,26,4,173,43.25
,197,L,71,ABF,48,47,10,8,39,9,7,-,-,- ,-,-,- ,440,1,00:06:00,1,0,0,19,0,2,0,0
,197,L,72,ABF,48,23,4,4,15,2,2,-,-,- ,-,-,- ,420,1,00:06:00,1,0,0,6,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:06:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:07,SS,6M+,PL,6.3,PV,6.3,CL,108,1,RL,86,SA,20,DS,47,,0,00:07:00,0,0,0,194,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:07:00,0,0,0,0,0,0,0,0
,183,S,20,AC,80,47,8,11,32,8,8,31,9,10,0,0,0,39,1,00:07:00,1,1,1,25,25,4,110,27.5
,183,S,21,B,38,32,6,4,36,5,5,20,3,3,-,-,- ,40,1,00:07:00,1,1,1,14,14,3,88,29.3333333333333
,184,S,161,A,85,22,7,6,31,10,9,19,8,7,0,0,0,30,1,00:07:00,1,0,0,25,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:07:00,1,0,0,0,0,2,0,0
,183,S,183,B,38,32,6,4,36,5,5,-,-,- ,-,-,- ,40,1,00:07:00,1,1,0,11,0,2,0,0
,183,L,7,AC,80,47,8,11,-,-,- ,-,-,- ,-,-,- ,260,1,00:07:00,1,1,0,8,0,1,0,0
A=<33 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:07:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:07,SS,58M+,PL,4.3,PV,4.3,CL,108,0,RL,85,SA,201,DS,12,,0,00:07:00,0,0,0,193,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:07:00,0,0,0,0,0,0,0,0
,288,S,206,A,50,15,3,3,0,0,0,21,5,4,0,0,0,23,1,00:07:00,1,1,1,8,8,4,36,9
,288,S,270,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,17,1,00:07:00,1,1,1,0,0,2,0,0
A=<74 ,B=#28,,,,,,,,,,,,,,,,,,1,00:07:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:08,SS,10,+,PL,2.2,PV,2.2,CL,80,0,RL,68,SA,30,DS,22,0,00:08:00,0,0,0,32.2,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:08:00,0,0,0,0,0,0,0,0
,354,S,30,A,73,22,7,5,17,6,4,8,3,2,-,-,- ,19,1,00:08:00,1,1,1,16,16,3,47,15.6666666666667
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,7,1,00:08:00,1,1,1,0,0,3,0,0
,182,S,34,A,72,11,3,2,24,7,6,-,-,- ,-,-,- ,18,1,00:08:00,1,0,0,10,0,2,0,0
A=<60 ,B=40,,,,,,,,,,,,,,,,,,1,00:08:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:08,SS,85M+,PL,8.3,PV,8.3,CL,120,0,RL,140,SA,310,DS,162,,0,00:08:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:08:00,0,0,0,0,0,0,0,0
,908,S,287,AC,110,-,-,- ,21,7,7,12,3,3,-,-,- ,32,1,00:08:00,1,0,0,10,0,2,0,0
,196,S,310,A,51,20,3,3,36,5,5,157,5,22,-,-,- ,162,1,00:08:00,1,1,1,13,13,3,213,71
,196,S,311,ABE,51,9,2,2,42,6,7,30,5,5,13,3,2,44,1,00:08:00,1,1,1,16,16,4,94,23.5
