,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,985.5858,857.2955,87131.97,214.02548,6.5948415e+16,295.18124,0.6799905571070585
1,1,1034.3451,873.74316,91799.95,221.81956,6.7279533e+16,302.98508,0.683960578658364
2,2,1059.2422,883.6661,89319.56,220.2818,5.9605835e+16,298.8638,0.6972030076113614
3,3,1079.0399,872.60956,94462.03,226.6517,6.4920763e+16,307.34677,0.6535724293101918
4,4,1111.3495,857.6143,94036.21,226.78052,5.153209e+16,306.65323,0.6386540803042325
5,5,1016.85645,722.0156,96314.25,228.12704,5.7891263e+16,310.34537,0.5170100331306458
