,NODE,AVG,STDDEV,MSE,MAE,MAPE,RMSE,EV
0,0,1095.5677,703.7009,130024.22,277.3585,8.438673e+16,360.5887,0.631445136335161
1,1,1149.124,733.41766,116773.22,253.71086,6.9059136e+16,341.72098,0.6778410408231947
2,2,1170.149,741.2326,114406.09,252.70917,6.2919647e+16,338.2397,0.7042752769258287
3,3,1208.0472,736.2085,132597.7,268.93768,6.61657e+16,364.13968,0.6421804759237502
4,4,1255.3851,734.1104,131467.39,268.46283,5.9812655e+16,362.58432,0.6309436559677124
5,5,1188.6945,619.94666,115717.336,256.68945,6.6750715e+16,340.17252,0.491811388068729
